Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_FM_,Diffuse Axonal Injury (DAI),,True,1,2024-02,,@book?n=FM-ignfmt&ed=5&vol=0#191
S_FM_,Railway Spine,- Asked as a Short Answer,True,1,2024-02,,@book?n=FM-ignfmt&ed=5&vol=0#202
S_FM_,Whiplash Injury,,True,6,2023-02;2021-09;2019-08;2018-08;2017-08;2000-10,,"@book?n=FM-ignfmt&ed=5&vol=0#201,217"
S_FM_,Cerebral Concussion,- Post-traumatic Automatism (Asked as a Short Answer),True,1,2021-09,,"@book?n=FM-ignfmt&ed=5&vol=0#190,440"
S_FM_,Coup and Contrecoup Injuries,- Contrecoup Injuries,True,8,2020-11;2016-08;2011-08;2010-08;2005-08;2001-11;1995-11;1990-12,,@book?n=FM-ignfmt&ed=5&vol=0#187
S_FM_,Intracranial Hemorrhages,,True,2,2019-08;2017-02,,@book?n=FM-ignfmt&ed=5&vol=0#193
S_FM_,Skull Fractures,- Puppe's Rule (Asked as a Short Answer);- Pond Fracture (or) Indented Fracture (or) Greenstick Fracture (Asked as a Short Answer);- Gutter Fracture (Asked as a Short Answer);- Comminuted (or) Spider-Web (or) Mosaic Fracture (Asked as a Short Answer),True,7,2018-08;2016-02;2014-08;2012-08;2000-10;2000-04;1991-12,,@book?n=FM-ignfmt&ed=5&vol=0#184
S_FM_,Subdural Hemorrhage,,True,1,2015-02,,@book?n=FM-ignfmt&ed=5&vol=0#195
E_FM_,Extradural (or) Epidural Hemorrhage,"- Classification of Intracranial Hemorrhages
- Extradural Hemorrhage",True,1,2011-08,,@book?n=FM-ignfmt&ed=5&vol=0#193
S_FM_,Lucid Interval in Head Injuries,,True,1,2010-02,,@book?n=FM-ignfmt&ed=5&vol=0#194
E_FM_,Head Injuries,"- Classification of Mechanical Injuries
- Skull Fractures
- Contrecoup Injuries",True,1,2007-02,,"@book?n=FM-ignfmt&ed=5&vol=0#129,183-190"
S_FM_,Punch Drunkenness (or) Dementia Pugilistica (or) Boxer's Encephalopathy,,True,1,2003-10,,@book?n=FM-ignfmt&ed=5&vol=0#191
