Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_SU_,Nerve Block,- Axillary Block;- Wrist Block;- Digital Block;- Ankle Block,True,8,2025-03;2024-05;2012-08;2011-08;2007-02;2006-08;2006-02;2004-08,,@book?n=SU-srbmos&ed=7&vol=0#1209
S_SU_,Spinal Anaesthesia,- Complications,True,10,2024-03;2018-02;2017-02;2014-08;2012-08;2010-08;2008-08;2004-08;2002-03;2001-11;2001-11,,@book?n=SU-srbmos&ed=7&vol=0#1209
S_SU_,Anaesthetic Drugs,- Thiopentone Sodium;- Two Common Local and Regional Anaesthetic Drugs;- Propofol (Asked as a Short Answer);- Succinyl Choline;- Midazolam (Asked as a Short Answer);- Vecuronium (Asked as a Short Answer);- Pre-medication;- Local Anaesthetic Agents;- Lignocaine (or) Lidocaine (or) Xylocaine (Asked as a Short Answer);- Muscle Relaxants;- Bupivocaine (or) Sensorcaine (Asked as a Short Answer);- Nitrous Oxide,True,10,2024-03;2024-08;2023-03;2022-08;2021-08;2020-11;2020-02;2019-02;2017-08;2017-02;2016-08;2015-08;2014-02;2014-02;2013-02;2011-02;2006-08;2005-08;2002-03;2001-11,,"@book?n=SU-srbmos&ed=7&vol=0#1206,1209"
S_SU_,Regional and Local Anaesthesia,- Common Local Anaesthesia Techniques (Asked as a Short Answer),True,8,2022-04;2016-02;2015-08;2010-08;2008-02;2006-02;2005-08;2003-10,,@book?n=SU-srbmos&ed=7&vol=0#1209
S_SU_,General Anaesthesia,- Triad of GA (Asked as a Short Answer);- Stages;- Preparation,True,5,2020-08;2019-08;2015-02;2007-08;2001-04,,@book?n=SU-srbmos&ed=7&vol=0#1206
S_SU_,Epidural Anaesthesia,,True,7,2018-08;2016-08;2013-08;2011-08;2010-02;2009-02;2001-04,,@book?n=SU-srbmos&ed=7&vol=0#1210
S_SU_,Endotracheal Anaesthesia,,True,2,2013-02;2009-08,,@book?n=SU-srbmos&ed=7&vol=0#1206
S_SU_,Boyle's Apparatus,,True,1,2011-08,,@book?n=SU-srbmos&ed=7&vol=0#1207
S_SU_,Endotracheal Tube,,True,2,2007-02;2002-03,,@book?n=SU-srbmos&ed=7&vol=0#1207
S_SU_,Intravenous Anaesthesia,,True,2,2005-08;2003-10,,@book?n=SU-srbmos&ed=7&vol=0#1206
