Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_SU_,Differential Diagnosis of Acute Appendicitis,"- In Children
- In Adults",True,2,2025-03;2020-11,,@book?n=SU-srbmos&ed=7&vol=0#1000
S_SU_,Appendicular Mass (or) Periappendicular Phlegmon,- Ochsner-Sherren Regimen (Asked as a Short Answer),True,4,2024-05;2024-03;2020-02;2013-08,,@book?n=SU-srbmos&ed=7&vol=0#1005
S_SU_,Anal Fissure (or) Fissure-in-ano,,True,4,2024-05;2024-03;2016-02;2013-08,,@book?n=SU-srbmos&ed=7&vol=0#1036
E_SU_,Acute Appendicitis,"- Etiology
- Pathophysiology
- Clinical Features
- Investigations
- Treatment",True,2,2023-08;2016-08,,@book?n=SU-srbmos&ed=7&vol=0#997
E_SU_,Carcinoma Rectum,"- Etiology
- Types
- Clinical Features
- Investigations
- Treatment",True,4,2022-08;2014-08;2013-02;2009-08,,@book?n=SU-srbmos&ed=7&vol=0#1015
S_SU_,Fistula-in-ano,- Good Sall's Rule (Asked as a Short Answer),True,7,2022-08;2019-02;2017-02;2012-08;2011-08;2010-08;2009-02,,"@book?n=SU-srbmos&ed=7&vol=0#1040,1042"
S_SU_,Staging of Carcinoma Rectum,- Asked as a Short Answer,True,1,2021-04,,@book?n=SU-srbmos&ed=7&vol=0#962
S_SU_,Haemorrhoids (or) Piles,- Stapler Haemorrhoidectomy (Asked as a Short Answer);- Prolapse Pile Mass (Asked as a Short Answer),True,3,2020-11;2016-08;2011-02,,@book?n=SU-srbmos&ed=7&vol=0#1030
E_SU_,Appendicular Mass (or) Periappendicular Phlegmon,"- Differential Diagnosis of Right Iliac Fossa Mass
- Clinical Features
- Management",True,1,2019-08,,"@book?n=SU-srbmos&ed=7&vol=0#1005,787"
S_SU_,Pilonidal Sinus (or) Jeep (or) Driver's Bottom,,True,4,2018-02;2014-08;2012-08;2008-08,,@book?n=SU-srbmos&ed=7&vol=0#1027
S_SU_,Clinical Features of Carcinoma Rectum,- Tenesmus (Asked as a Short Answer),True,1,2016-02,,@book?n=SU-srbmos&ed=7&vol=0#1016
S_SU_,Appendicular Abscess,,True,1,2014-08,,@book?n=SU-srbmos&ed=7&vol=0#1006
S_SU_,Ischiorectal Abscess,,True,1,2012-08,,@book?n=SU-srbmos&ed=7&vol=0#1039
S_SU_,Clinical Features of Acute Appendicitis,- Murphy's Triad (Asked as a Short Answer),True,2,2009-08;2008-08,,@book?n=SU-srbmos&ed=7&vol=0#999
S_SU_,Complications of Perforated Appendix,- Asked as a Short Answer,True,1,2009-02,,
