Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_SU_,Breast Conservation Surgery (BCS),,True,1,2025-03,,@book?n=SU-srbmos&ed=7&vol=0#593
S_SU_,Risk Factors for Carcinoma Breast,- BRCA (Asked as a Short Answer),True,2,2025-03;2022-04,,@book?n=SU-srbmos&ed=7&vol=0#574
S_SU_,Aberration of Normal Development and Involution (ANDI),- Classification,True,2,2024-05;2018-02,,@book?n=SU-srbmos&ed=7&vol=0#560
S_SU_,Management of Early Breast Cancer,,True,1,2024-03,,@book?n=SU-srbmos&ed=7&vol=0#601
E_SU_,Carcinoma Breast,"- Etiology- Pathogenesis- Staging- Management of Early Breast Cancer;- Triple Assessment- Clinical Features- Management",True,2,2023-08;2021-08,,"@book?n=SU-srbmos&ed=7&vol=0#574,601"
S_SU_,Phyllodes Tumour (or) Cystosarcoma Phyllodes (or) Serocystic Disease of Brodie,,True,1,2023-08,,@book?n=SU-srbmos&ed=7&vol=0#564
S_SU_,Nipple Retraction,- Asked as a Short Answer,True,1,2023-03,,
E_SU_,Phyllodes Tumour (or) Cystosarcoma Phyllodes (or) Serocystic Disease of Brodie,"- Benign Breast Diseases- Phyllodes Tumour",True,1,2021-04,,"@book?n=SU-srbmos&ed=7&vol=0#560,564"
S_SU_,Mammography,,True,3,2021-04;2018-08;2017-02,,@book?n=SU-srbmos&ed=7&vol=0#559
S_SU_,Triple Assessment,- Asked as a Short Answer,True,1,2020-11,,
S_SU_,Gynaecomastia,,True,1,2020-08,,@book?n=SU-srbmos&ed=7&vol=0#572
S_SU_,Chemotherapy and Hormone Therapy for Breast Cancer,- CMF Regimen (Asked as a Short Answer);- Tamoxifen,True,2,2020-02;2017-08,,"@book?n=SU-srbmos&ed=7&vol=0#598,600"
S_SU_,Inflammatory Carcinoma of Breast,,True,1,2018-08,,@book?n=SU-srbmos&ed=7&vol=0#602
