Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_SU_,Ameloblastoma (or) Adamantinoma (or) Eve's Disease (or) Multilocular Cystic Disease of the Jaw,,True,3,2025-03;2022-08;2020-11,,@book?n=SU-srbmos&ed=7&vol=0#396
S_SU_,Oral Squamous Cell Carcinoma,,True,1,2025-03,,@book?n=SU-srbmos&ed=7&vol=0#406
S_SU_,Pleomorphic Adenoma (or) Mixed Salivary Tumour,,True,3,2024-05;2023-03;2022-04,,@book?n=SU-srbmos&ed=7&vol=0#478
E_SU_,Malignant Parotid Tumours,"- Classification of Salivary Neoplasms- Clinical Features- Investigations- Treatment",True,2,2024-08;2020-02,,"@book?n=SU-srbmos&ed=7&vol=0#477,482"
S_SU_,Warthin's Tumour (or) Adenolymphoma (or) Papillary Cystadenoma Lymphomatosum,,True,2,2023-08;2018-08,,@book?n=SU-srbmos&ed=7&vol=0#481
S_SU_,Alveolar (or) Dental Abscess,- Asked as a Short Answer,True,1,2021-08,,@book?n=SU-srbmos&ed=7&vol=0#398
S_SU_,Salivary Calculus,- Asked as a Short Answer,True,1,2021-04,,@book?n=SU-srbmos&ed=7&vol=0#473
S_SU_,Ranula,- Asked as a Short Answer;- Plunging Ranula (Asked as a Short Answer),True,2,2020-08;2019-08,,@book?n=SU-srbmos&ed=7&vol=0#401
E_SU_,Carcinoma Tongue,"- Etiology- Pathogenesis- Clinical Features- Investigations- Management",True,1,2020-08,,@book?n=SU-srbmos&ed=7&vol=0#428
S_SU_,Dentigerous Cyst (or) Follicular Odontome,,True,3,2019-08;2018-02;2017-08,,@book?n=SU-srbmos&ed=7&vol=0#397
S_SU_,Frey's Syndrome (or) Auriculotemporal Syndrome (or) Gustatory Sweating,- Asked as a Short Answer,True,1,2019-02,,@book?n=SU-srbmos&ed=7&vol=0#489
S_SU_,Dental (or) Radicular (or) Periapical Cyst,- Asked as a Short Answer,True,2,2019-02;2018-08,,@book?n=SU-srbmos&ed=7&vol=0#397
