Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_SU_,Can a Doctor accept gifts from Pharmaceutical Industry? Explain your choice,- AETCOM,True,1,2025-03,,
S_SU_,Conflicts in a Professional Relationship,- AETCOM,True,1,2024-05,,
S_SU_,Fluorosis of Bone and Teeth,- TODO: Ortho or Dental?,True,1,2024-05,,
S_SU_,Saint's Triad,- Asked as a Short Answer,True,2,2023-08;2017-08,,"@book?n=SU-srbmos&ed=7&vol=0#692,851,947"
S_SU_,Confidentiality,- AETCOM (Asked as a Short Answer),True,1,2021-04,,
S_SU_,Virchow's Triad,- Asked as a Short Answer,True,1,2021-04,,
S_SU_,Transudate vs Exudate,- Asked as a Short Answer,True,3,2020-02;2012-08;2009-02,,
S_SU_,Patient Controlled Analgesia (PCA),,True,1,2017-08,,@book?n=SU-srbmos&ed=7&vol=0#381
S_SU_,Universal Precautions,,True,3,2013-08;2011-08;2011-08,,
S_SU_,Troisier's Sign (or) Palpable Virchow's Node (Left Supraclavicular Lymph Node),- Asked as a Short Answer,True,1,2012-08,,"@book?n=SU-srbmos&ed=7&vol=0#663,905,760"
S_SU_,Orocutaneous Fistula,- Asked as a Short Answer,True,1,2012-02,,@book?n=SU-srbmos&ed=7&vol=0#152
S_SU_,Lumbar Puncture,,True,1,2011-08,,
S_SU_,Pulseoximeter,,True,1,2011-02,,
S_SU_,Ventilators in ICU,- Asked as a Short Answer,True,1,2011-02,,
S_SU_,Surgical Complications of Enteric Fever,- Asked as a Short Answer,True,2,2009-08;2008-08,,
S_SU_,Trousseau's Sign,- Asked as a Short Answer,True,1,2008-08,,"@book?n=SU-srbmos&ed=7&vol=0#268,549,760"
S_SU_,Autotransfusion,,True,1,2008-02,,
