Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_SU_,Primary Hyperparathyroidism (or) Parathyroid Adenoma,- Technetium-99m Labelled Sestamibi Isotope Scan (Asked as a Short Answer);- Causes of Hypercalcaemia (Asked as a Short Answer);- Differential Diagnosis,True,5,2025-03;2023-03;2009-08;2002-03;2001-04,,"@book?n=SU-srbmos&ed=7&vol=0#542,544"
S_SU_,Branchial Cyst,,True,4,2025-03;2017-02;2011-02;2010-08,,@book?n=SU-srbmos&ed=7&vol=0#445
S_SU_,Management of Toxic Nodular Goitre,,True,1,2024-05,,@book?n=SU-srbmos&ed=7&vol=0#508
S_SU_,Carotid Body Tumour (or) Potato Tumor (or) Chemodectoma (or) Nonchromaffin Paraganglioma,,True,3,2024-03;2018-08;2001-04,,@book?n=SU-srbmos&ed=7&vol=0#453
S_SU_,Tuberculous Cervical Lymphadenitis,,True,5,2023-03;2014-08;2011-02;2009-02;2008-02,,@book?n=SU-srbmos&ed=7&vol=0#457
S_SU_,Retrosternal Goitre,,True,3,2023-08;2017-08;2007-02,,@book?n=SU-srbmos&ed=7&vol=0#506
S_SU_,Complications of Thyroidectomy,,True,4,2023-03;2013-02;2010-08;2004-08,,@book?n=SU-srbmos&ed=7&vol=0#533
S_SU_,Phaeochromocytoma,,True,2,2023-03;2007-08,,@book?n=SU-srbmos&ed=7&vol=0#553
E_SU_,Thyrotoxicosis (or) Hyperthyroidism,"- Definition of Goitre
- Clinical Features
- Management of Primary Thyrotoxicosis;- Etiology
- Clinical Features
- Investigations
- Treatment of Grave's Disease;- Classification of Goitre- Clinical Features- Management- Complications of Thyroidectomy",True,6,2022-04;2020-08;2018-08;2011-02;2006-08;2001-04,,@book?n=SU-srbmos&ed=7&vol=0#508
S_SU_,Radioisotope Thyroid Scan,- Asked as a Short Answer,True,1,2022-04,,@book?n=SU-srbmos&ed=7&vol=0#513
S_SU_,Role of Ultrasound in Thyroid,,True,1,2021-08,,@book?n=SU-srbmos&ed=7&vol=0#504
S_SU_,Thyroid Function Test,- Asked as a Short Answer,True,1,2021-08,,@book?n=SU-srbmos&ed=7&vol=0#498
S_SU_,Multiple Endocrine Neoplasia (MEN),- Asked as a Short Answer;- MEN Type II (Asked as a Short Answer),True,2,2021-04;2009-08,,@book?n=SU-srbmos&ed=7&vol=0#547
E_SU_,Papillary Carcinoma of Thyroid,"- Classification of Thyroid Neoplasms
- Clinical Features
- Diagnosis
- Management",True,1,2020-11,,"@book?n=SU-srbmos&ed=7&vol=0#517,518"
E_SU_,Medullary Carcinoma of Thyroid,"- Classification of Goitre
- Clinical Features
- Management",True,1,2020-08,,"@book?n=SU-srbmos&ed=7&vol=0#499,526"
S_SU_,Thyroiditis,- Hashimoto's Thyroiditis;- Riedel's (or) Woody (or) Ligneous Thyroiditis,True,8,2020-08;2019-02;2015-08;2011-08;2007-02;2006-08;2004-08;2004-08,,@book?n=SU-srbmos&ed=7&vol=0#528
S_SU_,Tetany,- Asked as a Short Answer,True,2,2020-02;2011-08,,@book?n=SU-srbmos&ed=7&vol=0#548
