Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_MI_4.3.4.1.2,Dermatophytes,,True,10,2023-02;2023-02;2018-08;2017-02;2013-08;2012-02;2010-08;2009-08;2008-08;2008-02;2007-02;2005-02;2004-08;2002-03;2001-04,,@book?n=MI-apsemm&ed=4&vol=0#479;@book?n=MI-apsemm&ed=3&vol=0#575
S_MI_4.3.2.1.1,Herpes Simplex Virus,,True,1,2017-08,,@book?n=MI-apsemm&ed=4&vol=0#460;@book?n=MI-apsemm&ed=3&vol=0#551
S_MI_4.3.4.3,Mucocutaneous Candidiasis,,True,7,2022-08;2022-02;2018-02;2016-02;2009-08;2009-02;2003-10,,@book?n=MI-apsemm&ed=4&vol=0#483;@book?n=MI-apsemm&ed=3&vol=0#583
S_MI_4.3.2.1.2,Varicella Zoster Virus Infection (or) Herpes Zoster,,True,6,2022-08;2018-02;2013-08;2012-02;2009-08;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#463;@book?n=MI-apsemm&ed=3&vol=0#554
S_MI_4.3.4.2.3,Chromoblastomycosis,,True,1,2018-08,,@book?n=MI-apsemm&ed=4&vol=0#482;@book?n=MI-apsemm&ed=3&vol=0#581
S_MI_4.3.3.4,Cutaneous Larva Migrans,,True,10,2023-07;2023-02;2019-02;2015-08;2014-02;2010-02;2008-02;2004-08;2001-11;2001-04,,@book?n=MI-apsemm&ed=4&vol=0#476;@book?n=MI-apsemm&ed=3&vol=0#572
S_MI_4.3.2.1.1,Tzanck Smear,,True,2,2020-11;2019-02,,@book?n=MI-apsemm&ed=4&vol=0#462;@book?n=MI-apsemm&ed=3&vol=0#553
S_MI_4.3.3.1,Loa Loa,,True,1,2019-08,,@book?n=MI-apsemm&ed=4&vol=0#475;@book?n=MI-apsemm&ed=3&vol=0#567
S_MI_4.3.4.2.2,Sporotrichosis,- Asteroid Bodies,True,6,2023-07;2014-08;2008-08;2004-04;2003-10;1997-04,,@book?n=MI-apsemm&ed=4&vol=0#482;@book?n=MI-apsemm&ed=3&vol=0#580
E_MI_4.3.2.1,Herpes Virus,"- Classification
- Morphology
- Pathogenesis
- Lab Diagnosis",True,7,2015-08;2014-08;2008-08;2006-08;2004-08;2001-04;1995-04,,@book?n=MI-apsemm&ed=4&vol=0#459;@book?n=MI-apsemm&ed=3&vol=0#550
S_MI_4.3.4.2.1,Mycetoma,,True,10,2023-02;2020-02;2014-08;2009-08;2008-08;2007-08;2007-02;2005-02;2004-08;1998-04;1997-10;1993-01;1991-12;1990-10,,@book?n=MI-apsemm&ed=4&vol=0#481;@book?n=MI-apsemm&ed=3&vol=0#578
S_MI_4.3.4.1,Superficial Mycoses,,True,5,2023-12;2015-02;2013-02;2011-02;2010-02,,@book?n=MI-apsemm&ed=4&vol=0#478;@book?n=MI-apsemm&ed=3&vol=0#574
S_MI_4.3.4.2,Subcutaneous Mycoses,,True,1,2010-08,,@book?n=MI-apsemm&ed=4&vol=0#481;@book?n=MI-apsemm&ed=3&vol=0#578
S_MI_4.3.3.3,Trichinellosis,- Backman Intradermal Test,True,3,2012-08;2011-02;2000-04,,@book?n=MI-apsemm&ed=4&vol=0#476;@book?n=MI-apsemm&ed=3&vol=0#570
S_MI_4.3.4.1.2,Ectothrix and Endothrix Infection of Hair,,True,2,2012-08;2011-08,,@book?n=MI-apsemm&ed=4&vol=0#479;@book?n=MI-apsemm&ed=3&vol=0#576
S_MI_4.3.3.2,Dracunculus Medinensis,- Life Cycle,True,1,2013-08,,@book?n=MI-apsemm&ed=4&vol=0#476;@book?n=MI-apsemm&ed=3&vol=0#569
S_MI_4.3.4.1.1,Tinea Versicolor,,True,1,2014-08,,@book?n=MI-apsemm&ed=4&vol=0#478;@book?n=MI-apsemm&ed=3&vol=0#574
S_MI_4.3.2.2.1,Koplik's Spots,,True,1,2010-02,,@book?n=MI-apsemm&ed=4&vol=0#469;@book?n=MI-apsemm&ed=3&vol=0#560
S_MI_4.3.2.2,Measles,,True,3,2023-02;2014-02;2011-08,,@book?n=MI-apsemm&ed=4&vol=0#468;@book?n=MI-apsemm&ed=3&vol=0#559
S_MI_4.3.1.2.4,Non-Suppurative Complications of Streptococci,,True,3,2012-08;2008-08;2002-03,,@book?n=MI-apsemm&ed=4&vol=0#433;@book?n=MI-apsemm&ed=3&vol=0#523
S_MI_4.3.1.6,Nocardia,,True,1,2009-02,,@book?n=MI-apsemm&ed=4&vol=0#453;@book?n=MI-apsemm&ed=3&vol=0#544
S_MI_4.1.1.1.1,Nagler's Reaction,,True,5,2022-02;2010-02;2009-02;2004-08;1997-10,,@book?n=MI-apsemm&ed=4&vol=0#440;@book?n=MI-apsemm&ed=3&vol=0#531
S_MI_4.3.1.3.1,Lepromin Test,,True,1,2009-08,,@book?n=MI-apsemm&ed=4&vol=0#448;@book?n=MI-apsemm&ed=3&vol=0#538
S_MI_4.1.1.1,Gas Gangrene,,True,5,2023-02;2019-08;2009-08;2003-10;2000-04,,@book?n=MI-apsemm&ed=4&vol=0#439;@book?n=MI-apsemm&ed=3&vol=0#529
S_MI_4.3.1.4.1,Malignant Pustule,,True,6,2021-09;2012-02;2010-02;2004-08;2002-03;2001-04,,@book?n=MI-apsemm&ed=4&vol=0#449;@book?n=MI-apsemm&ed=3&vol=0#540
S_MI_4.3.1.2.2,Toxins and Virulence Factors of Streptococci,,True,6,2023-02;2019-02;2017-08;2011-02;2003-10;2001-04,,@book?n=MI-apsemm&ed=4&vol=0#431;@book?n=MI-apsemm&ed=3&vol=0#521
S_MI_4.1.1.2,Toxins of Clostridium perfringens,,True,1,2011-08,,@book?n=MI-apsemm&ed=4&vol=0#438;@book?n=MI-apsemm&ed=3&vol=0#529
S_MI_4.3.1.1.1,Virulence Factors of Staphylococci,,True,4,2016-08;2012-02;2004-08;1997-10,,@book?n=MI-apsemm&ed=4&vol=0#422;@book?n=MI-apsemm&ed=3&vol=0#511
S_MI_4.3.1.2.5,Group B Streptococci,,True,1,2013-02,,@book?n=MI-apsemm&ed=4&vol=0#435;@book?n=MI-apsemm&ed=3&vol=0#525
S_MI_4.3.1.1.4,Special Characters of Staphylococcus aureus,,True,1,2013-08,,@book?n=MI-apsemm&ed=4&vol=0#422;@book?n=MI-apsemm&ed=3&vol=0#517
S_MI_4.3.1.5,Actinomycosis,,True,3,2019-08;2019-02;2014-02,,@book?n=MI-apsemm&ed=4&vol=0#452;@book?n=MI-apsemm&ed=3&vol=0#542
S_MI_4.3.1.2.3,Lab Diagnosis of Streptococcus pyogens,,True,1,2015-02,,@book?n=MI-apsemm&ed=4&vol=0#433;@book?n=MI-apsemm&ed=3&vol=0#524
S_MI_4.3.1.4,Bacillus anthracis,,True,2,2007-08;2002-03,,@book?n=MI-apsemm&ed=4&vol=0#449;@book?n=MI-apsemm&ed=3&vol=0#539
S_MI_4.3.1.7,Non-Venereal Treponematoses,,True,2,2018-08;2006-02,,@book?n=MI-apsemm&ed=4&vol=0#455;@book?n=MI-apsemm&ed=3&vol=0#545
S_MI_4.3.1.2.1,Classification of Streptococci,,True,1,2023-07,,@book?n=MI-apsemm&ed=4&vol=0#430;@book?n=MI-apsemm&ed=3&vol=0#520
E_MI_4.1.1.1,Gas Gangrene,"- Pathogenesis
- Clinical Manifestation
- Laboratory Diagnosis
- Management",True,3,2023-02;2022-03;2007-08,"Following RTA, edema, crushed muscles & pain. On palpation, **crepitus** felt.",@book?n=MI-apsemm&ed=4&vol=0#439;@book?n=MI-apsemm&ed=3&vol=0#529
S_MI_4.3.1.1.3,Methicillin Resistant Staphylococcus aureus (MRSA),,True,3,2022-03;2007-02;1998-04,,@book?n=MI-apsemm&ed=4&vol=0#428;@book?n=MI-apsemm&ed=3&vol=0#517
S_MI_4.3.1.1.2,Toxic Shock Syndrome,,True,1,2023-07,,@book?n=MI-apsemm&ed=4&vol=0#423;@book?n=MI-apsemm&ed=3&vol=0#512
E_MI_4.3.1.2,Streptococci,"- Classification
- Pathogenesis
- Sequelae
- Laboratory Diagnosis",True,3,2001-11;2001-04;1991-12,,@book?n=MI-apsemm&ed=4&vol=0#431;@book?n=MI-apsemm&ed=3&vol=0#520
