Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_PA_25.12,Cholelithiasis,"- Risk Factors
- Pathogenesis
- Types of Gall Stones
- Morphology
- Clinical Features
- Complications;- Pathological Effects;- Risk Factors",True,10,2022-08;2021-09;2019-02;2016-02;2015-02;2013-08;2012-02;2011-08;2010-08;2009-02;2008-08;2004-08;2003-10;1992-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#873
S_PA_25.3;25.3.4,Hepatitis,- Laboratory Diagnosis;- Hepatitis B,True,5,2023-02;2009-02;1997-10;1997-10;1993-11,A 30 year male presented with **yellowish discolouration of conjunctiva**. He had history of **blood transfusion** (multiple units) in the recent few months following RTA as an emergency.,@book?n=PA-rbpbdsa&ed=10&vol=2#831
S_PA_25.7.1,Haemochromatosis,,True,6,2023-07;2009-08;2009-02;2008-02;2004-08;2002-03,,@book?n=PA-rbpbdsa&ed=10&vol=2#848
S_PA_25.10.3.2.1;25.10.3.2.3,Hepatocellular Carcinoma,"- Etiology;- Gross Features
- Microscopic Features",True,4,2022-08;2010-08;2009-08;2007-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#868
S_PA_25.2.3,Liver Cirrhosis,"- Pathogenesis
- Classification
- Morphology
- Complications;- Complications;- Etiological Classification",True,3,2022-08;2010-02;1998-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#828
E_PA_25.2.3;25.4.1.4,Liver Cirrhosis,"- Definition
- Classification
- Morphological Features of Most Common Type;- Classification of Cirrhosis
- Etiopathogenesis of Portal Cirrhosis
- Pathology of Portal Cirrhosis;- Definition
- Classification
- Etiopathogenesis of Alcoholic Cirrhosis
- Pathology of Alcoholic Cirrhosis
- Complications;- Postmortem Appearances of Liver Cirrhosis;- Definition
- Classification
- Pathology and Pathogenesis of any one type;- Etiological Classification
- Gross Features and Microscopic Features of Alcoholic Cirrhosis",True,8,2010-08;2008-02;2006-08;2003-10;1999-10;1995-11;1994-11;1991-12,,@book?n=PA-rbpbdsa&ed=10&vol=2#828
S_PA_25.7,Metabolic Cirrhosis,,True,1,2011-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#848
S_PA_25.10.2,Benign Neoplasms of Liver,,True,1,2011-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#866
S_PA_25.15.1,Acute Pancreatitis,"- Morphology;- Causes;- Etiological Factors;- Aetiology
- Pathology",True,5,2020-11;2017-08;2013-08;2012-02;2003-10,,@book?n=PA-rbpbdsa&ed=10&vol=2#882
S_PA_25.3.6.4,Chronic Hepatitis,- Chronic Active Viral Hepatitis,True,8,2012-08;2005-02;2004-08;2003-10;2002-03;2001-11;1999-04;1996-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#837
E_PA_25.10,Tumors of Liver,,True,1,2013-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#865
S_PA_25.4.1.4,Laennec Cirrhosis,- Morphology,True,1,2013-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#843
S_PA_25.8.1,Hereditary Unconjugated Hyperbilirubinemia,,True,1,2013-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#853;@book?n=PA-ramd&ed=2&vol=1#526
S_PA_25.4.1,Alcoholic Liver Disease,"- Pathogenesis
- Stages
- Morphology
- Clinical Features;- Morphology",True,8,2023-02;2018-08;2017-02;2014-02;2007-02;2004-08;1998-10;1995-11,,@book?n=PA-rbpbdsa&ed=10&vol=2#842
E_PA_25.3,Viral Hepatitis,"- Etiopathogenesis
- Serological Evaluation",True,1,2014-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#831
S_PA_25.11.1,Cholangiocarcinoma,,True,1,2014-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#871
