Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_CM_,Concepts of prevention,- What are the levels of prevention? Describe each of them with suitable example. How these levels of prevention area applied to prevent Vitamin A deficiency among young children in a community?,True,1,2001-04,,@book?n=CM-parkpsm&ed=27&vol=1#47
S_CM_,Determinants of Health,,True,2,2001-04;2006-02,,@book?n=CM-parkpsm&ed=27&vol=1#18
E_CM_,Define Health. Explain how health and development is inter-related. Discuss in brief the various indicators of health.,,True,1,2001-11,,@book?n=CM-parkpsm&ed=27&vol=1#14;@book?n=CM-parkpsm&ed=27&vol=1#23;@book?n=CM-parkpsm&ed=27&vol=1#24
S_CM_,Physical quality life index (PQLI),,True,7,2003-10;2010-08;2014-02;2005-02;1996-04;1998-04;2018-08,,@book?n=CM-parkpsm&ed=27&vol=1#17
S_CM_,Positive health,,True,2,2004-08;2009-08,,@book?n=CM-parkpsm&ed=27&vol=1#16
S_CM_,Primordial Prevention,,True,5,2004-08;2009-02;2011-02;2012-02;2023-06,,@book?n=CM-parkpsm&ed=27&vol=1#48
S_CM_,Concepts of control,- Control vs eradication of disease;- Disease elimination and eradication with example;- Define eradication,True,4,2005-02;2011-02;2012-02;2005-04,,@book?n=CM-parkpsm&ed=27&vol=1#46
E_CM_,Modes of intervention,- Levels of intervention;- What are the modes of prevention in various levels of prevention?,True,3,2005-08;2007-08;2020-02,,@book?n=CM-parkpsm&ed=27&vol=1#49
S_CM_,Case fatality rate,- What is case fatality rate? Give an example,True,3,2005-08;2008-08;2017-02,,@book?n=CM-parkpsm&ed=27&vol=1#25
S_CM_,Iceberg of disease,,True,3,2006-08;2014-02;2015-02,,@book?n=CM-parkpsm&ed=27&vol=1#46
S_CM_,Human development index,- Indicators of human development index,True,4,2007-02;2010-02;2016-02;2021-09,,@book?n=CM-parkpsm&ed=27&vol=1#17
S_CM_,Role of emotions in health and disease,,True,1,2008-02,,@book?n=CM-parkpsm&ed=27&vol=1#15
S_CM_,Epidemiological triad,"- Define ""agent"" in disease causation. Explain the different types of agents.",True,2,2008-08;2012-08,,@book?n=CM-parkpsm&ed=27&vol=1#39
S_CM_,Morbidity indicators,- Measurement of morbidity,True,2,2008-08;2010-02,,@book?n=CM-parkpsm&ed=27&vol=1#26
E_CM_,"What is epidemiological triad? Describe in detail the agent, host and environmental factors.",,True,1,2009-02,,@book?n=CM-parkpsm&ed=27&vol=1#39
S_CM_,Mortality indicators,- Uses and limitations of mortality data,True,2,2009-02;2015-08,,@book?n=CM-parkpsm&ed=27&vol=1#24
S_CM_,Proportional mortality rate,,True,1,2009-02,,@book?n=CM-parkpsm&ed=27&vol=1#25
S_CM_,Define health,,True,2,2009-02;2012-02,,@book?n=CM-parkpsm&ed=27&vol=1#14
S_CM_,Rehabilitation,,True,1,2009-08,,@book?n=CM-parkpsm&ed=27&vol=1#51
E_CM_,Describe various levels of prevention and interventions with examples,,True,2,2010-02;2011-08,,@book?n=CM-parkpsm&ed=27&vol=1#47;@book?n=CM-parkpsm&ed=27&vol=1#49
S_CM_,Millenium development goals,,True,4,2010-02;2009-02;2013-08;2016-08,,@book?n=CM-parkpsm&ed=27&vol=1#38
S_CM_,International classification of diseases,,True,2,2010-08;2012-02,,@book?n=CM-parkpsm&ed=27&vol=1#56
S_CM_,Health care delivery indicators,,True,2,2011-02;2019-02,,@book?n=CM-parkpsm&ed=27&vol=1#27
E_CM_,Mortality indicators,- List and define the various types of mortality indicates. What are the uses and limitations of mortality data? Which mortality indicator would you choose to decide the relative importance of a disease as cause of death in a community?,True,1,2012-08,,@book?n=CM-parkpsm&ed=27&vol=1#24
S_CM_,Primary prevention,,True,1,2015-02,,@book?n=CM-parkpsm&ed=27&vol=1#48
S_CM_,Community treatment,,True,1,2013-02,,@book?n=CM-parkpsm&ed=27&vol=1#56
S_CM_,Disability limitation,,True,1,2014-02,,@book?n=CM-parkpsm&ed=27&vol=1#50
S_CM_,Disability adjusted life years (DALY),,True,2,2014-08;2009-08,,@book?n=CM-parkpsm&ed=27&vol=1#26
S_CM_,Natural history of disease,,True,2,2015-08;2002-03,,@book?n=CM-parkpsm&ed=27&vol=1#41
S_CM_,Health indicators,- Name two sensitive indicators of health,True,2,2003-10;2020-02,,@book?n=CM-parkpsm&ed=27&vol=1#24
S_CM_,Alma Ata Declaration,,True,1,,,
S_CM_,Advanced model of triangle of epidemiology,,True,1,2018-08,,@book?n=CM-parkpsm&ed=27&vol=1#40
S_CM_,Sustainable developmental goals,,True,1,2022-02,,@book?n=CM-parkpsm&ed=27&vol=1#28
S_CM_,Individual responsibility for health,,True,1,2024-02,,@book?n=CM-parkpsm&ed=27&vol=1#22
