Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
E_CM_,Health Care Systems in India,,True,5,2012-08;2017-02;2022-04,,n=CM-parkpsm&ed=27&vol=0#700,
E_CM_,Health Care Worker - Male,,True,1,2020-11,,n=CM-parkpsm&ed=27&vol=0#715,
E_CM_,Primary Health Care,"- Definition 
- Principles 
- Elements ;- Definition 
- Principles 
- Function of Medical Officer in Primary Health Centre ",True,4,2004-08;2007-02;2020-02;2010-08,,n=CM-parkpsm&ed=27&vol=0#693;n=CM-parkpsm&ed=27&vol=0#712,
E_CM_,Health Care Delivery System in India,"- Organogram 
- Health Care Services Delivered at Primary Health Centre",True,1,2015-08,,n=CM-parkpsm&ed=27&vol=0#700,
S_CM_,"Role of Medical Social Worker ",,True,8,2000-10;2005-02;2007-08;2010-02;2011-08;2012-08;2017-02;2023-02,,n=CM-parkpsm&ed=27&vol=0#713,
S_CM_,"Indian Public Health Standards of Primary Health Centre ",,True,1,2023-02,,n=CM-parkpsm&ed=27&vol=0#702,
S_CM_,"Indian Red Cross Society ",,True,4,2024-02;2018-02;2011-08;1997-10,,n=CM-parkpsm&ed=27&vol=0#721,
S_CM_,Role of Doctors as Key Players in Health Care System,,True,3,2023-02,,n=CM-parkpsm&ed=27&vol=0#712,
S_CM_,Principles of Primary Health Care,,True,10,1998-04;1999-04;2001-11;2006-02;2007-08;2009-02;2010-02;2011-08;2014-02;2022-08,,n=CM-parkpsm&ed=27&vol=0#693,
S_CM_,Bhore Committe,,True,1,2018-02,,,
S_CM_,Health Care Worker- Female,,True,2,2018-08;2023-06,,n=CM-parkpsm&ed=27&vol=0#713,
S_CM_,Voluntary Health Agencies in India,,True,4,2003-10;2007-08;2022-08;2001-11,,n=CM-parkpsm&ed=27&vol=0#721,
S_CM_,ASHA,,True,3,2009-02;2010-02;2011-02,,n=CM-parkpsm&ed=27&vol=0#700,
S_CM_,"Elements of Primary Health Care ",,True,4,2008-02;2005-08;2013-02;2011-08,,n=CM-parkpsm&ed=27&vol=0#693,
S_CM_,"Comprehensive Health Care ",,True,1,2012-08,,n=CM-parkpsm&ed=27&vol=0#693,
S_CM_,"Functions of Primary Health Centre ",,True,2,2013-08;1997-10,,n=CM-parkpsm&ed=27&vol=0#706,
S_CM_,Staffs and Services provided in Subhealth Centre,,True,1,2014-08,,n=&ed=27&vol=0#706,
S_CM_,"Changing Concepts in Public Health ",,True,1,2009-08,,n=&ed=27&vol=0#693,
S_CM_,"Community Health Centre ",,True,1,2001-08,,n=CM-parkpsm&ed=27&vol=0#706,
S_CM_,Job Description of Health Assistant Female,,True,1,2008-02,,n=CM-parkpsm&ed=27&vol=0#716,
S_CM_,Job Description of Village Health Guide,,True,1,2000-10,,n=CM-falconqr&ed=0&vol=0#635,
