Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_CM_,Approach to Health Education,,True,3,2023-02;2017-02;2009-08,,n=CM-parkpsm&ed=27&vol=0#986,
S_CM_,Methods of Health Communication,"- Panel discussion- Symposium;- Group Discussion;- Workshop;- Role Play",True,8,2023-06;2023-02;2009-02;2012-08;2014-08;2001-04;1995-11;2005-02,,n=CM-parkpsm&ed=27&vol=0#991,
S_CM_,Behaviour Change Communication,,True,2,2019-02;2022-02,,n=CM-parkpsm&ed=27&vol=0#986,
E_CM_,Methods of Health Communication,"- Define Motivation- Group and Individual Approach;- Define Health Education- Methods of delivering Health Education",True,6,2017-08;2020-02;2021-09;2013-08;2015-02;1995-04,,n=CM-parkpsm&ed=27&vol=0#991,
S_CM_,Motivation,,True,1,2020-11,,n=CM-parkpsm&ed=27&vol=0#984,
S_CM_,Barriers of Communication,,True,6,2022-04;2008-08;2011-02;2012-08;2015-08;2016-02,,n=CM-parkpsm&ed=27&vol=0#984,
E_CM_,Principles of Health Education,,True,3,2010-02;2012-02;2006-08,,n=CM-parkpsm&ed=27&vol=0#989,
S_CM_,Principles of Health Education,,True,4,2010-08;2016-08;1995-11;2000-10,,n=CM-parkpsm&ed=27&vol=0#989,
S_CM_,Components of Communication,,True,2,2011-02;2007-08,,n=CM-parkpsm&ed=27&vol=0#982,
S_CM_,Health Education and Propaganda,- Differences,True,3,2011-02;2016-02;2006-02,,n=CM-parkpsm&ed=27&vol=0#987,
S_CM_,Contents of Health Education,,True,1,2011-08,,n=CM-parkpsm&ed=27&vol=0#988,
S_CM_,Types of Communication,,True,1,2013-02,,n=CM-parkpsm&ed=27&vol=0#983,
S_CM_,Models of Health Education,,True,1,2014-02,,n=CM-parkpsm&ed=27&vol=0#987,
