Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_CM_,Medical social worker,,True,8,2023-02;2017-02;2010-02;2011-08;2012-08;2006-02;2007-08;2000-10,,@book?n=CM-parkpsm&ed=27&vol=0#808
S_CM_,Types of Learning,,True,4,2024-02;2021-09;2012-08;2016-02,,@book?n=CM-parkpsm&ed=27&vol=0#792
S_CM_,Juvenile Delinquency,,True,5,2017-02;2012-08;2016-02;2006-02;1993-01,,@book?n=CM-parkpsm&ed=27&vol=0#812
S_CM_,Role of Family in Health and disease,,True,4,2017-08;2011-02;2022-04;2005-08,,@book?n=CM-parkpsm&ed=27&vol=0#799
E_CM_,Cultural Factors Affecting Health,,True,4,2018-08;2023-06;2013-02;2008-02,,@book?n=CM-parkpsm&ed=27&vol=0#801
S_CM_,Family Cycle,- Health Hazards at each phase,True,1,2020-11,,@book?n=CM-parkpsm&ed=27&vol=0#798
S_CM_,Social Security Schemes,- For Elderly;- For Industrial Workers,True,5,2020-11;2011-08;1990-12;2023-06;2017-02,,@book?n=CM-parkpsm&ed=27&vol=0#817
S_CM_,Acculturation,,True,10,2024-02;2009-08;2010-02;2024-05;2012-02;2013-08;2015-02;2005-02;2007-08;2003-10,,@book?n=CM-parkpsm&ed=27&vol=0#787
S_CM_,Functions of Family,,True,1,2008-08,,@book?n=CM-parkpsm&ed=27&vol=0#799
S_CM_,Types of Family,,True,3,2009-02;2010-02;2015-02,,@book?n=CM-parkpsm&ed=27&vol=0#798
S_CM_,Consumer Protection Act,,True,1,2010-08,,@book?n=CM-parkpsm&ed=27&vol=0#809
S_CM_,Operations Research,,True,1,2013-08,,@book?n=CM-parkpsm&ed=27&vol=0#811
S_CM_,Defence Mechanisms,,True,1,2014-02,,@book?n=CM-parkpsm&ed=27&vol=0#793
S_CM_,Food Fads,,True,1,2014-02,,@book?n=CM-parkpsm&ed=27&vol=0#802
S_CM_,Art of Interviewing,,True,2,2015-02;2006-08,,@book?n=CM-parkpsm&ed=27&vol=0#810
S_CM_,Cultural Factors Affecting Health,,True,3,2016-08;2002-11;2005-02,,@book?n=CM-parkpsm&ed=27&vol=0#801
S_CM_,Social Stress,,True,1,2001-11,,@book?n=CM-parkpsm&ed=27&vol=0#787
E_CM_,Family in Health and Disease,"- Types of Family- Functions of Family- Role in Health and Disease",True,2,2007-02;1994-11,,@book?n=CM-parkpsm&ed=27&vol=0#799
S_CM_,Temporary Social Groups,,True,1,2007-02,,@book?n=CM-parkpsm&ed=27&vol=0#797
S_CM_,Food Taboos during Pregnancy,,True,1,2001-11,,@book?n=CM-parkpsm&ed=27&vol=0#802
S_CM_,Role of Emotions in Health and Disease,,False,1,,,@book?n=CM-parkpsm&ed=27&vol=0#790
