Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
E_CM_,Nutritional Anemia,"- Epidemiology- Causes- Detrimental effects- Interventions;- Epidemiology- Prevention- Anemia Mukt Bharat;- Enumerate the Nutritional deficiency disorders- Causes- Detrimental effects- Preventive measures",True,5,2023-02;2022-08;2022-02;2012-02;2002-03,,n=CM-parkpsm&ed=27&vol=0#756,
S_CM_,Xerophthalmia (or) Nutritional Blindness,"- Epidemiology- Prevention;- Vitamin A Prophylaxis Programme",True,7,2024-02;2023-06;2014-08;2012-02;2009-02;2006-08;1993-11,,n=CM-parkpsm&ed=27&vol=0#756,
S_CM_,Nutritional Factors in Cardiovascular Disease,,True,1,2017-02,,n=CM-parkpsm&ed=27&vol=0#760,
S_CM_,Balanced Diet (or) Prudent Diet,,True,5,2017-02;2012-02;2008-08;2007-02;2001-08,,n=CM-parkpsm&ed=27&vol=0#753,
S_CM_,Iodine Deficiency Disorders,"- Control;- Reference to Pregnancy and Infancy;- Endemic Goitre- Prevention of Goitre",True,6,2022-04;2018-08;2017-08;2002-03;2000-04;1994-11,,n=CM-parkpsm&ed=27&vol=0#758,
S_CM_,Prevention of Food Adulteration Act,,True,1,2017-08,,n=CM-parkpsm&ed=27&vol=0#773,
S_CM_,Trans Fatty Acids,,True,1,2017-08,,n=CM-parkpsm&ed=27&vol=0#727,
S_CM_,National Nutritional Policy,,True,1,2018-02,,n=CM-parkpsm&ed=27&vol=0#774,
S_CM_,Water Soluble Vitamins,"- Name all Water Soluble Vitamins- Deficiency Manifestation of Thiamine",True,1,2018-08,,n=CM-parkpsm&ed=27&vol=0#733,
S_CM_,Limiting Amino Acid,,True,3,2018-08;2011-08;2009-02,,n=CM-parkpsm&ed=27&vol=0#,
E_CM_,Food Fortification and Food Safety,"- Statutory Body that regulates Food safety- Define Food fortification- Common Food fortifications- Food Additives",True,1,2019-08,,n=CM-parkpsm&ed=27&vol=0#773,
S_CM_,Methods of Dietary Survey,,True,4,2020-02;2008-08;2005-08;2001-04,,n=CM-parkpsm&ed=27&vol=0#762,
S_CM_,Whole Cereals,,True,1,2020-11,,n=CM-parkpsm&ed=27&vol=0#741,
