Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
E_CM_,Cohort Study,"- Classification of epidemiological studies
- Steps of cohort study
- Strength of association;- Types of analytical epidemiological studies
- Steps of cohort study
- Example
- Advantages and disadvantages;- Definition
- Basics of the design of cohort study;- Definition of epidemiology
- Types of epidemiological studies
- Cohort study in detail
- Merits and demerits;- Definition
- Types
- Steps",True,6,2024-02;2021-09;1999-04;2011-02;2002-03;2007-02,,n=CM-parkpsm&ed=27&vol=1#83,
E_CM_,Case Control Study,"- Types of analytical epidemiological studies
- Steps of case control study;- Definition of epidemiology
- Steps
- Example;- Definition of epidemiology
- Steps
- Merits and demerits;- Definition of epidemiology
- Types of epidemiological study
- Steps",True,6,2023-02;2022-08;2009-08;2011-08;2015-02;2012-02,,n=CM-parkpsm&ed=27&vol=1#79,
E_CM_,Randomized Controlled Trials,"- Definition of epidemiology
- Types of epidemiological studies
- Steps",True,1,2023-02,,n=CM-parkpsm&ed=27&vol=1#89,
E_CM_,Association and Causation,"- Definition of epidemiology
- Epidemiological methods
- Differentiate associated factor and causative factor with examples
- Relative risk and attributable risk and it's applications in public health",True,1,2018-02,,"n=CM-parkpsm&ed=27&vol=1#95,86",
E_CM_,Acute Events Following Immunization,"- Classification
- Steps in investigation",True,1,2019-02,,n=CM-parkpsm&ed=27&vol=1#123,
E_CM_,Epidemic Investigation,"- Definition
- Steps;- Types of epidemiological studies
- Steps;- Objectives
- Steps
- Uses of epidemiology",True,5,2024-02;2020-02;2007-08;1992-04;2004-08,,n=CM-parkpsm&ed=27&vol=1#147,
E_CM_,Epidemic,"- Definition of pandemic
- Phases of an epidemic when entire susceptible population exposed to a case",True,1,2020-11,,"n=CM-parkpsm&ed=27&vol=1#101,72",
E_CM_,Measurement of Mortality,"- Mortality rates
- Mortality ratios
- Uses
- Limitations",True,1,2022-04,,n=CM-parkpsm&ed=27&vol=1#64,
E_CM_,Cold Chain,"- National Immunization Schedule
- Cold chain
- Implementation at primary care level",True,1,2005-08,,"n=CM-parkpsm&ed=27&vol=1#136,116",
E_CM_,Epidemiology,"- Definition
- Epidemiological methods
- Uses of epidemiology with examples",True,1,1995-11,,"n=CM-parkpsm&ed=27&vol=1#60,70,99",
E_CM_,Non Randomized Trials,"- Definition
- Types
- Explain three with examples
- Advantages over randomized controlled trials",True,1,1996-04,,n=CM-parkpsm&ed=27&vol=1#93,
E_CM_,Distribution of Disease,"- Various trends
- Illustrations
- Examples",True,1,1998-04,,n=CM-parkpsm&ed=27&vol=1#73,
E_CM_,Disease Transmission,"- Source of infection
- Reservoir of infection
- Dynamics and modes of disease transmission",True,2,2008-08;2013-02,,n=CM-parkpsm&ed=27&vol=1#102,
E_CM_,Case Control Vs Cohort Study,"- Define epidemiology
- Compare and contrast case control and cohort
- Uses of epidemiology",True,1,2003-10,,"n=CM-parkpsm&ed=27&vol=1#87,99",
E_CM_,Descriptive Epidemiological Study,"- Definition of epidemiology
- Epidemiological approach
- Descriptive epidemiology in detail",True,1,2006-08,,n=CM-parkpsm&ed=27&vol=1#71,
S_CM_,Herd Immunity,"- Definition
- Importance in disease control;- Compare herd immunity for measles and tetanus;- Factors contributing to herd immunity",True,8,2023-02;2018-08;2020-02;2023-06;2011-02;2012-08;2005-08;1997-10,,n=CM-parkpsm&ed=27&vol=1#110,
S_CM_,Mortality Data,"- Uses
- Limitations",True,2,2023-02;2015-08,,n=CM-parkpsm&ed=27&vol=1#64,
S_CM_,Cold chain,"- Plan model at primary health centre for routine immunization;- Maintenance
- Equipments",True,10,2023-02;2010-02;2018-02;2017-08;2022-02;2001-11;2008-08;2001-04;2004-08;2007-08,,n=CM-parkpsm&ed=27&vol=1#116,
S_CM_,Bias,"- Bias in case control study
- Examples
- Methods to overcome bias",True,6,2023-06;2019-08;2005-08;2016-02;2014-02;1997-04,,n=CM-parkpsm&ed=27&vol=1#81,
S_CM_,Descriptive Study,"- Procedures
- Common source epidemic;- Uses",True,2,2024-02;2005-08,,n=CM-parkpsm&ed=27&vol=1#71,
S_CM_,Bradford Hill's Criteria for Association and Causation,,True,2,2024-02;2022-04,,n=CM-parkpsm&ed=27&vol=1#97,
S_CM_,Emporiatrics,- Significance,True,6,2019-02;2022-02;2023-02;2014-02;2015-02;2010-02,,n=CM-parkpsm&ed=27&vol=1#140,
S_CM_,National Immunization Schedule,,True,4,2019-08;2017-02;1992-04;2010-08,,n=CM-parkpsm&ed=27&vol=1#136,
S_CM_,Disease Control,- International health regulations,True,1,2020-02,,n=CM-parkpsm&ed=27&vol=1#131,
S_CM_,Case Fatality Rate,"- Definition
- Example;- Definition
- Significance",True,3,2017-02;2005-08;2008-08,,n=CM-parkpsm&ed=27&vol=1#66,
S_CM_,Epidemic Curve,,True,2,2017-08;2010-08,,n=CM-parkpsm&ed=27&vol=1#72,
S_CM_,Isolation and Quarantine,- Quarantine;- Differences,True,7,2017-08;2002-03;2019-08;2022-04;2023-06;2004-08;2001-04,,n=CM-parkpsm&ed=27&vol=1#133,
S_CM_,Relative Risk and Attributable Risk,- Differences;- Attributable risk;- Relative risk,True,8,2017-08;2003-10;2011-08;2019-08;2005-02;2015-08;2001-11;2003-10,,n=CM-parkpsm&ed=27&vol=1#86,
S_CM_,Primary Case and Index Case,- Differences;- Index case,True,2,2018-02;2013-08,,n=CM-parkpsm&ed=27&vol=1#103,
S_CM_,Spot Map,"- Definition
- Uses in epidemiological investigations",True,3,2018-02;2018-08;1996-04,,n=CM-parkpsm&ed=27&vol=1#74,
S_CM_,Epidemic Investigation,- Steps,True,4,2019-02;2015-02;2006-02;2002-03,,n=CM-parkpsm&ed=27&vol=1#147,
S_CM_,Softwares Used in Epidemiology,,True,1,2019-02,,,
S_CM_,Migration Studies,"- Definition
- Uses",True,2,2022-04;2019-08,,n=CM-parkpsm&ed=27&vol=1#75,
S_CM_,Survival Rate,,True,2,2019-08;2011-02,,n=CM-parkpsm&ed=27&vol=1#66,
S_CM_,Disinfection,- Concurrent disinfection;- Precurrent disinfection;- Types,True,6,2020-02;2014-02;2022-04;2011-08;2010-02;2004-08,,n=CM-parkpsm&ed=27&vol=1#141,
S_CM_,Randomized Controlled Trials,"- Steps
- Example",True,3,2022-02;2010-08;2014-02,,n=CM-parkpsm&ed=27&vol=1#89,
S_CM_,Open Vial Policy,,True,1,2022-04,,n=CM-parkpsm&ed=27&vol=1#121,
S_CM_,Personal Protective Equipment,,True,1,2022-04,,n=CM-parkpsm&ed=27&vol=1#146,
S_CM_,Blinding techniques,- Types,True,1,2023-02,,n=CM-parkpsm&ed=27&vol=1#91,
S_CM_,Prevalence,"- Point prevalence
- Period prevalence;- Point prevalence",True,2,2023-06;2014-02,,n=CM-parkpsm&ed=27&vol=1#69,
