Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
E_CM_,Screening Test,"- Criteria
- Parameters of validity
- Example
- Difference between screening test and gold standard test;- Definition
- Criteria",True,2,2024-02;2023-06,,"n=CM-parkpsm&ed=27&vol=1#151,153,154",
S_CM_,Evaluation of a Screening Test,,True,4,2023-02;2022-04;2016-08;2005-08,,n=CM-parkpsm&ed=27&vol=1#155,
S_CM_,Lead time,,True,4,2021-09;2017-02;2014-02;2012-08,,n=CM-parkpsm&ed=27&vol=1#151,
S_CM_,Differentiate Between Screening Test and Diagnostic Test,,True,3,2022-08;2018-02;2016-02,,n=CM-parkpsm&ed=27&vol=1#151,
S_CM_,Specificity,"- Definition
- Examples of conditions where a test with high specificity is chosen",True,1,2019-08,,n=CM-parkpsm&ed=27&vol=1#155,
S_CM_,Sensitivity,"- Definition
- Advantages and limitations of using a test with high sensitivity as screening test with an example",True,3,2023-02;2020-11;2008-08,,n=CM-parkpsm&ed=27&vol=1#155,
S_CM_,Sensitivity and Specificity,,True,3,2022-08;2009-08;2009-02,,n=CM-parkpsm&ed=27&vol=1#155,
S_CM_,Qualities of a Good Screening Test,,True,1,2005-08,,n=CM-parkpsm&ed=27&vol=1#151,
S_CM_,Criteria for Screening Test,,True,3,2011-02;2007-08;1992-04,,n=CM-parkpsm&ed=27&vol=1#153,
S_CM_,Screening Test,,True,2,2013-02;1994-11,,n=CM-parkpsm&ed=27&vol=1#151,
S_CM_,Uses of Screening,,True,1,2009-08,,n=CM-parkpsm&ed=27&vol=1#152,
S_CM_,Types of Screening,,True,4,2012-02;2006-02;2004-08;2001-11,,n=CM-parkpsm&ed=27&vol=1#153,
S_CM_,Positive Predictive Value of a Screening Test,,True,1,2014-02,,n=CM-parkpsm&ed=27&vol=1#155,
S_CM_,Validity of a Screening Test,,True,1,2014-08,,n=CM-parkpsm&ed=27&vol=1#154,
S_CM_,Multiphasic Screening,,True,1,2003-10,,n=CM-parkpsm&ed=27&vol=1#153,
