Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_FM_,Forensic Entomology,,True,1,2023-06,,n=FM-ignfmt&ed=5&vol=0#30,
S_FM_,Cadaveric Spasm (or) Instantaneous Rigor (or) Cataleptic Rigidity,- Development of Rigor Mortis is Hastened in Violent Deaths,True,4,2023-02;2017-08;2015-08;2013-02,,n=FM-ignfmt&ed=5&vol=0#24,
S_FM_,Suspended Animation (or) Apparent Death,,True,4,2024-02;2023-07;2016-02;2013-02,,n=FM-ignfmt&ed=5&vol=0#16,
S_FM_,Rigor Mortis,- Cutis Anserina (or) Goose Bumps (Asked as a Short Answer),True,3,2023-02;2020-02;2015-08,,n=FM-ignfmt&ed=5&vol=0#21,
S_FM_,Changes in the Eyes after Death,- Kevorkian Sign or Rail Roading or Cattle Trucking in Retina (Asked as a Short Answer),True,2,2023-02;2013-02,,n=FM-ignfmt&ed=5&vol=0#26,
S_FM_,Post-mortem Hypostasis (or) Livor Mortis (or) Cadaveric Lividity (or) Suggillations,,True,5,2022-08;2017-02;2014-08;2013-08;2013-02,,n=FM-ignfmt&ed=5&vol=0#17,
E_FM_,Post-mortem Changes,"- Estimation of Time Since Death- Adipocere (or) Saponification- Mummification;- Definition of Death- Post-mortem Changes- Estimation of Time Since Death;- Post-mortem Interval- Factors for Determining the Post-mortem Interval",True,3,2022-02;2016-08;2014-02,,"n=FM-ignfmt&ed=5&vol=0#11,15-38",
S_FM_,Casper's Dictum,- Asked as a Short Answer,True,1,2019-08,,n=FM-ignfmt&ed=5&vol=0#34,
S_FM_,Sudden Death,,True,1,2018-02,,n=FM-ignfmt&ed=5&vol=0#326,
S_FM_,Rule of 12,,True,1,2016-02,,n=FM-ignfmt&ed=5&vol=0#23,
S_FM_,Marbling of Skin,- Asked as a Short Answer,True,1,2015-02,,n=FM-ignfmt&ed=5&vol=0#29,
