Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_FM_,Gustafson's Method,- Methods available to estimate the age by using teeth after 21 years;- Gustafson's Changes in Teeth,True,6,2024-02;2022-08;2016-08;2013-02;2011-08;2001-11,,@book?n=FM-ignfmt&ed=5&vol=1#89
S_FM_,Dactylography (or) Dermatoglyphics (or) Galton System (or) Fingerprints,- Poroscopy (or) Locard's Test (Asked as a Short Answer),True,10,2024-02;2020-11;2014-02;2010-08;2009-02;2008-08;2005-08;2001-11;2000-10;1995-11;1993-01,,@book?n=FM-ignfmt&ed=5&vol=1#107
S_FM_,Sex Chromatin,- Davidson Body (Asked as a Short Answer);- Barr Body (Asked as a Short Answer),True,2,2024-02;2015-02,,@book?n=FM-ignfmt&ed=5&vol=1#78
S_FM_,Superimposition,,True,3,2023-07;2010-08;2003-10,,@book?n=FM-ignfmt&ed=5&vol=1#113
S_FM_,Hair (or) Trichology,- Human Hair vs Animal Hair;- Medicolegal Importance,True,3,2023-02;2000-04;2000-04,,"@book?n=FM-ignfmt&ed=5&vol=1#117,119"
S_FM_,Rule of Haase,- Asked as a Short Answer,True,2,2023-02;2000-10,,@book?n=FM-ignfmt&ed=5&vol=1#103
S_FM_,Intersex,- Medicolegal Importance;- Concealed Sex;- Klinefelter's Syndrome (Asked as a Short Answer);- Turner's Syndrome;- Gonadal Dysgenesis,True,9,2022-02;2014-02;2013-08;2013-02;2009-08;2009-02;2005-08;2005-02;2001-04,,@book?n=FM-ignfmt&ed=5&vol=1#74
S_FM_,Medicolegal Importance of Age,- Medicolegal Importance of Age 18;- Medicolegal Importance of Age 16;- Age of Criminal Responsibility,True,7,2022-02;2016-08;2011-08;2010-08;2009-08;2004-08;2004-08,,@book?n=FM-ignfmt&ed=5&vol=1#104
S_FM_,Corpus Delicti (or) Body of Crime,,True,5,2020-11;2011-08;2010-02;2008-02;1991-12,,@book?n=FM-ignfmt&ed=5&vol=1#72
S_FM_,Tatoo Marks,,True,3,2017-02;2003-10;1998-04,,@book?n=FM-ignfmt&ed=5&vol=1#111
S_FM_,Calligraphy (or) Hand Writing,- Asked as a Short Answer,True,1,2012-08,,@book?n=FM-ignfmt&ed=5&vol=0#120
S_FM_,Cheiloscopy (or) Lip Prints,,True,1,2011-02,,@book?n=FM-ignfmt&ed=5&vol=1#110
S_FM_,Cephalic Index,,True,1,2009-08,,@book?n=FM-ignfmt&ed=5&vol=1#73
S_FM_,Application of X-rays in Forensic Medicine,,True,1,2008-08,,"@book?n=FM-ignfmt&ed=5&vol=1#86,96-100"
E_FM_,Identification,"- Definition
- Identification Data",True,1,2007-08,,"@book?n=FM-ignfmt&ed=5&vol=1#71,73"
S_FM_,Mixed Dentition,,True,1,2005-08,,@book?n=FM-ignfmt&ed=5&vol=1#88
