Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_FM_,Documentary Evidence,- First Information Report,True,3,2024-02;2015-02;2009-08,,n=FM-ignfmt&ed=5&vol=0#452,
S_FM_,Inquest,- Magistrate's Inquest (For CBME in Feb 2023);- Police Inquest,True,9,2023-02;2023-02;2020-02;2017-02;2014-08;2011-08;2010-02;2007-08;2004-08,,n=FM-ignfmt&ed=5&vol=0#448,
S_FM_,Summons (or) Subpoena,,True,6,2023-07;2018-02;2011-08;2010-08;2008-08;2008-02,,n=FM-ignfmt&ed=5&vol=0#448,
S_FM_,Dying Deposition,- Asked as a Short Answer,True,2,2021-09;2014-08,,n=FM-ignfmt&ed=5&vol=0#452,
S_FM_,Cognizable Offence,- Asked as a Short Answer,True,2,2020-11;2019-02,,n=FM-ignfmt&ed=5&vol=0#447,
S_FM_,Dying Declaration,,True,6,2019-08;2013-02;2008-08;2001-11;2001-04;2000-10,,n=FM-ignfmt&ed=5&vol=0#452,
S_FM_,Witness,- Hostile Witness;- Expert Witness,True,6,2017-08;2014-02;2013-08;2006-02;2003-10;2002-03,,n=FM-ignfmt&ed=5&vol=0#453,
S_FM_,Perjury,- Asked as a Short Answer,True,3,2015-08;2013-02;2009-02,,n=FM-ignfmt&ed=5&vol=0#454,
S_FM_,Conduct Money,,True,3,2013-08;2008-08;2001-04,,n=FM-ignfmt&ed=5&vol=0#449,
S_FM_,Session Courts,,True,1,2010-08,,n=FM-ignfmt&ed=5&vol=0#449,
S_FM_,Doctor in the Witness Box,,True,1,2006-08,,n=FM-ignfmt&ed=5&vol=0#456,
E_FM_,Examination of a Witness in a Court of Law,,True,1,2000-04,,n=FM-ignfmt&ed=5&vol=0#453,
