Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_FM_,Superfecundation and Superfetation,,True,6,2024-02;2023-02;2018-02;2011-02;2008-08;2002-03,,n=FM-ignfmt&ed=5&vol=0#394,
S_FM_,Positive Signs of Pregnancy,,True,2,2023-06;2024-02,,n=FM-ignfmt&ed=5&vol=0#394,
S_FM_,Artificial Insemination,- Legal Issues,True,9,2023-06;2020-02;2013-02;2010-02;2007-08;2003-10;2001-04;1998-10;1997-04,,n=FM-ignfmt&ed=5&vol=0#348,
S_FM_,Signs of Recent Delivery,- Lochia (Asked as a Short Answer),True,10,2024-02;2023-07;2023-02;2022-08;2021-09;2019-08;2015-02;2013-08;2011-02;2009-02;2003-10,,n=FM-ignfmt&ed=5&vol=0#396,
S_FM_,Pseudocyesis,,True,2,2020-02;2012-08,,n=FM-ignfmt&ed=5&vol=0#394,
S_FM_,Surrogate Mother,- Asked as a Short Answer,True,3,2018-02;2014-02;2000-04,,n=FM-ignfmt&ed=5&vol=0#350,
S_FM_,Disputed Paternity,- Posthumous Child (Asked as a Short Answer);- Atavism (Asked as a Short Answer),True,5,2014-02;2013-02;2009-02;2008-02;1995-11,,n=FM-ignfmt&ed=5&vol=0#398,
S_FM_,False Virgin,- Asked as a Short Answer,True,1,2010-08,,n=FM-ignfmt&ed=5&vol=0#390,
E_FM_,Artificial Insemination,"- Indications- Biological Aspects- Legal Aspects- Precautions",True,1,2009-02,,n=FM-ignfmt&ed=5&vol=0#348,
S_FM_,Hymen,,True,4,2005-08;2000-10;2000-04;1998-04,,n=FM-ignfmt&ed=5&vol=0#389,
S_FM_,Signs of Virginity,,True,1,2004-08,,n=FM-ignfmt&ed=5&vol=0#390,
E_FM_,Impotence and Sterility,"- Definition of Impotence and Sterility- Causes of Impotence and Sterility in Male and Female- Artificial Insemination",True,1,2003-10,,n=FM-ignfmt&ed=5&vol=0#342,
