Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_MI_1.2.6.2,Gene Transfer,- Various methods of gene transfer;- Transformation,True,1,2022-03,,,
S_MI_1.2.3.1,Bacterial Growth Curve,- Factors affecting growth of bacteria,True,6,2020-11;2016-08;2014-08;2012-08;2012-02;2010-02,,,
S_MI_1.2.1.2,Phase Contrast Microscope,- Working mechanism;- Principle,True,2,2023-07;2022-08,,,
S_MI_1.2.6.2.4,Transposons,,True,4,2023-07;2022-08;2019-02;2011-08,,,
S_MI_1.2.1.3,Fluorescence Microscope,- Working Mechanism;- Uses;- Principles,True,3,2023-02;2020-02;2016-02,,,
S_MI_1.2.6.3,Genetic engineering,"- Definition
- Procedure and application
- Recombinant DNA technology in vaccine production",True,3,2023-02;2022-08;2018-02,,,
S_MI_1.1.1.3,Robert Koch,- Koch's postulates,True,5,2023-07;2022-02;2019-02;2016-02;2009-08,,,
S_MI_1.1.1.1,Louis Pasteur,,True,6,2021-09;2020-11;2017-08;2015-02;2011-02;2009-02,,,
S_MI_1.2.5.1.6,Transport Media,,True,5,2023-07;2022-08;2014-08;2012-02;2009-02,,,
S_MI_1.1.1.2,Pasteurization,,True,2,2019-08;2009-08,,,
S_MI_1.2.1.4,Electron Microscope,,True,3,2023-07;2015-02;2011-08,,,
S_MI_1.2.1.1,Darkground Microscope,- Uses,True,2,2019-08;2012-02,,,
S_MI_1.2.2.2.4,Fimbriae,,True,2,2023-02;2011-02,,,
S_MI_1.2.2.2.3,Flagella,- Types;- Bacteria having peritrichate flagella,True,5,2021-09;2015-02;2013-02;2012-02;2009-08,,,
S_MI_1.2.2.2.1,Bacterial Capsule,,True,5,2017-08;2014-02;2010-08;2010-02;2008-08,,,
S_MI_1.2.2.2.2,Slime Layer,,True,1,2020-11,,,
S_MI_1.2.2.1.1,Bacterial Cell Wall,- Difference between bacterial cell wall of Gram Positive and Gram Negative bacteria,True,1,2016-02,,,
E_MI_1.2.2.1,Bacterial Cell Wall,"- Morphology
- Diagram
- Functions of various appendages",True,1,2009-02,,,
E_MI_1.2.3.1,Bacterial Growth Curve,- Factors affecting the growth of bacteria,True,1,2022-03,,,
E_MI_1.2.3,Physiology of Bacteria,,True,1,2013-02,,,
S_MI_1.2.4.1,"Differential Stains ",,True,1,2022-08,,,
S_MI_1.2.4.2,"Negative Staining ",,True,3,2022-02;2013-08;2009-02,,,
S_MI_1.2.4.3,Modified AFB,,True,1,2020-11,,,
S_MI_1.2.4,Identification of Bacteria,,True,1,2020-02,,,
S_MI_1.2.4.3.1,Uses of Gram Stain,,True,1,2010-08,,,
E_MI_1.2.5,Culture Media,"- Types
- Anaerobic culture media",True,1,2020-11,,,
S_MI_1.2.5.1,Culture Media,,True,1,2023-02,,,
S_MI_1.2.5.1.1,Differential Media,,True,1,2022-08,,,
S_MI_1.2.5.1.2,Enriched Media,,True,6,2022-02;2018-08;2016-02;2014-02;2010-02;2008-08,,,
S_MI_1.2.5.1.3,Enrichment Media,,True,2,2016-08;2011-02,,,
S_MI_1.2.5.1.4,Selective Media,,True,5,2015-02;2014-02;2013-02;2012-08;2009-08,,,
S_MI_1.2.5.1.2.1,Chocolate Agar,,True,1,2017-08,,,
S_MI_1.2.5.1.5,Anaerobic Culture Media,,True,8,2021-09;2016-02;2014-02;2012-02;2011-08;2011-02;2010-08;2010-02,,,
S_MI_1.2.5.2.1,Indole Test,,True,1,2021-09,,,
S_MI_1.2.5.2.3,Oxidase Test,,True,1,2009-02,,,
S_MI_1.2.5.2.2,Urease Test,,True,1,2008-08,,,
S_MI_1.2.5.2,IMVIC test,,True,1,2012-08,,,
S_MI_1.2.5.3.1,Polymerase Chain Reaction (PCR),,True,5,2019-08;2016-08;2015-02;2013-08;2012-02,,,
S_MI_1.2.5.3.2,Nucleic Acid Probes,,True,2,2016-02;2012-08,,,
S_MI_1.2.6.1,Plasmid,,True,5,2020-02;2014-08;2013-02;2010-08;2009-08,,,
E_MI_1.2.6.2,Methods of Gene Transfer,,True,1,2018-02,,,
S_MI_1.2.6.2.2,Transduction,"- Mechanism
- Types",True,2,2013-08;2009-08,,,
S_MI_1.2.6.2.3,Conjugation,,True,2,2015-08;2010-02,,,
