Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_MI_1.4,Sterilization,"- Definition and Classification
- Moist Heat sterilization;- Chemical Methods;- Sterilization by Heat",True,4,2014-08;2011-02;2009-08;2008-08,n=MI-apsemm&ed=4&vol=0#222;n=MI-apsemm&ed=3&vol=0#253,,
S_MI_1.4.4,Hot Air Oven,,True,4,2010-02;2009-02;2008-02;2005-08,n=MI-apsemm&ed=4&vol=0#225,,
S_MI_1.4.6,Cold Sterilization,,True,6,2023-07;2020-02;2019-02;2015-02;2009-02;2008-02,n=MI-apsemm&ed=4&vol=0#223,,
S_MI_8.5,Nosocomial Infections,,True,2,2010-08;2003-10,n=MI-apsemm&ed=4&vol=0#203;n=MI-apsemm&ed=3&vol=0#241,,
E_MI_1.5,Disinfection,"- Definition and Properties of an Ideal Disinfectant
- Disinfecting agents and their applications",True,1,2012-08,n=MI-apsemm&ed=4&vol=0#220;n=MI-apsemm&ed=4&vol=0#226,,
S_MI_1.4.1,Moist Heat Sterilization,,True,1,2013-08,n=MI-apsemm&ed=4&vol=0#222,,
S_MI_1.4.1;1.4.5,"Heat Sterilization ",,True,5,2023-02;2022-02;2018-08;2015-08;1997-04,n=MI-apsemm&ed=4&vol=0#222,,
S_MI_1.4.2,Gas Sterilization,,True,3,2022-08;2020-02;2018-02,n=MI-apsemm&ed=4&vol=0#223,,
S_MI_1.5.2,Chemical Disinfectants,,True,1,2016-08,n=MI-apsemm&ed=4&vol=0#226,,
S_MI_1.5.1,High Level Disinfection,,True,1,2017-02,n=MI-apsemm&ed=4&vol=0#226,,
S_MI_1.5.3,Testing of Disinfectant,,True,1,2001-11,n=MI-apsemm&ed=4&vol=0#229,,
