Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_MI_1.8.2.1.1,Immunoglobulin G,,True,2,2019-02;2008-08,n=MI-apsemm&ed=4&vol=0#131;n=MI-apsemm&ed=3&vol=0#146,,
S_MI_1.10.1.3,Hypersensitivity Type 3,,True,2,2013-08;2008-08,n=MI-apsemm&ed=4&vol=0#178,,
S_MI_1.8.4.3,Biological Functions of Complement,,True,1,2008-08,n=MI-apsemm&ed=4&vol=0#149,,
S_MI_1.8.2.1.2,Immunoglobulin M,,True,4,2022-02;2019-08;2012-08;2008-08,n=MI-apsemm&ed=4&vol=0#131,,
S_MI_1.7.2.2,Passive Immunity,,True,1,2009-02,n=MI-apsemm&ed=4&vol=0#123,,
S_MI_1.7.2.1,Active Immunity,,True,2,2014-08;2009-02,n=MI-apsemm&ed=4&vol=0#122,,
S_MI_1.11.3,Graft vs Host Reactions,,True,4,2017-08;2016-08;2010-08;2009-02,n=MI-apsemm&ed=4&vol=0#190,,
S_MI_1.7.2,Acquired Immunity,,True,1,2009-08,n=MI-apsemm&ed=4&vol=0#122,,
S_MI_1.8.2.3,Monoclonal Antibody,,True,5,2013-08;2013-02;2009-08;2008-02;1997-04,n=MI-apsemm&ed=4&vol=0#133;n=MI-apsemm&ed=3&vol=0#149,,
S_MI_1.8.2.1.4,Immunoglobulin E,,True,3,2010-02;2005-08;1990-12,n=MI-apsemm&ed=4&vol=0#133,,
S_MI_1.8.1.4,Adjuvant,,True,3,2011-08;2010-02;1990-12,n=MI-apsemm&ed=4&vol=0#126,,
E_MI_1.8.3,Antigen Antibody Reaction,"- Definition
- Precipitation Reaction",True,4,2023-12;2010-08;2008-06;2002-03,n=MI-apsemm&ed=4&vol=0#136;n=MI-apsemm&ed=3&vol=0#152,,
S_MI_1.8.1.5,Superantigens,,True,1,2010-08,n=MI-apsemm&ed=4&vol=0#127,,
S_MI_1.10.1.4,Hypersensitivity Type 4,,True,3,2016-08;2010-08;2004-08,n=MI-apsemm&ed=4&vol=0#179;n=MI-apsemm&ed=3&vol=0#200,,
S_MI_1.10.2.1,Mechanism of Autoimmunity,,True,6,2018-02;2014-08;2010-08;2008-04;2001-11;1994-11,n=MI-apsemm&ed=4&vol=0#182,,
S_MI_1.8.5.2;1.8.5.3,T-Cells and B-Cells,,True,3,2012-08;2011-02;2010-08,n=MI-apsemm&ed=4&vol=0#155,,
S_MI_1.8.5.5,Cytokines,,True,1,2011-02,n=MI-apsemm&ed=4&vol=0#162,,
S_MI_1.8.5.4,Major Histocompatibility Complex (MHC) (or) Human Leucocyte Antigens (HLA),,True,2,2011-08;2011-02,n=MI-apsemm&ed=4&vol=0#161;n=MI-apsemm&ed=3&vol=0#178,,
S_MI_1.10.3,Combined Immunodeficiency Disorders,,True,1,2011-02,n=MI-apsemm&ed=4&vol=0#186;n=MI-apsemm&ed=3&vol=0#210,,
S_MI_1.10.2.2.2,Non-Organ Specific Autoimmune Disorder,,True,2,2014-08;2011-02,n=MI-apsemm&ed=4&vol=0#183;n=MI-apsemm&ed=3&vol=0#206,,
E_MI_1.10.1,Hypersensitivity Reactions,"- Definition and Classification
- Hypersensitivity Type 1",True,1,2008-08,n=MI-apsemm&ed=4&vol=0#174,,
S_MI_1.8.2.2,Abnormal Immunoglobulins,,True,1,2011-08,n=MI-apsemm&ed=4&vol=0#133,,
S_MI_1.10.2.3,Immunological Tolerance,,True,1,2011-08,n=MI-apsemm&ed=4&vol=0#182;n=MI-apsemm&ed=3&vol=0#203,,
S_MI_1.8.3.2,Agglutination Reaction,,True,2,2012-02;1991-12,n=MI-apsemm&ed=4&vol=0#138,,
S_MI_1.7.1.1,Innate Immunity,,True,2,2012-08;2006-02,n=MI-apsemm&ed=4&vol=0#119,,
S_MI_1.8.3.2.1,Passive Agglutination Test,,True,2,2013-02;1994-11,n=MI-apsemm&ed=4&vol=0#139,,
S_MI_1.8.3.5,Western Blot,,True,2,2017-02;2013-02,n=MI-apsemm&ed=4&vol=0#144,,
S_MI_1.7.3,Herd Immunity,,True,1,2013-02,n=MI-apsemm&ed=4&vol=0#124,,
E_MI_1.8.3.4,Immunofluorescence,,True,1,2013-08,n=MI-apsemm&ed=4&vol=0#143,,
S_MI_1.11.4,Tumor Antigens,,True,3,2021-09;2015-08;2013-08,n=MI-apsemm&ed=4&vol=0#193,,
S_MI_1.8.4.1,Alternate Compliment Pathway,,True,2,2013-08;2005-08,n=MI-apsemm&ed=4&vol=0#147,,
S_MI_1.11.1,Allograft Rejection,,True,1,2014-02,n=MI-apsemm&ed=4&vol=0#189;n=MI-apsemm&ed=3&vol=0#213,,
E_MI_1.10.1.1,Anaphylaxis,,True,1,,n=MI-apsemm&ed=4&vol=0#176,,
S_MI_1.8.3.2,Agglutination Reaction,,True,1,2015-08,n=MI-apsemm&ed=4&vol=0#138,,
S_MI_1.8.3.1,Precipitation Reaction,,True,1,2015-08,n=MI-apsemm&ed=4&vol=0#138;n=MI-apsemm&ed=3&vol=0#153,,
E_MI_1.8.4,Complement,"- Definition
- Alternate C Pathway
- Biological effects of Complement
- Genetic deficiencies of Complement",True,1,2016-02,n=MI-apsemm&ed=4&vol=0#146,,
S_MI_1.8.1.2,Hapten,,True,2,2023-09;2016-02,n=MI-apsemm&ed=4&vol=0#125;n=MI-apsemm&ed=3&vol=0#140,,
S_MI_1.8.5.3,Structure and Function of B-Cell,,True,1,2016-08,n=MI-apsemm&ed=4&vol=0#171;n=MI-apsemm&ed=3&vol=0#174,,
S_MI_1.8.6.2.2,CD8+ T-Cell,,True,1,2017-02,n=MI-apsemm&ed=4&vol=0#157,,
S_MI_1.8.3.3,ELISA,,True,3,2020-02;2006-02;1996-04,n=MI-apsemm&ed=4&vol=0#140,,
S_MI_1.8.5.2,Mucosa Associated Lymphoid Tissue (MALT),,True,1,2018-02,n=MI-apsemm&ed=4&vol=0#154,,
S_MI_1.8.4.2,Complement Deficiency Disease,,True,2,2019-02;2018-08,n=MI-apsemm&ed=4&vol=0#150,,
S_MI_1.11.2.3,HLA Typing,,True,2,2019-08;2018-08,n=MI-apsemm&ed=4&vol=0#161,,
S_MI_1.8.3.6,Affinity and Avidity,,True,1,2018-08,n=MI-apsemm&ed=4&vol=0#136,,
S_MI_1.7.1.2,C Reactive Protein,,True,1,2018-08,n=MI-apsemm&ed=4&vol=0#121,,
S_MI_1.8.6.2.1,Natural Killer (NK) Cell,,True,1,2020-11,n=MI-apsemm&ed=4&vol=0#158,,
E_MI_1.8.2,Antibody,"- Definition
- Antibody Synthesis in Human Immune System
- Functions of Different Immunoglobulins",True,1,2001-04,n=MI-apsemm&ed=4&vol=0#129,,
S_MI_1.8.5.2,T Lymphocyte,,True,2,2004-08;1995-11,n=MI-apsemm&ed=4&vol=0#155,,
E_MI_1.7,Immunity,"- Types
- Acquired Immunity",True,1,2005-08,n=MI-apsemm&ed=4&vol=0#119,,
S_MI_1.10.1.2,Hypersensitivity Type 2,,True,1,2006-02,n=MI-apsemm&ed=4&vol=0#177,,
S_MI_1.8.5.5,Lymphokines,,True,1,1990-12,n=MI-apsemm&ed=4&vol=0#162,,
S_MI_1.8.3.4,Immunoflorescence,,True,4,2008-02;2003-08;2000-10;2000-04,n=MI-apsemm&ed=4&vol=0#143,,
S_MI_1.8.1.3,Hetrophile Antigen,,True,1,1992-04,n=MI-apsemm&ed=4&vol=0#126,,
S_MI_1.8.5.2.1,T-Cell Subsets,,True,2,1997-10;1996-10,n=MI-apsemm&ed=4&vol=0#157,,
S_MI_1.8.6.2,Cell Mediated Immunity,,True,1,1997-04,n=MI-apsemm&ed=4&vol=0#168,,
S_MI_1.8.6.3,Humoral Immunity,,True,1,1995-11,n=MI-apsemm&ed=4&vol=0#171,,
S_MI_1.8.2.1.3,Immunoglobulin A,,True,2,2009-02;2008-08,n=MI-apsemm&ed=4&vol=0#132;n=MI-apsemm&ed=3&vol=0#147,,
