Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_MI_8.17.2.4.1,Otomycosis,,True,6,2022-02;2020-11;2017-02;2013-08;2011-02;2009-02,,n=MI-apsemm&ed=4&vol=0#658;n=MI-apsemm&ed=3&vol=0#791,
S_MI_8.18.3.1,Congenital Toxoplasmosis,,True,1,2017-08,,n=MI-apsemm&ed=4&vol=0#659;n=MI-apsemm&ed=3&vol=0#793,
S_MI_8.17.1,Keratoconjunctivitis,,True,1,2019-08,,n=MI-apsemm&ed=4&vol=0#655;n=MI-apsemm&ed=3&vol=0#782,
S_MI_8.18.2.1,Congenital Rubella Syndrome,,True,2,2023-07;2023-02,,n=MI-apsemm&ed=4&vol=0#660;n=MI-apsemm&ed=3&vol=0#794,
S_MI_8.17.1.4.1,Mycotic Keratitis,,True,1,2012-08,,n=MI-apsemm&ed=4&vol=0#656;n=MI-apsemm&ed=3&vol=0#789,
S_MI_8.17.1.4,Ocular Fungal Infections,,True,1,2023-07,,n=MI-apsemm&ed=4&vol=0#656;n=MI-apsemm&ed=3&vol=0#788,
S_MI_8.17.1,Conjunctivitis,,True,1,2011-08,,n=MI-apsemm&ed=4&vol=0#653;n=MI-apsemm&ed=3&vol=0#779,
S_MI_8.1.1.1,Plague,,True,4,2022-03;2022-02;2012-08;2001-11,,n=MI-apsemm&ed=4&vol=0#671;n=MI-apsemm&ed=3&vol=0#807,
S_MI_8.1.1,Zoonotic Bacterial Disease,,True,6,2017-08;2014-08;2014-02;2008-08;2000-04;1999-04,,n=MI-apsemm&ed=4&vol=0#671;n=MI-apsemm&ed=3&vol=0#807,
S_MI_8.17.1.1.1,Chlamydial Conjunctivitis,,True,2,2023-07;2022-08,,n=MI-apsemm&ed=4&vol=0#653;n=MI-apsemm&ed=3&vol=0#781,
S_MI_8.1.1.1.1,Bubonic Plague,,True,1,2022-03,,n=MI-apsemm&ed=4&vol=0#673;n=MI-apsemm&ed=3&vol=0#809,
S_MI_8.18,Congenital Infection,,True,1,2022-03,,n=MI-apsemm&ed=4&vol=0#659;n=MI-apsemm&ed=3&vol=0#793,
S_MI_8.18.1.1,Congenital Syphilis,,True,1,2022-03,,n=MI-apsemm&ed=4&vol=0#664;n=MI-apsemm&ed=3&vol=0#799,
E_MI_8.1.1.1,Plague,"- Morphology
- Cultural Characters
- Pathogenesis
- Laboratory Diagnosis",True,1,1995-11,,n=MI-apsemm&ed=4&vol=0#671;n=MI-apsemm&ed=3&vol=0#807,
S_MI_8.3.1,Mechanism of Viral Oncogenesis,,True,1,1998-11,,n=MI-apsemm&ed=4&vol=0#665;n=MI-apsemm&ed=3&vol=0#801,
S_MI_8.18.2,Congenital Viral Infections,,True,1,2001-04,,n=MI-apsemm&ed=4&vol=0#660;n=MI-apsemm&ed=3&vol=0#793,
S_MI_8.1.2,Zoonotic Parasitic Disease,,True,2,2019-08;2006-02,,n=MI-apsemm&ed=4&vol=0#671;n=MI-apsemm&ed=3&vol=0#807,
S_MI_8.17.1.3,Parasites Infecting Eye,,True,2,2012-02;2008-08,,n=MI-apsemm&ed=4&vol=0#655;n=MI-apsemm&ed=3&vol=0#786,
S_MI_8.3,Oncogenic Viruses,,True,3,2016-02;2014-02;2012-08,,n=MI-apsemm&ed=4&vol=0#665;n=MI-apsemm&ed=3&vol=0#800,
S_MI_8.3.3.1,Epstein-Barr Virus (EBV) associated Malignancy,,True,2,2015-08;2014-02,,n=MI-apsemm&ed=4&vol=0#667;n=MI-apsemm&ed=3&vol=0#802,
