Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_MI_4.3.4.1.2,"Dermatophytes ",,True,10,2017-02;2018-08;2023-02;2008-08;2009-08;2010-08;2012-02;2013-08;2023-02;2001-04;2002-03;2004-08;2005-02;2007-02;2008-02,n=MI-apsemm&ed=3&vol=1#575,,
S_MI_4.3.2.1.1,Herpes Simplex Virus,,True,1,2017-08,n=MI-apsemm&ed=3&vol=1#551,,
S_MI_4.3.4.3,Candidiasis,,True,6,2018-02;2022-02;2009-02;2009-08;2016-02;2003-10,n=MI-apsemm&ed=3&vol=1#583,,
S_MI_4.3.2.1.2,Herpes Zoster,,True,3,2018-02;2022-08;2013-08,n=MI-apsemm&ed=3&vol=1#554,,
S_MI_4.3.4.2.3,Chromoblastomycosis,,True,1,2018-08,n=MI-apsemm&ed=3&vol=1#581,,
S_MI_4.3.3.4,Larva Migrans,,True,10,2019-02;2023-02;2010-02;2014-02;2015-08;2023-07;2008-02;2001-04;2001-11;2004-08,n=MI-apsemm&ed=3&vol=1#572,,
S_MI_4.3.2.1.1,"Tzanck Smear ",,True,2,2019-02;2020-11,n=MI-apsemm&ed=3&vol=1#553,,
S_MI_4.3.3.1,Loa Loa,,True,1,2019-08,n=MI-apsemm&ed=3&vol=1#567,,
S_MI_4.3.4.2.2,Sporotrichosis,- Asteroid Bodies,True,6,2023-07;2014-08;2008-08;1997-04;2004-04;2003-10,n=MI-apsemm&ed=3&vol=1#580,,
E_MI_4.3.2.1,Herpes Virus,"- Classification
- Morphology
- Pathogenesis
- Lab Diagnosis ",True,7,2008-08;2014-08;2015-08;1995-04;2001-04;2004-08;2006-08,n=MI-apsemm&ed=3&vol=1#550,,
S_MI_4.3.4.2.1,Mycetoma,,True,10,2008-08;2009-08;2014-08;2020-02;2023-02;1990-10;1991-12;1993-01;1998-04;2004-08;2005-02;2007-02;2007-08;1997-10,n=MI-apsemm&ed=3&vol=1#578,,
S_MI_4.3.4.1,Superficial Mycosis,,True,5,2010-02;2011-02;2013-02;2023-12;2015-02,n=MI-apsemm&ed=3&vol=1#574,,
S_MI_4.3.4.2,"Subcutaneous Mycosis ",,True,1,2010-08,n=MI-apsemm&ed=3&vol=1#578,,
S_MI_4.3.3.3,Trichinellosis,"- Backman Intradermal Test ",True,3,2011-02;2012-08;2000-04,n=MI-apsemm&ed=3&vol=1#570,,
S_MI_4.3.4.1.2,Ectothrix and Endothrix Infection of Hair,,True,2,2011-08;2012-08,n=MI-apsemm&ed=3&vol=1#576,,
S_MI_4.3.3.2,"Dracunculus medinensis ",- Life Cycle,True,1,2013-08,n=MI-apsemm&ed=3&vol=1#569,,
S_MI_4.3.4.1.1,Tinea versicolor,,True,1,2014-08,n=MI-apsemm&ed=3&vol=1#574,,
S_MI_4.3.2.1.2,"Varicella Zoster ",,True,3,2009-02;2009-08;2012-02,n=MI-apsemm&ed=3&vol=1#554,,
S_MI_4.3.2.2.1,"Koplik's Spots ",,True,1,2010-02,n=MI-apsemm&ed=3&vol=1#560,,
S_MI_4.3.2.2,"Measles ",,True,3,2011-08;2014-02;2023-02,n=MI-apsemm&ed=3&vol=1#559,,
S_MI_4.3.1.2.4,"Non Suppurative Complications of Streptococci ",,True,3,2008-08;2012-08;2002-03,n=MI-apsemm&ed=3&vol=1#523,,
S_MI_4.3.1.6,"Nocardia ",,True,1,2009-02,n=MI-apsemm&ed=3&vol=1#544,,
S_MI_4.1.1.1.1,"Nagler's Reaction ",,True,5,2009-02;2010-02;2022-02;1997-10;2004-08,n=MI-apsemm&ed=3&vol=1#531,,
S_MI_4.3.1.3.1,"Lepromin Test ",,True,1,2009-08,n=MI-apsemm&ed=3&vol=1#538,,
S_MI_4.1.1.1,"Gas Gangrene ",,True,5,2009-08;2019-08;2023-02;2003-10;2000-04,n=MI-apsemm&ed=3&vol=1#529,,
S_MI_4.3.1.4.1,"Malignant Pustule ",,True,6,2010-02;2012-02;2021-09;2002-03;2001-04;2004-08,n=MI-apsemm&ed=3&vol=1#540,,
S_MI_4.3.1.2.2,"Toxins and Virulence Factors of Streptococci ",,True,6,2011-02;2017-08;2019-02;2023-02;2001-04;2003-10,n=MI-apsemm&ed=3&vol=1#521,,
S_MI_4.1.1.2,"Toxins of Clostridium perfringens ",,True,1,2011-08,n=MI-apsemm&ed=3&vol=1#529,,
S_MI_4.3.1.1.1,"Virulence Factors of Staphylococcus ",,True,4,2012-02;2016-08;1997-10;2004-08,n=MI-apsemm&ed=3&vol=1#511,,
S_MI_4.3.1.2.5,"Group B Streptococci ",,True,1,2013-02,n=MI-apsemm&ed=3&vol=1#525,,
S_MI_4.3.1.1.4,"Special Characters of Staphylococcus aureus ",,True,1,2013-08,n=MI-apsemm&ed=3&vol=1#517,,
S_MI_4.3.1.5,"Actinomycosis ",,True,3,2014-02;2019-02;2019-08,n=MI-apsemm&ed=3&vol=1#542,,
S_MI_4.3.1.2.3,"Lab Diagnosis of Streptococcus pyogens ",,True,1,2015-02,n=MI-apsemm&ed=3&vol=1#524,,
S_MI_4.3.1.4,"Bacillus anthracis ",,True,2,2002-03;2007-08,n=MI-apsemm&ed=3&vol=1#539,,
S_MI_4.3.1.7,"Non-venereal Treponemes ",,True,2,2018-08;2006-02,n=MI-apsemm&ed=3&vol=1#545,,
S_MI_4.3.1.2.1,"Classification of Streptococci ",,True,1,2023-07,n=MI-apsemm&ed=3&vol=1#520,,
E_MI_4.1.1.1,"Gas Gangrene ","- Pathogenesis
- Clinical Manifestation 
- Laboratory Diagnosis
- Management ",True,3,2022-03;2023-02;2007-08,n=MI-apsemm&ed=3&vol=1#529,"Following RTA edema crushed muscles& pain On palpation crepitus ",
S_MI_4.3.1.1.3,"Methicillin Resistant Staphylococcus aureus ",,True,3,2022-03;1998-04;2007-02,n=MI-apsemm&ed=3&vol=1#517,,
S_MI_4.3.4.3.1,"Mucocutaneous Candidiasis ",,True,1,2022-08,n=MI-apsemm&ed=3&vol=1#583,,
S_MI_4.3.1.1.2,"Toxic Shock Syndrome ",,True,1,2023-07,n=MI-apsemm&ed=3&vol=1#512,,
E_MI_4.3.1.2,"Streptococci ","- Classification
- Pathogenesis
- Sequelae
- Laboratory Diagnosis ",True,3,1991-12;2001-04;2001-11,n=MI-apsemm&ed=3&vol=1#520,,
S_MI_4.3.2.2.2,"M.M.R Vaccine ",,True,3,1993-11;2003-10;2005-08,n=MI-apsemm&ed=3&vol=1#561,,
S_MI_4.3.1.2.6,"Group D Streptococci ",,True,1,2000-10,n=MI-apsemm&ed=3&vol=1#526,,
S_MI_4.3.4.2.4,"Rhinosporidiosis ",,True,4,2001-11;2020-11;2010-02;2011-08,n=MI-apsemm&ed=3&vol=1#582,,
S_MI_4.3.3.2.1,Cyclops,,True,3,2002-03;1995-11;2022-08,n=MI-apsemm&ed=3&vol=1#569,,
E_MI_4.3.1.4,"Bacillus anthracis ","- Morphology 
- Cultural Characters 
- Pathogenesis
- Laboratory Diagnosis ",True,3,2002-03;2007-08;2000-10,n=MI-apsemm&ed=3&vol=1#539,,
S_MI_4.3.1.4.2,"McFadyean's Reaction ",,True,2,2009-08;2014-02,n=MI-apsemm&ed=3&vol=1#541,,
