Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_MI_2.5.1,Kala azar,"-Morphology
-Life Cycle
-Clinical Features
-Laboratory Diagnosis",TRUE,5,2009-08;2011-02;2013-02;2014-08;2007-08,n=MI-apsemm&ed=3&vol=1#361,"A 31 year old man from Bihar presented with Splenomegaly, anemia, and Fever. The bone marrow aspirate collected was subjected to giemsa staining which revealed amastigotes filled within a macrophage",
S_MI_2.5.1,Kala azar,"-Morphology
-Laboratory Diagnosis",TRUE,3,2008-08;2005-02;2003-10,n=MI-apsemm&ed=3&vol=1#360,,
S_MI_2.5.2,Post Kala Azar dermal leishmaniasis,,TRUE,1,2019-08,n=MI-apsemm&ed=3&vol=1#362,,
E_MI_2.7.1,HIV-AIDS,"-Pathogenesis
-Clinical Features
-Laboratory Diagnosis
-Post Exposure Prophylaxis",TRUE,6,2016-02;2018-08;2020-02;1990-10;1993-01;2005-02,n=MI-apsemm&ed=3&vol=1#325,"A 25 year old male with history of multiple sex partners is admitted with complaints of unexplained fever, progressive loss of weight, persistent diarrhea and generalized lymphadenopathy for the past 6 months",
S_MI_2.7.1,Mode of transmission of HIV,,TRUE,2,2009-02;2016-08,n=MI-apsemm&ed=3&vol=1#326,,
S_MI_2.7.2,Morphology of HIV virus,,TRUE,3,2009-08;2023-02;2007-08,n=MI-apsemm&ed=3&vol=1#325,,
S_MI_2.7.3,Laboratory diagnosis of HIV Virus,,TRUE,4,2011-08;2021-09;2022-08;2004-08,n=MI-apsemm&ed=3&vol=1#330,,
S_MI_2.7.4,Opportunistic infections in HIV ,,TRUE,3,2009-08;2011-08;2013-08,n=MI-apsemm&ed=3&vol=1#330,,
S_MI_2.7.5,Post exposure prophylaxis in HIV,,TRUE,2,2017-08;2022-02,n=MI-apsemm&ed=3&vol=1#335,,
E_MI_2.8.1,Enteric fever,"- Classification of Enterobacteriacea
- Pathogenesis
- Clinical Features
- Laboratory Diagnosis
- Management",TRUE,8,2009-08;2012-08;2014-02;2019-02;1992-04;1998-04;1998-11;1997-10,n=MI-apsemm&ed=3&vol=1#302,"A 12 year old female was admitted to the hospital with intense headache ,abdominal discomfort for the past 5 days . She had also developed fever which is of remittent type with gradual rise in a step ladder fashion, On examination, she was toxic with temperature of 101*F, tongue was coated and mild splenomegaly was present.",
S_MI_2.8.1,Widal test,,TRUE,4,2008-08;2010-02;2018-02;1993-11,n=MI-apsemm&ed=3&vol=1#306,,
S_MI_2.8.2,Laboratory diagnosis of Enteric fever,,TRUE,3,2022-07;1995-11;1995-04,n=MI-apsemm&ed=3&vol=1#305,,
S_MI_2.8.3,Drug Resistance in Salmonella typhi,,TRUE,2,2023-02;1996-04,n=MI-apsemm&ed=3&vol=1#308,,
S_MI_2.8.4,Carriers of typhoid infection,,TRUE,1,2022-03,n=MI-apsemm&ed=3&vol=1#304,,
