Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_MI_3.1.4.2,Helicobacter pylori,,True,5,2009-02;2012-02;2001-11;2008-02;2002-03,n=MI-apsemm&ed=3&vol=1#421,,
E_MI_3.1.3.1,Cholera,- Enumerate Bacteria causing Diarrhea/- Morphology/- Pathogenesis/- Cultural characteristics/- Laboratory diagnosis;- Pathogenesis/- Laboratory diagnosis/- Prophylaxis;- Epidemiology/- Pathogenesis/- Laboratory diagnosis/- Prevention;- Morphology/- Pathogenesis/- Laboratory diagnosis/- Treatment,True,8,2010-02;2011-02;2015-08;2022-08;2001-04;2008-02;1996-04;2003-10,n=MI-apsemm&ed=3&vol=1#410,"A 25 year old female admitted with history of WATERY DIARRHOEA RESEMBLING RICE water of 24 hrs duration along with COPIOUS VOMITING. What is your diagnosis? Write the pathogenesis, sample collections, lab diagnosis and treatment of the above clinical condition. Add a note prophylaxis.",
S_MI_3.1.3.2,Halophilic vibrio,- Detail about Halophilic Vibrios;- Non Cholera Vibrios;- Non agglutinating Vibrios,True,5,2010-02;2012-08;2013-02;1994-11;2001-11,n=MI-apsemm&ed=3&vol=1#417,,
S_MI_3.1.1,Bacteria causing food poison,- Laboratory diagnosis;- Note on bacterial food poisoning,True,4,2010-08;2014-08;2007-02;2000-10,n=MI-apsemm&ed=3&vol=1#394,,
S_MI_3.1.3.1.4,Lab diagnosis of cholera,,True,2,2018-08;2021-09,n=MI-apsemm&ed=3&vol=1#414,,
S_MI_3.1.3.1.2,El Tor vibrios.,,True,7,2019-02;2021-09;2009-02;2012-02;2005-08;2007-08;2001-04,n=MI-apsemm&ed=3&vol=1#411,,
S_MI_3.1.2.2.1,Eschericia coli- virulence factors,,True,1,2020-11,n=MI-apsemm&ed=3&vol=1#401,,
S_MI_3.1.3.1.1,Serotyping of vibrio cholerae,,True,1,2023-12,n=MI-apsemm&ed=3&vol=1#411,,
S_MI_3.1.2.2.3,Enterotoxigenic Escherichia Coli (ETEC),- Travelers Diarrhea;- Details about Enterotoxigenic Escherichia Coli,True,1,2011-02,n=MI-apsemm&ed=3&vol=1#403,,
S_MI_3.1.2.2,Different types of diarrheagenic Escherichia coli,,True,5,2021-08;2015-08;2005-08;2006-02;1997-10,n=MI-apsemm&ed=3&vol=1#403,,
S_MI_3.1.3.1.3,Differences between classical and elTor vibrios,,True,1,2013-08,n=MI-apsemm&ed=3&vol=1#411,,
S_MI_3.1.2.3,Shigella,- Detail about Shigella;- Exotoxin produced by Shigella species;- Bacillary Dysentery,True,3,2014-02;2014-08;2000-10,n=MI-apsemm&ed=3&vol=1#404,,
S_MI_3.1.7.7.2,Enterobius vermicularis,- Pinworm;- Thread worm;- Enterobiasis,True,5,2008-08;2018-02;2014-02;1994-11;2001-04,n=MI-apsemm&ed=3&vol=1#459,,
E_MI_3.1.7.7.4,Ankylostoma duodenale (Hook worm),- Enumerate parasites causing Anemia/- Morphology/-Life cycle/- Laboratory diagnosis;- Classify nematodes/- Lifecycle cycle/- Laboratory diagnosis;- Life cycle/- Pathogenesis/- Lab diagnosis/- Management,True,6,2009-02;2010-08;2012-02;2022-02;1995-11;2005-02,n=MI-apsemm&ed=3&vol=1#463,,
S_MI_3.1.7.7.3,Ascariasis (roundworm infestation),-Life cycle,True,3,2009-02;2010-08;2014-08,n=MI-apsemm&ed=3&vol=1#461,,
S_MI_3.1.6.4.1,Balantidium coli,- Life cycle ;- Detail about Balantidium Coli,True,4,2009-08;2010-08;2011-08;2015-02,n=MI-apsemm&ed=3&vol=1#441,,
S_MI_3.1.7.2,Stool examination of parasitic infections in GIT,,True,2,2009-08;2011-02,n=MI-apsemm&ed=3&vol=1#103,,
S_MI_3.1.7.7.3.2,Egg of Ascaris,,True,1,2009-08,n=MI-apsemm&ed=3&vol=1#462,,
E_MI_3.1.7.7.3,Ascaris lumbricoides(Round worm),- Enumerate the intestinal nematodes of medical importance/- Morphology/- Life cycle/- Laboratory diagnosis;- Lifecycle/- Pathogenesis/- Laboratory diagnosis,True,2,2010-02;2011-08,n=MI-apsemm&ed=3&vol=1#461,,
S_MI_3.1.6.3.1,Cryptosporidium parvum,,True,7,2008-08;2010-02;2011-02;1997-04;2000-04;2005-02;2008-02,n=MI-apsemm&ed=3&vol=1#437,,
S_MI_3.1.7.4,Bile-Stained eggs,,True,5,2010-08;2012-02;2013-02;2014-02;2003-10,,,
S_MI_3.1.7.7.1.2,Classification of Nematodes according to the habitat of adult worms,,True,2,2011-02;2017-02,n=MI-apsemm&ed=3&vol=1#457,,
S_MI_3.1.7.7.1.1,Oviparous nematodes and Viviparous nematode,,True,2,2011-02;2012-08,n=MI-apsemm&ed=3&vol=1#457,,
S_MI_3.1.5,Viral Gastroenteritis,- Details about Rota virus;- Viral Diarrhea;- Viral Gastroenteritis,True,10,2011-08;2013-02;2019-08;2023-07;1992-04;1994-11;1997-04;1997-10;2003-10;2004-08;2007-02,n=MI-apsemm&ed=3&vol=1#424,,
S_MI_3.1.7.1,Concentration methods for stool EXAMINATION in GIT,,True,6,2011-08;2010-02;2012-02;2001-11;2006-02;2007-02,n=MI-apsemm&ed=3&vol=1#106,,
S_MI_3.1.7.6,Trematodes,,True,1,2011-08,n=MI-apsemm&ed=3&vol=1#452,,
S_MI_3.1.6.2.1,Giardiasis,,True,1,2012-08,n=MI-apsemm&ed=3&vol=1#433,,
S_MI_3.1.7.3,Viviparous parasites,,True,3,2013-08;2014-02;2006-02,n=MI-apsemm&ed=3&vol=1#457,,
S_MI_3.1.7.5.1,Tapeworms,- Tap worms infecting Human;- Taenia solium;- Lifecycle of Taenia solium;- Lifecycle of Taenia saginata,True,3,2013-08;2009-08;2016-08,n=MI-apsemm&ed=3&vol=1#447,,
S_MI_3.1.7.5.3,Diphyllobothrium latum,- Larval forms/- Lifecycle;- Fish Tap worm,True,1,2014-02,n=MI-apsemm&ed=3&vol=1#451,,
S_MI_3.1.7.7.4,Ancylostoma duodenale (Hook worm),- Life cycle;- Detail about hook worm,True,5,2013-08;2014-02;2014-08;2016-02;1997-04,n=MI-apsemm&ed=3&vol=1#463,,
S_MI_3.1.6.1.1.2,Laboratory diagnosis of Intestinal amoebiasis.,,True,2,2017-02;2023-07,n=MI-apsemm&ed=3&vol=1#430,,
S_MI_3.1.6.1.2,Iodamoeba butschilli,,True,1,2020-11,n=MI-apsemm&ed=3&vol=1#432,,
S_MI_3.1.2.2.2,Enterotoxin produced by Escherichia coli,- Various properties of enterotoxin of Escherichia Coli;- Different mechanism of E.coli Enterotoxin,True,2,2022-03;2016-02,n=MI-apsemm&ed=3&vol=1#401,,
E_MI_3.1.6.1.1,Entamoeba histolytica infection (Intestinal amoebiasis),- Pathogenesis/- Clinical manifestations/- Various diagnostic modalities/- Treatment,True,1,2022-08,n=MI-apsemm&ed=3&vol=1#427,"A 17-year-old boy presented with BLOODY DIARRHEA with MUCUS and PUS CELLS, COLICKY ABDOMINAL PAIN, FEVER, and PROSTRATION. The wet mount examination of the stool sample was performed which showed TROPHOZOITES of 5–20 μm, actively motile, with FINGERLIKE PSEUDOPODIA. Inside the trophozoites, the ingested RBCs present? What is the etiological diagnosis?",
S_MI_3.1.6.3.2,Lab diagnosis of diarrhoea caused by coccidian parasite,,True,1,2023-02,n=MI-apsemm&ed=3&vol=1#438,,
E_MI_3.1.2.3,Bacillary Dysentery,- Causative agent/- Pathogenesis/- Clinical features/- Laboratory diagnosis/- Treatment/- Prevention,True,1,2004-08,n=MI-apsemm&ed=3&vol=1#404,,
E_MI_3.1.7.5.1,Taenia solium,- Classify Cestodes/- Lifecycle/- Pathogenesis/- Laboratory diagnosis/- Treatment/- Prevention,True,3,1991-12;2000-10;2003-10,n=MI-apsemm&ed=3&vol=1#447,,
S_MI_3.1.1.2,Clostridium botulinum,- Botulism;- Detail about Clostridium botulinum,True,3,2019-02;2017-02;1998-04,n=MI-apsemm&ed=3&vol=1#397,,
S_MI_3.1.4.3,Clostridium difficile,,True,2,2018-02;1997-04,n=MI-apsemm&ed=3&vol=1#422,,
S_MI_3.1.2.1,General characteristics of Enterobactericae,,True,1,,n=MI-apsemm&ed=3&vol=1#400,,
S_MI_3.1.3.1.5,Prophylaxis and Epidemiology of Cholera,,True,1,2002-03,n=MI-apsemm&ed=3&vol=1#412,,
S_MI_3.1.4.1,Compylobactor,,True,2,1990-08;1993-01,n=MI-apsemm&ed=3&vol=1#419,,
S_MI_3.1.1.3,Mycotoxicosis/ Mycotoxins,,True,7,2013-02;2023-06;1995-04;1998-11;2001-11;2004-08;2006-08,n=MI-apsemm&ed=3&vol=1#398,,
S_MI_3.1.7.5.1.2,Larval forms of Cestodes,,True,1,,n=MI-apsemm&ed=3&vol=1#447,,
S_MI_3.1.5.1.2,Dwarf Tapeworm (Hymenolepis nana),,True,1,,n=MI-apsemm&ed=3&vol=1#450,,
S_MI_3.1.7.7.5,Strongyloides stercoralis,- Pathogenesis,True,1,2003-10,n=MI-apsemm&ed=3&vol=1#466,,
S_MI_3.1.6,Morphology of pathogenic Intestinal Protozoans,,True,1,1991-12,n=MI-apsemm&ed=3&vol=1#427,,
S_MI_3.1.2.2.4,Enterohemorrhagic E.coli (EHEC),,True,1,,n=MI-apsemm&ed=3&vol=1#403,,
S_MI_3.1.1.1,Listeria monocytogenes,,True,2,2011-02;2022-02,n=MI-apsemm&ed=3&vol=1#396,,
