Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_MI_3.2.2.2,Echinococcus granulsosus,"- Morphology
- Life cycle
- Pathogenesis
- Laboratory diagnosis;- Lifecycle
- Pathogenicity
- Laboratory diagnosis;- Enumerate the cestodes infecting man
- Lifecycle
- Pathogenicity
- Laboratory diagnosis",True,5,2008-08;2005-08;2003-10;2000-04;1990-12,n=MI-apsemm&ed=4&vol=0#410;n=MI-apsemm&ed=3&vol=0#493,25 year old male presents with **pain** in the **right hypochondrium and jaundice**. Ultrasonography reveals **water lily** sign. Surgery was done to Remove the cyst. Histopathological examination of the cyst reveals **3 layers** of cyst wall with **brood capsules**.,
S_MI_3.2.1.5,Delta Hepatitis Agent (or) Hepatitis Delta (D) Virus,,True,1,2008-08,n=MI-apsemm&ed=4&vol=0#405;n=MI-apsemm&ed=3&vol=0#487,,
S_MI_3.2.2.2.1,Hydatid Cyst,"- Pathogenesis
- Laboratory diagnosis",True,4,2016-08;2013-02;2006-08;1998-04,n=MI-apsemm&ed=4&vol=0#410;n=MI-apsemm&ed=3&vol=0#494,,
E_MI_3.2.1.3,Hepatitis B Virus,"- Morphology
- Pathogenesis
- Laboratory diagnosis;- Name the viruses infecting the liver
- Morphology
- Pathogenesis
- Lab diagnosis
- Prophylaxis;- Name the hepatotropic viruses
- Pathogenesis
- Laboratory diagnosis;- Enumerate the viruses transmitted by blood transfusion
- Hepatitis B virus
- Prophylaxis;- Morphology
- Genomic structure
- Epidemiology
- Laboratory diagnosis;- Enumerate viruses causing post-transfusion hepatitis
- Morphology
- Pathogenesis
- Laboratory diagnosis
- Prophylaxis;- Morphology
- Pathogenesis
- Lab diagnosis
- Prophylaxis
- Treatment",True,10,2023-07;2019-08;2018-02;2015-02;2012-08;2011-08;2009-08;2007-08;2005-08;1997-04;1996-04,n=MI-apsemm&ed=4&vol=0#397;n=MI-apsemm&ed=3&vol=0#478,,
S_MI_3.2.2.1,Extra Intestinal Amoebiasis (or) Amoebic Liver Abscess,,True,8,2022-08;2018-02;2014-08;2013-02;2012-02;2010-02;2007-08;2006-02,n=MI-apsemm&ed=4&vol=0#409;n=MI-apsemm&ed=3&vol=0#491,,
S_MI_3.2.2.3.2,Larva Migrans,,True,6,2023-02;2019-02;2010-02;2004-08;2004-02;2001-11,n=MI-apsemm&ed=4&vol=0#440;n=MI-apsemm&ed=3&vol=0#499,,
S_MI_3.2.2.3.2.1,Visceral Larva Migrans,,True,2,2013-02;2010-08,n=MI-apsemm&ed=4&vol=0#440;n=MI-apsemm&ed=3&vol=0#499,,
S_MI_3.2.1.3.2,Lab Diagnosis of Hepatitis B Virus Infection,- Viral markers of HBV infection;- Hepatitis Markers,True,7,2023-02;2022-03;2013-02;2012-02;2010-08;2004-08;1997-10,n=MI-apsemm&ed=4&vol=0#401;n=MI-apsemm&ed=3&vol=0#482,,
S_MI_3.2.1.4,Hepatitis C,- Laboratory Diagnosis;- Detail about Hepatitis C,True,2,2013-08;2006-02,n=MI-apsemm&ed=4&vol=0#403;n=MI-apsemm&ed=3&vol=0#484,,
S_MI_3.2.1.3.3,Prevention of Hepatitis B Virus Infection,- Detail about Prevention;- Hepatitis Vaccine,True,2,2020-02;2016-02,n=MI-apsemm&ed=4&vol=0#402;n=MI-apsemm&ed=3&vol=0#484,,
