Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
E_MI_,COVID-19 Infection,"- List of other Organisms causing Interstitial Pneumonia
- Structure of the Organism
- COVID-19 Vaccine;- Transmission
- Pathogenesis
- Clinical Manifestations
- Microbiological and Non-Microbiological Investigations
- Prevention and Control",True,2,2022-08;2022-03,"A 55 years old male patient was admitted in ICU were with fever, cough with expectoration, fatigue and sore throat. There is H/O loss of smell and taste. The contact history with fever patient before 5 days is also elucidated.;A 65 year old male patient admitted in the hospital with history of fever, sore throat, head ache, body pain and loss of taste and smell. Symptomatic treatment was given. After 2 days, he developed difficulty in breathing, his oxygen saturation was <90 %. Blood investigations like CRP, D-dimer and IL-6 were elevated. CT Chest shows ground glass opacities. Patient was treated with high flow oxygen, steroid, antibiotics and antiviral agents.",n=MI-apsemm&ed=4&vol=0#552;n=MI-apsemm&ed=3&vol=0#662,
S_MI_,Melioidosis,"- Clinical Features
- Lab Diagnosis",True,2,2022-03;2013-02,,n=MI-apsemm&ed=4&vol=0#536;n=MI-apsemm&ed=3&vol=0#644,
S_MI_,Aspergillosis (or) Aspergilloma,"- Pathogenesis
- Clinical Features
- Laboratory Diagnosis",True,4,2023-03;2022-08;2006-02;1992-04,,n=MI-apsemm&ed=4&vol=0#565;n=MI-apsemm&ed=3&vol=0#681,
S_MI_,COVID-19,- Structure of SARS CoV-2,True,2,2023-03;2022-08,,n=MI-apsemm&ed=4&vol=0#552;n=MI-apsemm&ed=3&vol=0#662,
S_MI_,Pertussis (or) Whooping Cough (or) Bordetella pertussis,- Prophylaxis,True,2,2023-03;2018-02,,n=MI-apsemm&ed=4&vol=0#530;n=MI-apsemm&ed=3&vol=0#638,
S_MI_,Diphtheria (or) Corynebacterium diphtheriae,"- Pathogenesis
- Lab Diagnosis;- Elek's Gel Precipitation Test;- Test for Toxin produced by C. diphtheriae",True,9,2023-07;2022-02;2010-08;2009-08;2008-08;2005-08;2003-10;2000-04;1992-04,"A 5 year old child had High Grade Fever, Pain in the Throat with Difficulty in Swallowing. On examination the child was Toxic, White Patch was found on the throat which bleeds on touch. Immunization status not known.",n=MI-apsemm&ed=4&vol=0#492;n=MI-apsemm&ed=3&vol=0#599,
S_MI_,Pulmonary Anthrax,,True,1,2023-07,,n=MI-apsemm&ed=4&vol=0#508;n=MI-apsemm&ed=3&vol=0#616,
S_MI_,Zygomycosis (or) Mucormycosis,,True,2,2023-02;2017-08,,n=MI-apsemm&ed=4&vol=0#564;n=MI-apsemm&ed=3&vol=0#680,
S_MI_,Influenza (or) Swine-Flu,"- Specimen Collection
- Transport
- Lab Diagnosis;- Diagnosis of H1N1
- Prophylaxis against H1N1",True,4,2019-02;2014-08;2010-02;1998-11,,n=MI-apsemm&ed=4&vol=0#543;n=MI-apsemm&ed=3&vol=0#648,
S_MI_,Infectious Mononucleosis,- Paul Bunnell Test,True,4,2023-07;2020-11;2009-08;2004-08,,n=MI-apsemm&ed=4&vol=0#557;n=MI-apsemm&ed=3&vol=0#672,
