Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_OP_,Vernal Keratoconjunctivitis (VKC) (or) Spring Catarrh,,True,10,2024-02;2021-09;2018-02;2014-02;2013-08;2011-08;2009-02;2005-02;2004-08;2002-03;2001-11,,n=OP-akkco&ed=9&vol=0#75,
S_OP_,Ophthalmia Neonatorum,,True,6,2024-02;2015-08;2012-08;2012-02;2010-08;2010-02,,n=OP-akkco&ed=9&vol=0#73,
S_OP_,Trachoma (or) Egyptian Ophthalmia,"- Clinical Features (Asked as a Short Answer);- WHO Classification;- Causes for Blindness- Management;- SAFE strategy;- Pannus",True,9,2023-02;2022-02;2019-02;2012-08;2012-02;2008-08;2005-02;2002-03;1996-10,,n=OP-akkco&ed=9&vol=0#64,
S_OP_,Pterygium vs Pseudopterygium,- Asked as a Short Answer,True,2,2023-02;2012-08,,n=OP-akkco&ed=9&vol=0#83,
S_OP_,Differential Diagnosis of Limbal Nodules,"- Asked as a Short Answer- Phlycten, Pinguecula, Early Pterygium, Foreign Body, Granuloma, Episcleritis, Scleritis, Limbal Dermoid, Malignancies, etc.",True,2,2022-04;2016-08,,"n=OP-akkco&ed=9&vol=0#78,81,82,87,134",
S_OP_,Phlyctenular Keratoconjunctivitis,"- Phlycten (Asked as a Short Answer);- Etiology
- Signs
- Treatment;- Management of Fascicular Ulcer",True,3,2016-02;2014-02;2012-02,,n=OP-akkco&ed=9&vol=0#78,
S_OP_,Pterygium,"- Recurrent Pterygium ;- Treatment ",True,4,2010-08;2010-02;2009-08;2007-02,,n=OP-akkco&ed=9&vol=1#82,
E_OP_,"Trachoma ","- Clinical Features
- Management
- Complications;- Etiology
- Clinical Features
- Management",True,2,2008-02;2006-08,,n=OP-akkco&ed=9&vol=1#64,
S_OP_,"Subconjunctival Hemorrhage ",,True,1,2006-08,,n=OP-akkco&ed=9&vol=1#84,
S_OP_,"Pneumococcal Conjunctivitis ",,True,1,2003-10,,n=OP-akkco&ed=9&vol=1#60,
S_OP_,"Allergic Conjunctivitis ",,True,1,2003-10,,n=OP-akkco&ed=9&vol=1#74,
S_OP_,"Angular Conjunctivitis ",,True,1,2002-03,,n=OP-akkco&ed=9&vol=1#63,
S_OP_,"Follicular Conjunctivitis ",,True,1,2001-04,,n=OP-akkco&ed=9&vol=1#70,
E_OP_,"Purulent Conjunctivitis ","- Etiology 
- Clinical Features 
- Complications 
- Management ",True,1,1998-04,,n=OP-akkco&ed=9&vol=1#62,
S_OP_,Red eye,,True,2,2005-08;1994-11,,n=OP-akkco&ed=9&vol=1#61,
