Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_OP_,Chemical Injuries of Eye,,True,3,2023-06;2022-08;2003-06,,n=OP-akkco&ed=9&vol=0#417,
S_OP_,Orbital Cellulitis,,True,8,2023-02;2023-02;2018-02;2012-02;2010-02;2008-08;2001-11;2001-04,,n=OP-akkco&ed=9&vol=0#390,
S_OP_,Closed-Globe Injuries,- Retinal Features of Blunt Trauma,True,1,2022-04,,"n=OP-akkco&ed=9&vol=0#408,410",
S_OP_,Thyroid Eye Disease (TED) (or) Endocrine (Malignant) Exophthalmos (or) Dysthyroid (or) Thyroid Associated (or) Grave's Ophthalmopathy (or) Ocular Grave's Disease (OGD),- Signs (Asked as a Short Answer),True,4,2022-02;2021-09;2019-02;2014-02,,n=OP-akkco&ed=9&vol=0#395,
S_OP_,Sympathetic Ophthalmitis (or) Ophthalmia,,True,8,2020-02;2012-08;2010-08;2010-02;2008-02;2005-08;2003-10;2001-04,,n=OP-akkco&ed=9&vol=0#416,
S_OP_,Proptosis,- Causes of Axial Proptosis (Asked as a Short Answer),True,2,2020-02;2019-02,,n=OP-akkco&ed=9&vol=0#385,
S_OP_,Intraocular Foreign Bodies,- Investigations (Asked as a Short Answer);- Chalcosis,True,2,2019-08;2018-02,,n=OP-akkco&ed=9&vol=0#412,
E_OP_,Effects of blunt trauma to the eye,- effects of contusion injury of eye;- retinal features of blunt injury,True,3,2006-08;2001-11;1998-10,,n=&ed=9&vol=1#408,
S_OP_,Causes of cherry red spot,,True,4,2015-02;2010-08;1995-11;1991-12,,,
S_OP_,Siderosis,- siderosis bulbi;- chalcosis,True,2,2012-08;2011-08,,,
