Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_OP_,Ptosis,- Causes (Asked as a Short Answer);- Definition (Asked as a Short Answer);- Classification (Asked as a Short Answer),True,5,2024-02;2020-11;2014-02;2012-08;2011-08,,n=OP-akkco&ed=9&vol=0#360,
S_OP_,Anatomy of Eyelids,- Levator Palpebrae Superioris (LPS) Muscle;- Orbicularis Oculi Muscle;- Cross-section of Upper Eyelid;- Elevators and their Nerve Supply (Asked as a Short Answer),True,6,2022-08;2021-09;2020-11;2012-02;2009-02;2009-02,,n=OP-akkco&ed=9&vol=0#344,
S_OP_,Lagophthalmos,- Causes (Asked as a Short Answer),True,2,2022-02;2016-02,,n=OP-akkco&ed=9&vol=0#359,
S_OP_,Blepharitis,,True,2,2019-08;2010-02,,n=OP-akkco&ed=9&vol=0#346,
S_OP_,Entropion,- Definition and Types (Asked as a Short Answer);- Causes (Asked as a Short Answer),True,4,2016-08;2012-08;2009-08;2008-02,,n=OP-akkco&ed=9&vol=0#353,
S_OP_,Chalazion,,True,2,2014-02;2008-08,,n=OP-akkco&ed=9&vol=0#349,
S_OP_,Symblepharon,- Causes (Asked as a Short Answer),True,3,2014-02;2013-02;2009-02,,n=OP-akkco&ed=9&vol=0#358,
S_OP_,Ectropion,,True,1,2013-02,,n=OP-akkco&ed=9&vol=0#356,
S_OP_,Hordeolum Externum (or) Stye,,True,2,2012-08;2009-08,,n=OP-akkco&ed=9&vol=0#349,
S_OP_,Malignant Tumours of the Eyelid,,True,1,2010-02,,n=OP-akkco&ed=9&vol=0#366,
