Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_OP_,Anti-fungal Drugs,,True,2,2024-02;2020-02,,@book?n=OP-akkco&ed=9&vol=0#428
S_OP_,Mydriatics and Cycloplegics,"- Mechanism of Action
- Uses;- Atropine;- Homatropine",True,10,2023-06;2019-08;2016-02;2015-02;2011-08;2009-02;2008-02;2005-02;2004-08;2002-03,,@book?n=OP-akkco&ed=9&vol=0#433
S_OP_,Anti-VEGF (Anti-Vascular Endothelial Growth Factor) Agents,,True,3,2023-06;2023-02;2017-02,,@book?n=OP-akkco&ed=9&vol=0#437
S_OP_,Modes of Administration,,True,1,2023-02,,@book?n=OP-akkco&ed=9&vol=0#423
S_OP_,Anti-Glaucoma Drugs,- Prostaglandin Analogues;- Carbonic Anhydrase Inhibitors (CAIs);- Asked as a Short Answer;- Newer Drugs (Asked as a Short Answer);- Timolol Maleate,True,8,2022-08;2020-11;2014-02;2013-08;2012-02;2010-08;2003-10;1999-04,,"@book?n=OP-akkco&ed=9&vol=0#429,431"
S_OP_,Lasers in Ophthalmology,- Uses of Nd:YAG Laser (Asked as a Short Answer),True,4,2022-08;2012-02;2008-08;2005-02,,@book?n=OP-akkco&ed=9&vol=0#441
S_OP_,Ophthalmic Dyes,- Asked as a Short Answer;- Cornea Staining Dyes (Asked as a Short Answer);- Uses of Fluorescein,True,3,2022-02;2017-08;2016-02,,@book?n=OP-akkco&ed=9&vol=0#439
S_OP_,Anti-mitotic (or) Anti-metabolic Drugs,- Asked as a Short Answer,True,3,2017-08;2013-08;2012-02,,@book?n=OP-akkco&ed=9&vol=0#435
S_OP_,Photocoagulation,,True,1,2013-08,,@book?n=OP-akkco&ed=9&vol=0#443
S_OP_,Viscoelastics,,True,1,2009-08,,@book?n=OP-akkco&ed=9&vol=0#437
S_OP_,Cryotherapy,,True,1,2005-02,,@book?n=OP-akkco&ed=9&vol=0#444
