Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_OP_,Direct vs Indirect Ophthalmoscopy,- Advantages of Indirect Ophthalmoscopy (Asked as a Short Answer),True,10,2024-02;2023-02;2022-04;2021-09;2014-02;2012-02;2011-08;2010-02;2009-08;2005-02,,n=OP-akkpo&ed=9&vol=0#111,
S_OP_,Optical Coherence Tomography (OCT),- Uses (Asked as a Short Answer),True,1,2024-02,,n=OP-akkpo&ed=9&vol=0#30,
S_OP_,Tonometry,- Types (Asked as a Short Answer);- Applanation Tonometry (Asked as a Short Answer),True,4,2023-06;2020-11;2017-08;2017-02,,n=OP-akkpo&ed=9&vol=0#20,
S_OP_,Gonioscopy,,True,1,2022-04,,n=OP-akkpo&ed=9&vol=0#96,
S_OP_,Automated Perimetry,,True,1,2021-09,,n=OP-akkpo&ed=9&vol=0#24,
S_OP_,Ocular Ultrasonography,- Uses (Asked as a Short Answer),True,1,2019-02,,n=OP-akkpo&ed=9&vol=0#30,
S_OP_,Fundus Examination,- Types of Lenses Used to Visualise Retina (Asked as a Short Answer),True,1,2019-02,,"n=OP-akkpo&ed=9&vol=0#19,111",
E_OP_,Electroretinography (ERG),- Uses (Asked as a Short Answer),True,1,2017-08,,n=OP-akkpo&ed=9&vol=0#28,
S_OP_,Examination of Pupil,,True,1,2013-02,,n=OP-akkpo&ed=9&vol=0#16,
S_OP_,Retinal Function Test,,True,1,2012-02,,n=OP-akkco&ed=9&vol=0#186,
S_OP_,Retinoscopy,- Definition (Asked as a Short Answer),True,1,2009-08,,n=OP-akkpo&ed=9&vol=0#98,
