Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
E_EN_,Otosclerosis,"- Differential Diagnosis
- Evaluations
- Probable Diagnosis
- Treatment;- Etiology
- Pathology
- Clinical features
- Management",True,4,2024-02;2009-08;2005-08;2003-10,"A 35 year old female comes to ENT OPD with complaints of **right ear hard of hearing**. On examination, her **tympanic membrane was intact**. **Rinne** test was **negative on right side** and positive on left side. **Weber** lateralized to **right ear**.",n=EN-dhinent&ed=8&vol=0#103,
S_EN_,Tuberculous Otitis Media,,True,2,2024-02;2023-06,,n=EN-dhinent&ed=8&vol=0#88,
S_EN_,Impacted Wax (or) Cerumen,- Management,True,2,2024-02;2006-08,,n=EN-dhinent&ed=8&vol=0#62,
S_EN_,Malignant (or) Necrotizing Otitis Externa,,True,10,2024-02;2023-02;2019-08;2017-08;2015-08;2012-02;2011-08;2006-08;2000-10;1991-12,,n=EN-dhinent&ed=8&vol=0#61,
S_EN_,Auditory Brainstem Response (ABR) (or) Brainstem Evoked Response Audiometry (BERA) (or) Brainstem Auditory Evoked Response (BAER),,True,1,2024-02,,n=EN-dhinent&ed=8&vol=0#31,
S_EN_,Aero-Otitis Media (or) Otitic Barotrauma,,True,2,2024-02;2023-06,,n=EN-dhinent&ed=8&vol=0#78,
S_EN_,Acoustic Neuroma (or) Vestibular Schwannoma,- Clinical Features: Hitzelberger Sign (Asked as a Short Answer);- Cerebellopontine Angle Tumors,True,2,2024-02;2018-02,,n=EN-dhinent&ed=8&vol=0#132,
S_EN_,Stenger Test,- Tuning Fork Tests for Non-Organic Deafness,True,2,2024-02;2020-11,,n=EN-dhinent&ed=8&vol=0#44,
E_EN_,Hearing Impairment in Children,"- Etiology
- Clinical Features
- Investigations
- Treatment;- Evaluation of Sensory Neural Hearing Loss in Children
- Etiology
- Clinical Features
- Management",True,2,2023-06;2023-06,,n=EN-dhinent&ed=8&vol=0#135,
S_EN_,Adverse Effects of Noise Exposure,- Noise Induced Hearing Loss (Asked as a Short Answer),True,2,2023-06;2023-06,,n=EN-dhinent&ed=8&vol=0#40,
S_EN_,Syndromes Associated with Hearing Loss,- Treacher Collins Syndrome (or) Mandibulofacial Dysostosis (Asked as a Short Answer),True,1,2023-06,,n=EN-dhinent&ed=8&vol=0#136,
S_EN_,Herpes Zoster Oticus (or) Ramsay Hunt Syndrome,,True,2,2023-02;2021-09,,n=EN-dhinent&ed=8&vol=0#114,
S_EN_,Cochlear Implants,- Indications (Asked as a Short Answer),True,4,2023-02;2019-08;2018-02;2007-02,,n=EN-dhinent&ed=8&vol=0#145,
S_EN_,Presbycusis (or) Presbyacusis (or) Age-related Hearing Loss,,True,4,2023-02;2018-02;2013-08;2013-02,,n=EN-dhinent&ed=8&vol=0#43,
S_EN_,Otitis Media with Effusion (or) Serous (or) Secretory (or) Mucoid Otitis Media (or) Glue Ear,,True,10,2023-02;2020-02;2018-08;2015-08;2014-02;2012-02;2010-02;2005-02;2005-02;2003-10;2000-04,,n=EN-dhinent&ed=8&vol=0#75,
S_EN_,Otosclerosis,"- Clinical Features
- Diagnosis;- Asked as a Short Answer
- Diagnosis
- Medical Management;- Carhart's Notch (Asked as a Short Answer);- Paracusis Willisii",True,9,2023-02;2018-08;2016-08;2016-02;2013-08;2013-02;2012-02;1997-10;1995-04,,n=EN-dhinent&ed=8&vol=0#103,
E_EN_,Chronic (Suppurative) Otitis Media (CSOM/COM) - Atticoantral (or) Squamosal type (or) Unsafe Ear,"- Investigations
- Post-operative Complications",True,1,2023-02,A 40 year old male with history of right ear **discharge** for the last 15 years. **Discharge is foul smelling and scanty** in amount.,n=EN-dhinent&ed=8&vol=0#81,
S_EN_,Mechanism of Hearing,- Impedance Matching (or) Transformer Action;- Travelling Wave Theory of von Bekesy (Asked as a Short Answer),True,2,2023-02;2020-11,,n=EN-dhinent&ed=8&vol=0#17,
S_EN_,Lateral (or) Sigmoid Sinus Thrombophlebitis,- Tobey-Ayer Test (Asked as a Short Answer);- Griesinger's Sign (Asked as a Short Answer),True,3,2023-02;2014-02;2013-02,,n=EN-dhinent&ed=8&vol=0#100,
S_EN_,Masked (or) Latent Mastoiditis,- Asked as a Short Answer,True,1,2023-02,,n=EN-dhinent&ed=8&vol=0#95,
S_EN_,Otoacoustic Emissions (OAE),,True,2,2022-08;2018-08,,n=EN-dhinent&ed=8&vol=0#32,
S_EN_,Epley's Maneuver,,True,1,2022-08,,n=EN-dhinent&ed=8&vol=0#52,
E_EN_,Chronic (Suppurative) Otitis Media (CSOM/COM) - Tubotympanic (or) Mucosal (or) Safe Type,"- Diagnosis
- Investigations
- Air-Bone Gap
- Management;- Etiopathogenesis
- Clinical features
- Complications
- Management",True,5,2022-04;2008-08;2005-02;2001-04;1998-10,"A 30 year old female from village, with H/O **right ear discharge** since childhood with H/O **hard of hearing** for 5 years and headache for 3 months. On Examination, the patient was having a **central perforation** in the anteroinferior quadrant of the tympanic membrane. TFT showed **Rinne negative**, **Weber** lateralized to **right side **, **ABC - not reduced**.",n=EN-dhinent&ed=8&vol=0#81,
S_EN_,Labyrinthitis,- Diffuse Serous Labyrinthitis,True,2,2022-04;2009-02,,n=EN-dhinent&ed=8&vol=0#96,
S_EN_,Speech Audiometry,,True,1,2022-04,,n=EN-dhinent&ed=8&vol=0#27,
S_EN_,Korner's Septum,,True,2,2022-04;2014-08,,n=EN-dhinent&ed=8&vol=0#9,
S_EN_,Variants of Ménière's Disease,- Lermoyez Syndrome (Asked as a Short Answer),True,1,2022-04,,n=EN-dhinent&ed=8&vol=0#122,
S_EN_,Tympanic Membrane,- Different types of perforations,True,3,2022-02;2010-02;2008-08,,n=EN-dhinent&ed=8&vol=0#3,
S_EN_,Sudden Sensory Neural Hearing Loss,- Causes and Management,True,3,2022-02;2017-08;2008-08,,n=EN-dhinent&ed=8&vol=0#42,
S_EN_,Hearing Aids,- Types,True,2,2022-02;2015-02,,n=EN-dhinent&ed=8&vol=0#141,
S_EN_,Tinnitus,- Two Causes of Objective Tinnitus (Asked as a Short Answer);- Classify,True,2,2022-02;2012-08,,n=EN-dhinent&ed=8&vol=0#151,
S_EN_,Semicircular Canals,,True,1,2021-09,,n=EN-dhinent&ed=8&vol=0#11,
S_EN_,Otalgia (or) Ear Ache,- Referred Otalgia,True,7,2021-09;2012-02;2011-02;2010-02;2009-08;2006-02;1999-04,,n=EN-dhinent&ed=8&vol=0#149,
S_EN_,Gradenigo's Syndrome,,True,4,2021-09;2019-02;2011-08;2010-02,,n=EN-dhinent&ed=8&vol=0#95,
S_EN_,Intratympanic Gentamicin Therapy (or) Chemical Labyrinthectomy,- Asked as a Short Answer,True,1,2021-09,,n=EN-dhinent&ed=8&vol=0#124,
S_EN_,Ototoxicity,,True,3,2020-11;2018-02;2012-08,,n=EN-dhinent&ed=8&vol=0#39,
S_EN_,Trautmann's Triangle,- Asked as a Short Answer,True,1,2020-11,,n=EN-dhinent&ed=8&vol=0#550,
E_EN_,Lateral (or) Sigmoid Sinus Thrombophlebitis,"- Complications of Chronic Suppurative Otitis Media
- Clinical Features
- Investigations
- Treatment",True,3,2020-02;2016-02;2014-08,,"n=EN-dhinent&ed=8&vol=0#90,100",
S_EN_,Eustachian Tube,- Functions (Asked as a Short Answer),True,3,2020-02;2016-08;2001-04,,n=EN-dhinent&ed=8&vol=0#67,
S_EN_,Tullio Phenomenon,- Asked as a Short Answer,True,1,2020-02,,n=EN-dhinent&ed=8&vol=0#550,
