Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_EN_,Little's Area,"- Anatomy- Clinical Importance",True,7,2024-02;2018-02;2015-08;2012-08;2011-09;2008-08;1991-03,,n=EN-dhinent&ed=8&vol=0#205,
S_EN_,Perforation of Nasal Septum,"- Etiopathogenesis- Management",True,1,2024-02,,n=EN-dhinent&ed=8&vol=0#174,
S_EN_,Atrophic Rhinitis (or) Ozaena,- Surgical Management;- Treatment,True,9,2024-02;2023-02;2017-02;2015-08;2013-03;2012-02;2010-08;2008-08;1993-11,,n=EN-dhinent&ed=8&vol=0#178,
S_EN_,Vasomotor Rhinitis,- Vidian Neurectomy (Asked as a Short Answer),True,2,2024-02;2020-02,,n=EN-dhinent&ed=8&vol=0#198,
S_EN_,Functions (or) Physiology of Nose,- Olfaction (or) Perception of Smell,True,5,2023-06;2012-08;2011-02;2010-02;2010-02,,n=EN-dhinent&ed=8&vol=0#162,
S_EN_,Rhinosporidiosis,,True,6,2023-06;2016-08;2011-08;2009-08;1997-04;1993-01,,n=EN-dhinent&ed=8&vol=0#185,
S_EN_,T/NK-Cell Lymphoma (or) Lethal Midline (or) Stewart's Granuloma,- Asked as a Short Answer,True,1,2023-06,,n=EN-dhinent&ed=8&vol=0#187,
E_EN_,Rhinosporidiosis,"- Clinical Features- Investigations- Treatment;- Etiology- Investigations- Management",True,4,2023-02;2013-08;2005-08;1993-01,,n=EN-dhinent&ed=8&vol=0#185,
S_EN_,Rhinoscleroma,,True,6,2023-02;2020-11;2013-08;2011-02;2007-02;1998-04,,n=EN-dhinent&ed=8&vol=0#181,
S_EN_,CSF Rhinorrhea,,True,3,2023-02;2011-02;2003-10,,n=EN-dhinent&ed=8&vol=0#191,
S_EN_,Wegener's Granulomatosis,- Asked as a Short Answer,True,1,2023-02,,n=EN-dhinent&ed=8&vol=0#187,
E_EN_,Nasal Polypi,"- Diagnosis: Bilateral Ethmoidal Polypi- Samter's Triad- Investigations- Management;- Anatomy of Lateral Wall of Nose- Types and Management",True,5,2022-08;2018-02;2005-08;2001-04;1995-11,"A 50 year old housewife form Kerala has come to the hospital with the complaints of recurrent attacks of URI for 10 years with nasal block for 3 months. Patient is a known asthmatic and on  bronchodilator treatment since 6 yrs, H/O Diabetes present and on oral hypoglycemic drugs. She is having **deflected nasal septum** towards left side with **multiple grayish white masses** appear as **grapes** in the middle meatus of both the nostrils, **insensitive to touch and don’t bleed**.",n=EN-dhinent&ed=8&vol=0#200,
S_EN_,Rhinomanometry,,True,2,2022-08;2019-08,,,
S_EN_,Complications of Sinusitis,,True,2,2022-04;2019-02,,n=EN-dhinent&ed=8&vol=0#231,
E_EN_,Allergic Rhinitis,"- Etiopathogenesis- Clinical Features- Investigations- Management",True,1,2022-02,,n=EN-dhinent&ed=8&vol=0#194,
S_EN_,Saddle Nose Deformity,- Asked as a Short Answer,True,1,2022-02,,n=EN-dhinent&ed=8&vol=0#165,
S_EN_,Invasive Fungal Sinusitis,,True,5,2021-09;2019-08;2013-02;2011-02;2007-02,,n=EN-dhinent&ed=8&vol=0#229,
S_EN_,Blood Supply of Nose,- Retrocolumellar Vein (Asked as a Short Answer),True,1,2021-09,,n=EN-dhinent&ed=8&vol=0#205,
E_EN_,Deviated Nasal Septum,"- Clinical Features
- Management ",True,1,2000-10,,n=&ed=8&vol=0#,
E_EN_,"Epistaxis ","- Causes of Epistaxis
- Management in 6 Year Old Children",True,7,2017-08;2014-02;2012-02;2011-02;2007-02;2003-10;1999-04,,n=EN-dhinent&ed=8&vol=0#205,
E_EN_,"Atrophic Rhinitis ","- Causes
- Clinical Features
- Management",True,3,2002-03;1997-04;1993-11,,n=EN-dhinent&ed=8&vol=0#178,
E_EN_,"Vasomotor Rhinitis ","- Pathogenesis
- Clinical features
- Treatment ",True,5,2002-03;2000-04;1997-04;1995-04;1993-11,,n=EN-dhinent&ed=8&vol=0#198,
E_EN_,Septal Haematoma and Perforation,,True,2,1998-10;1994-11,,n=&ed=0&vol=0#,
S_EN_,Rhinolith,,True,8,2020-02;2014-08;2013-02;2011-08;2008-08;2005-02;2001-11;1995-11,,n=EN-dhinent&ed=8&vol=0#189,
S_EN_,"Choanal Atresia ",,True,3,2019-08;2016-02;2007-08,,n=EN-dhinent&ed=8&vol=0#191,
S_EN_,Rhinitis Sicca,,True,1,2019-02,,n=EN-dhinent&ed=8&vol=0#180,
S_EN_,"Mucociliary Clearance Mechanism ",,True,2,2018-08;2001-11,,n=EN-dhinent&ed=8&vol=0#163,
S_EN_,Nasal polyposis,- Difference between Antrochoanal Polyp and Ethmoidal Polyp;- Antrochoanal Polyp;- Ethmoidal Polyp,True,10,2018-08;2016-02;2015-08;2014-08;2012-02;2011-02;2010-02;2009-08;2008-08;2006-02;2005-08;2004-08;2001-04;1995-11,,n=EN-dhinent&ed=8&vol=0#200,
S_EN_,"Functional Endoscopic Sinus Surgery ","- Complication ",True,7,2018-08;2016-08;2014-02;2013-08;2010-08;2005-02;2003-10,,n=EN-dhinent&ed=8&vol=0#494,
S_EN_,"Maxillectomy ","- Types and Indication ",True,1,2018-02,,,
S_EN_,"Allergic Rhinitis ",,True,5,2017-08;2012-02;2011-02;2010-08;2009-02,,n=EN-dhinent&ed=8&vol=0#194,
S_EN_,"Complication of Septal Surgery ",,True,2,2015-08;2010-02,,n=EN-dhinent&ed=8&vol=0#488,
E_EN_,"Carcinoma of Maxillary Sinus ","- Etiopathogenesis
- Management ;- Classification ",True,3,2015-02;2012-02;2009-08,,n=EN-dhinent&ed=8&vol=0#241,
S_EN_,Myiasis Of Nose,,True,4,2014-08;2011-08;2010-02;2001-11,,n=EN-dhinent&ed=8&vol=0#189,
S_EN_,Middle Meatus,,True,1,2014-08,,n=EN-dhinent&ed=8&vol=0#157,
S_EN_,Oroantral Fistula,,True,2,2014-08;2003-10,,n=EN-dhinent&ed=8&vol=0#217,
S_EN_,Cottle's Test,,True,1,2014-02,,n=EN-dhinent&ed=8&vol=0#208,
S_EN_,Rhinophyma,"- Potato Nose ",True,3,2013-08;2012-08;2006-02,,n=EN-dhinent&ed=8&vol=0#166,
S_EN_,Fungal Polyposis,,True,1,2013-08,,n=EN-dhinent&ed=8&vol=0#229,
S_EN_,Anterior Nasal Packing,,True,1,2013-08,,n=EN-dhinent&ed=8&vol=0#208,
S_EN_,"Diagnostic Nasal Endoscopy ",,True,1,2012-08,,n=EN-dhinent&ed=8&vol=0#492,
S_EN_,"Rhinocerebral - Phycomycosis ",,True,1,2012-08,,n=EN-dhinent&ed=8&vol=0#183,
S_EN_,Rhinolalia Aperta,- Causes,True,1,2012-08,,n=EN-dhinent&ed=8&vol=0#368,
S_EN_,Rhinolalia Clausa,- Causes,True,1,2011-08,,n=&ed=0&vol=0#,
S_EN_,Rhinitis Medicomentosa,,True,1,2011-08,,n=EN-dhinent&ed=8&vol=0#199,
S_EN_,Furuncle - Nose,,True,1,2011-02,,n=EN-dhinent&ed=8&vol=0#168,
S_EN_,Septal Hematoma,,True,4,2011-02;2010-08;2008-08;1994-11,,n=&ed=0&vol=0#,
S_EN_,"Lateral Wall of Nasal Cavity ",,True,1,2010-08,,n=EN-dhinent&ed=8&vol=0#156,
S_EN_,Septoplasty and SMR,,True,5,2012-02;2009-02;2008-08;2006-08;2004-08,,n=EN-dhinent&ed=8&vol=0#489,
E_EN_,"Chronic Maxillary Sinusitis ","- Etiology
- Clinical Features 
- Management ",True,2,2003-10;2001-04,,n=&ed=0&vol=0#,
S_EN_,"Nasal Bone Fracture ",,True,1,2004-08,,n=EN-dhinent&ed=8&vol=0#170,
S_EN_,"Acute Frontal Sinusitis ",,True,1,1998-04,,n=EN-dhinent&ed=8&vol=0#224,
S_EN_,Rhinitis Caseosa,,True,1,1996-10,,n=EN-dhinent&ed=8&vol=0#180,
