Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_EN_,Strictures of Oesophagus,,True,3,2024-02;2014-08;2009-08,,n=EN-dhinent&ed=8&vol=0#400,
S_EN_,Plummer Vinson Syndrome (or) Patterson Brown Kelly Syndrome,,True,7,2024-02;2020-11;2016-02;2014-08;2010-02;2009-08;2006-02,,n=EN-dhinent&ed=8&vol=0#401,
S_EN_,Benign Neoplasms (or) Pre-malignant Conditions of Oesophagus,,True,1,2023-06,,n=EN-dhinent&ed=8&vol=0#402,
S_EN_,Cardiac Achalasia,,True,2,2020-02;2011-08,,n=EN-dhinent&ed=8&vol=0#401,
E_EN_,Plummer Vinson Syndrome (or) Patterson Brown Kelly Syndrome,"- Causes of Dysphagia- Etiology- Clinical Features- Investigations- Treatment",True,1,2019-02,,n=EN-dhinent&ed=8&vol=0#401,
S_EN_,Dysphagia,- Investigations,True,3,2015-08;2009-02;2005-08,,n=EN-dhinent&ed=8&vol=0#405,
S_EN_,Etiology of Cancer Oesophagus,,True,1,2013-08,,n=EN-dhinent&ed=8&vol=0#402,
S_EN_,Physiology of Swallowing,,True,1,2013-02,,n=EN-dhinent&ed=8&vol=0#398,
S_EN_,Barrett's Oesophagus,- Asked as a Short Answer,True,1,2012-08,,n=EN-dhinent&ed=8&vol=0#402,
E_EN_,Strictures of Oesophagus,"- Etiology- Clinical Features- Management",True,1,2012-02,,n=EN-dhinent&ed=8&vol=0#400,
E_EN_,Cancer Oesophagus,"- Differential Diagnosis- Investigations- Treatment for Cancer of Lower Third;- Clinical Features- Diagnosis- Management",True,2,2008-02;2006-08,A 65 year old male patient presented with **difficulty in swallowing (dysphagia)**,"n=EN-dhinent&ed=8&vol=0#402,404",
E_EN_,Dysphagia (or) Difficulty in Swallowing,"- Investigations- Management",True,1,2005-02,,n=EN-dhinent&ed=8&vol=0#404,
