Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_EN_,Nasopharyngeal Cancer,"- Possible Diagnosis
- Differential Diagnosis
- Investigations
- Treatment;- Etiology
- Pathogenesis
- Clinical Features
- Management",True,2,2024-02;2014-02,"A 60 year old male comes with **nasal block, nasal bleeding and upper deep cervical lymph node on right side.** There is a **proliferative mass** in nasopharynx on post-nasal examination.",@book?n=EN-dhinent&ed=8&vol=0#296
S_EN_,Post-cricoid Carcinoma,,True,1,2024-02,,@book?n=EN-dhinent&ed=8&vol=0#322
E_EN_,Chronic Tonsillitis with Adenoid Hypertrophy,"- Diagnosis
- Investigations
- Treatment
- Surgery and its Complications",True,1,2024-02,A 6 year old female child from a village has come to the hospital with C/O **recurrent attacks of URI** for 2 years and **throat pain** for 6 months with **mouth breathing and snoring** for 2 months.,"@book?n=EN-dhinent&ed=8&vol=0#286,307"
S_EN_,Retropharyngeal Abscess,- **Prevertebral Shadow Widening** in Radiograph of Soft Tissue Lateral View (Asked as a Short Answer);- Potential Neck Spaces and Acute Retropharyngeal Abscess;- Chronic Retropharyngeal Abscess,True,10,2023-06;2023-02;2022-02;2016-08;2012-08;2012-02;2011-02;2010-02;2001-04;2000-10;1993-01,,@book?n=EN-dhinent&ed=8&vol=0#312
S_EN_,Juvenile Nasopharyngeal Angiofibroma (JNA) (or) Nasopharyngeal Fibroma,"- Mode of Spread
- Clinical Features;- Management",True,8,2023-06;2015-08;2013-02;2011-02;2008-08;2003-10;2002-03;2001-04,,@book?n=EN-dhinent&ed=8&vol=0#289
E_EN_,Tonsils,"- Definition
- Differential Diagnosis of Unilateral Tonsillar Enlargement
- Complications of Tonsillectomy",True,1,2023-02,,"@book?n=EN-dhinent&ed=8&vol=0#303,506"
S_EN_,Vincent's Angina,,True,2,2022-08;2013-08,,@book?n=EN-dhinent&ed=8&vol=0#306
S_EN_,Obstructive Sleep Apnoea (OSA),- Continuous Positive Airway Pressure (CPAP) (Asked as a Short Answer),True,5,2022-08;2020-11;2017-02;2014-08;2011-08,,@book?n=EN-dhinent&ed=8&vol=0#326
S_EN_,Mouth Breathing,,True,1,2022-04,,
S_EN_,Faucial Diphtheria,,True,3,2022-02;2003-10;2002-03,,@book?n=EN-dhinent&ed=8&vol=0#306
S_EN_,Snoring,- Surgical Management,True,1,2021-09,,@book?n=EN-dhinent&ed=8&vol=0#325
E_EN_,Chronic Tonsillitis,"- Classification
- Pathogenesis
- Clinical Features
- Management
- Contraindications for Tonsillectomy;- Etiology
- Pathogenesis
- Clinical Features
- Diagnosis
- Complications
- Management",True,2,2020-11;2018-08,,@book?n=EN-dhinent&ed=8&vol=0#307
S_EN_,Styalgia (or) Eagle Syndrome,,True,2,2020-02;2011-08,,@book?n=EN-dhinent&ed=8&vol=0#321
S_EN_,Killian's Dehiscence,,True,3,2020-02;2014-02;2011-02,,@book?n=EN-dhinent&ed=8&vol=0#281
S_EN_,Lingual Tonsil,,True,1,2019-08,,@book?n=EN-dhinent&ed=8&vol=0#283
S_EN_,Pharyngeal Pouch (or) Hypopharyngeal (or) Zenker's Diverticulum,,True,3,2019-08;2018-02;2011-08,,@book?n=EN-dhinent&ed=8&vol=0#323
S_EN_,Parts of Hypopharynx,- Asked as a Short Answer;- Pyriform Fossa (or) Sinus,True,3,2019-02;2001-11;1993-11,,@book?n=EN-dhinent&ed=8&vol=0#284
S_EN_,Polysomnography,,True,1,2018-08,,@book?n=EN-dhinent&ed=8&vol=0#327
E_EN_,Juvenile Nasopharyngeal Angiofibroma (JNA) (or) Nasopharyngeal Fibroma,"- Causes of Epistaxis
- Clinical Features of JNA
- Management;- Etiology
- Spread
- Clinical Features
- Management;- Anatomy of Nasopharynx
- Etiology
- Pathology
- Clinical Features
- Treatment",True,4,2017-08;2011-08;2009-08;2001-11,A 15 year old female presenting with **unilateral nasal obstruction** and **nasal discharge** on the right side. On endoscopic examination a **tumor mass** is seen with **blood stained discharge**.,@book?n=EN-dhinent&ed=8&vol=0#289
S_EN_,Differential Diagnosis of Membrane Over the Tonsil,,True,1,2017-08,,@book?n=EN-dhinent&ed=8&vol=0#306
S_EN_,Parapharyngeal Abscess,- Boundaries (Asked as a Short Answer),True,4,2017-08;2012-02;2009-02;2006-02,,@book?n=EN-dhinent&ed=8&vol=0#314
S_EN_,Ludwig's Angina,,True,5,2017-02;2015-02;2009-02;2008-02;2005-02,,@book?n=EN-dhinent&ed=8&vol=0#309
E_EN_,Retropharyngeal Abscess,"- Causes of Dysphagia
- Acute Retropharyngeal Abscess;- Etiology
- Pathogenesis
- Clinical Features
- Management",True,2,2016-08;2008-08,"A 2 year old child presenting with a unilateral paramedian bulge  presents with dysphagia and difficulty in breathing,with stridor and cough.","@book?n=EN-dhinent&ed=9&vol=0#312,404"
S_EN_,Causes of Unilateral Tonsillar Enlargement,- Asked as a Short Answer,True,1,2016-02,,
S_EN_,Peritonsillar Abscess (or) Quinsy,,True,8,2015-02;2013-02;2008-02;2005-02;1997-10;1995-04;1994-11;1993-01,,@book?n=EN-dhinent&ed=8&vol=0#311
S_EN_,Tonsilloliths (or) Calculus of Tonsil,,True,2,2014-02;2011-02,,@book?n=EN-dhinent&ed=8&vol=0#308
S_EN_,Clinical Features of Chronic Tonsillitis,,True,1,2014-02,,@book?n=EN-dhinent&ed=8&vol=0#307
S_EN_,Adenoid Facies,,True,4,2014-02;2013-02;2001-11;1999-04,,@book?n=EN-dhinent&ed=8&vol=0#287
S_EN_,Tubal (or) Gerlach Tonsil,,True,2,2013-08;2012-08,,@book?n=EN-dhinent&ed=8&vol=0#283
S_EN_,Waldeyer's Ring,,True,3,2013-08;2011-08;2008-08,,@book?n=EN-dhinent&ed=8&vol=0#281
S_EN_,Anatomy of Tonsils,- Blood Supply (Asked as a Short Answer),True,1,2013-02,,@book?n=EN-dhinent&ed=8&vol=0#303
S_EN_,White Patch on Tonsils,,True,2,2012-08;2008-08,,@book?n=EN-dhinent&ed=8&vol=0#306
S_EN_,Clinical Features of Nasopharyngeal Cancer,- Trotter's Triad (or) Sinus of Morgagni Syndrome (Asked as a Short Answer),True,2,2012-08;2011-08,,"@book?n=EN-dhinent&ed=8&vol=0#297,550"
S_EN_,Keratosis Pharyngis (or) Keratosis Tonsil,- Asked as a Short Answer,True,2,2012-02;2009-08,,@book?n=EN-dhinent&ed=8&vol=0#302
S_EN_,Acute Tonsillitis,- Membranous Tonsillitis,True,2,2011-08;1997-04,,@book?n=EN-dhinent&ed=8&vol=0#304
E_EN_,Acute Tonsillitis,"- Diagnosis
- Complications
- Treatment of Acute Follicular Tonsillitis;- Differential Diagnosis
- Acute Tonsillitis vs Acute Faucial Diphtheria",True,3,2011-02;2000-10;1993-11,,@book?n=EN-dhinent&ed=8&vol=0#304
E_EN_,Differential Diagnosis of White Patch on Tonsils,,True,1,2010-08,,@book?n=EN-dhinent&ed=8&vol=0#306
S_EN_,Scarlet Fever (or) Strep Throat,,True,1,2010-08,,"@book?n=EN-dhinent&ed=8&vol=0#300,304"
S_EN_,Adenoids (or) Nasopharyngeal Tonsil,,True,2,2010-02;1994-11,,@book?n=EN-dhinent&ed=8&vol=0#282
E_EN_,Peritonsillar Abscess (or) Quinsy,"- Conditions Causing Trismus
- Clinical Features
- Management;- Etiology
- Clinical Features
- Treatment
- Complications",True,2,2004-08;1995-11,,@book?n=EN-dhinent&ed=8&vol=0#311
