Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_EN_,Complications of Tonsillectomy,- Secondary Hemorrhage,True,7,2024-02;2023-06;2019-02;2017-08;2017-02;2009-08;2004-08,,n=EN-dhinent&ed=8&vol=0#506,
S_EN_,Cortical Mastoidectomy,- Complications (Asked as a Short Answer),True,2,2023-06;2017-02,,n=EN-dhinent&ed=8&vol=0#475,
S_EN_,Videostroboscopy,- Asked as a Short Answer,True,1,2023-06,,,
S_EN_,Complications of Septoplasty,,True,1,2023-02,,n=EN-dhinent&ed=8&vol=0#491,
S_EN_,Water's View,- Asked as a Short Answer,True,1,2022-02,,n=EN-dhinent&ed=8&vol=0#509,
S_EN_,Grommet (or) Ventilation Tube,- Asked as a Short Answer,True,1,2020-11,,n=EN-dhinent&ed=8&vol=0#472,
S_EN_,Caldwell-Luc Surgery (or) Anterior Antrostomy,,True,1,2020-02,,n=EN-dhinent&ed=8&vol=0#485,
S_EN_,Myringoplasty,,True,1,2019-02,,n=EN-dhinent&ed=8&vol=0#480,
S_EN_,Functional Endoscopic Sinus Surgery (FESS),- Complications (Asked as a Short Answer),True,7,2018-08;2016-08;2014-02;2013-08;2010-08;2005-02;2003-10,,n=EN-dhinent&ed=8&vol=0#494,
S_EN_,Radical Mastoidectomy,- Indications (Asked as a Short Answer),True,1,2017-08,,n=EN-dhinent&ed=8&vol=0#477,
S_EN_,Complications of Septal Surgery,- Asked as a Short Answer,True,1,2015-08,,n=EN-dhinent&ed=8&vol=0#488,
S_EN_,Absolute indications of tonsillectomy,,True,1,2010-08,,n=EN-dhinent&ed=8&vol=0#503,
S_EN_,Modalities of tonsillectomy,,True,1,2010-08,,n=EN-dhinent&ed=8&vol=0#505,
