Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_PA_2.2.3,Free Radicals in Cell Injury,,True,4,2012-02;2010-08;2008-08;2000-10,n=PA-rbpbdsa&ed=10&vol=1#52,,
S_PA_2.4.2,Necrosis,- Types;- Nuclear Changes;- Morphological Patterns;- Fat Necrosis;- Caseous Necrosis,True,10,2018-02;2017-02;2014-02;2013-08;2013-02;2012-02;2009-08;2009-02;2008-08;2002-03;1998-11;1991-12,n=PA-rbpbdsa&ed=10&vol=1#39,,
S_PA_2.5.2,Gangrene,- Pathogenesis,True,4,2016-08;2008-02;1997-10;1996-04,n=PA-rbpbdsa&ed=10&vol=1#41,,
E_PA_2.4.3,Apoptosis,"- Definition
- Causes
- Mechanisms
- Morphology;- Biochemical Features
-Dysregulated Apoptosis",True,3,2023-07;2016-02;2007-08,n=PA-rbpbdsa&ed=10&vol=1#42,,
E_PA_2.4.2,Necrosis,"- Definition
- Morphology
- Patterns of Tissue Necrosis",True,4,2022-02;2011-02;2006-08;1990-12,n=PA-rbpbdsa&ed=10&vol=1#39,,
S_PA_2.4.1,Cell Death,- Necroptosis,True,1,2021-02,n=PA-rbpbdsa&ed=10&vol=1#47,,
S_PA_2.6.3,Hyperplasia,,True,3,2021-02;2019-08;2017-08,n=PA-rbpbdsa&ed=10&vol=1#59,,
S_PA_2.5.1,Pathologic Calcification,- Dystrophic;- Metastatic;- Difference between Dystrophic and Metastatic,True,10,2020-08;2018-02;2017-08;2015-02;2013-02;2011-02;2009-02;2007-08;2006-02;2000-10;1998-11;1998-04;1990-12,n=PA-rbpbdsa&ed=10&vol=1#65,,
S_PA_2.4.3,Apoptosis,- Mechanism,True,4,2019-02;2014-02;2012-08;2010-08,n=PA-rbpbdsa&ed=10&vol=1#42,,
S_PA_2.6.4,Metaplasia,,True,6,2017-02;2013-08;2011-02;2010-08;2010-02;2003-10,n=PA-rbpbdsa&ed=10&vol=1#61;n=PA-rbpbdsa&ed=10&vol=1#272,,
E_PA_2.3,Degeneration,"- Types
- Fatty Change Pathology",True,1,2004-08,n=PA-rbpbdsa&ed=10&vol=1#62,,
S_PA_2.3.1,Fatty Change,- Fatty Liver;- Causes,True,3,2010-02;2005-08;2003-10,n=PA-rbpbdsa&ed=10&vol=1#62,,
S_PA_2.2.4,Cellular Swelling,,True,1,2006-08,n=PA-rbpbdsa&ed=10&vol=1#37,,
S_PA_2.7,Cellular Aging,- Role of Sirtuins,True,1,2016-02,n=PA-rbpbdsa&ed=10&vol=1#66,,
S_PA_2.3.4,Pigments,"- Classification
- Lipofuschin",True,1,2011-08,n=PA-rbpbdsa&ed=10&vol=1#64,,
S_PA_2.6.3,Atrophy,,True,1,2010-02,n=PA-rbpbdsa&ed=10&vol=1#59,,
S_PA_,Autophagy,,False,1,,n=PA-rbpbdsa&ed=10&vol=1#48,,
