Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_PA_11.1.3.4,Turner's Syndrome,,TRUE,7,1991-12;1994-11;1999-04;2003-10;2006-02;2007-02;2012-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.3.4,Klinefelter Syndrome,,TRUE,7,1995-04;1998-11;2008-08;2010-08;2012-08;2017-02;2023-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.3.4,Name 2 disorders involving sex chromosomes,-_Sex_chromatin/-_Klinefelter_syndrome/-_Turner_syndrome/-_Hermaphroditism_and_Pseudoaphroditism,TRUE,4,2017-04;1997-11;2004-08;2020-08,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.1.3,Marfan Syndrome,,TRUE,1,1997-11,,,
S_PA_11.1.1.5,Gaucher's disease ,-Stain_used_to_identify,TRUE,6,2000-10;2008-02;2014-02;2014-08;2015-02;2023-07,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.3.3,Down Syndrome ( Trisomy 21 ),,TRUE,7,2006-08;2010-02;2016-08;2019-08;2009-02;2013-02;2014-08,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.1.5,Niemann-Pick Disease,,TRUE,1,2007-08,,,
S_PA_11.1.3.2,Enumerate 4 types of chromosomal rearrangements,,TRUE,2,2008-08;2019-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.4.2,Mitochondrial inheritance,,TRUE,1,2011-02,,,
S_PA_11.1.5.3,Hybridisation techniques to detect genomic alterations,-_Fluorescence_In_Situ_Hybridisation,TRUE,1,2011-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.1.1,Mention four X linked recessive disorders,,TRUE,3,2011-02;2002-03;2018-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.1.5,Glycogen storage disorders,,TRUE,1,2018-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_11.1.1.1,Give 2 example of autosomal recessive disorder,,TRUE,1,2018-08,n=&ed=0&vol=0#0,,
S_PA_11.1.3.4,Barr body,,TRUE,1,2023-07,n=PA-rbpbdsa&ed=10&vol=1#0,,
