Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_PA_9.2.5,Cell mediated (Type 4) Hypersensitivity reaction,,TRUE,2,1991-12;2023-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.5,L.E (Lupus Erythematosus) phenomenon,,TRUE,3,1992-04;2008-02;2015-08,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.2.3,Phagocytosis,,TRUE,5,1992-04;1999-04;2005-08;2010-02;2014-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.1.3,Cytokines,,TRUE,3,1994-11;2001-04;2020-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
E_PA_9.6,AIDS (Acquired immunodeficiency syndrome),-_Etiology/-_Routes_of_transmission/-_Pathogenesis/-_Clinical_features/-_Major_and_minor_signs/-_Laboratory_diagnosis/-_Opportunistic_infections,TRUE,9,1994-11;2007-08;2010-02;2011-02;2012-02;2014-02;2016-08;2020-02;2023-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
E_PA_3.1;3.2,Amyloidosis,-_Pathogenesis/-_Primary_amyloidosis/-_Stains_used_and_staining_characteristics/-_Effect_on_various_organs,TRUE,10,1995-04;2000-04;2004-08;2005-08;2008-02;2009-08;2010-02;2011-02;2012-08;2013-08;2014-08;2015-08;2020-11;2020-08;2022-08;2022-08,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.2.3,Antibody mediated (Type 2) Hypersensitivity,,TRUE,3,1995-11;2002-03;2011-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.6.1,Classify primary immunodeficiency syndromes and describe in more details,,TRUE,1,2000-10,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.3.2,Morphology of transplant rejection reactions,,TRUE,4,2000-10;2021-02;2021-09;2022-08,n=PA-rbpbdsa&ed=101&vol=1#0,,
S_PA_9.1.1,Natural killer cells,,TRUE,1,2001-04,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.3,Histocompatibilty complex,,TRUE,1,2003-10,n=PA-rbpbdsa&ed=10&vol=1#0,,
"S_PA_3,1;3.2",Anti nuclear antibodies,,TRUE,1,2003-10,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.1.4,T-Lymphocyte,,TRUE,1,2004-08,n=PA-rbpbdsa&ed=10&vol=1#0,,
E_PA_9.2.4,Classify hypersensitivity reactions. Describe in detail Immune complex (Type 3) Hypersensitivity reaction,,TRUE,5,2009-02;2012-02;2017-08;2022-02;2023-02,n=PA-rbpbdsa&ed=101&vol=1#0,,
S_PA_9.2.2,Mast cells,,TRUE,1,2009-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.4,Mechanism of autoimmune disease.,-_Name_4_autoimmune_diseases,TRUE,3,2009-08;2018-02;2023-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.2.2,Anaphylaxis ,,TRUE,3,2010-02;2013-02;2022-03,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.2.2,Type 1 (Immediate) Hypersensitivity reaction,,TRUE,4,2010-08;2019-02;2020-08;2020-11,n=PA-rbpbdsa&ed=101&vol=1#0,,
S_PA_9.5,Mention 2 renal changes in SLE,,TRUE,3,2011-02;2014-08;2023-07,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.6.1,Hyper IGM Syndrome,,TRUE,1,2011-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.2.4,Arthus reaction,,TRUE,2,2012-08;2015-02,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.2.3,Type 2 Hypersensitivity reaction,,TRUE,2,2014-02;2018-08,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_9.3.3,Graft vs Host disease,,TRUE,1,2019-08,n=PA-rbpbdsa&ed=10&vol=1#0,,
E_PA_9.5,Systemic Lupus Erythematosus,,TRUE,1,2023-07,n=PA-rbpbdsa&ed=10&vol=1#0,,
