Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_PA_21.5,Von Willibrand's Disease,,True,6,1997-10;2006-02;2009-02;2016-02;2018-08;2023-07,n=PA-rbpbdsa&ed=10&vol=1#668,,
E_PA_21.2.1.2,Thrombocytopaenia,"- Causes of thrombocytopaenia
- classify
- Etiopathognenesis
- Enlist various tests for bleeding disorders
",True,3,1998-04;2002-03;2014-02,n=PA-rbpbdsa&ed=10&vol=1#663,,
S_PA_21.2.1.2.1,Idiopathic Thrombocytopaenic purpura,,True,6,2002-03;2007-02;2008-02;2008-08;2011-02;2017-08,n=PA-rbpbdsa&ed=10&vol=1#664,,
S_PA_21.2.2,Prothrombin time,,True,2,1998-04;2013-08,n=PA-rbpbdsa&ed=10&vol=1#662,,
S_PA_22.5.1,Blood transfusion,- Complications,True,2,2005-02;2023-12,n=PA-rbpbdsa&ed=10&vol=1#0,,
S_PA_21.4.2,Hemophilia,"- Hemophilia A
- Investigations necessary for diagnosis of Hemophilia",True,4,2010-08;2011-08;2014-08;2017-02,n=PA-rbpbdsa&ed=10&vol=1#668,,
S_PA_22.4.2,Anticoagulants,"- Various anti-coagulants utilized in clinical pathology lab for routine blood investigations
- Write about their mechanism
- Uses",True,3,2012-02;2019-08;2022-02,,,
S_PA_22.2.1,Cross matching,,True,3,2010-02;2012-02;2023-07,,,
S_PA_22.4.1,Blood bank,- Blood components prepared in the blood bank,True,1,2010-02,,,
S_PA_22.6.1,Transfusion reactions,"- Classify transfusion reactions
- Investigation
- Infection transmitted by blood transfusion",True,2,2011-02;2022-08,n=PA-rbpbdsa&ed=10&vol=1#671,,
S_PA_21.2.1.2.2,Chronic immune Thrombocytopaenic purpura,,True,2,2012-02;2022-08,n=PA-rbpbdsa&ed=10&vol=1#664,,
S_PA_21.4.3,Christmas disease,,True,1,2012-08,n=PA-rbpbdsa&ed=10&vol=1#667,,
S_PA_21.2.1.3,"Glanzmann thrombasthenia , Bernard-Soulier syndrome",,True,1,2021-09,n=PA-rbpbdsa&ed=10&vol=1#666,,
S_PA_21.2.3,Pancytopaenia,,True,1,2018-02,,,
S_PA_22.2.2,Graft vs host disease,- Mechanism of recognition and rejection of Allografts,True,2,2019-08;2022-08,,,
S_PA_21.4,Coagulation disorders,,True,1,2020-02,n=PA-rbpbdsa&ed=10&vol=1#667,,
S_PA_21.1,Normal Hemostasis and coagulation cascade,,True,1,2022-03,,,
S_PA_22.1.1,Bombay blood group,,True,2,2009-08;2020-11,,,
E_PA_21.2.1,Bleeding disorders,"- Classify Bleeding disorders
- Discuss the laboratory investigation of these disorders",True,1,1994-11,n=PA-rbpbdsa&ed=10&vol=1#662,,
