Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_PA_18.1.2,Leukemoid Reactions (or) Leukocytosis,,True,6,2012-08;2008-08;2005-08;2000-04;1999-04;1995-11,,n=PA-rbpbdsa&ed=10&vol=1#587;n=PA-rbpbdsa&ed=10&vol=1#102,
S_PA_18.2,Leukemia,"- Definition
- FAB classification of leukemia",True,2,2009-08;2008-08,,n=PA-rbpbdsa&ed=10&vol=1#590,
E_PA_18.2.2.1,Chronic Myeloid Leukemia (CML),"- Diagnosis
- Peripheral smear findings
- Course of disease
- Chromosomal abnormality involved;- Clinical features
- Peripheral smear and bone marrow findings
- Clinical outcome; - Diagnosis
- Molecular basis of this disease
- Morphological features
- Classify myeloproliferative neoplasms",True,4,2023-07;2012-08;2011-08;2009-08,"A 40 year old male with H/O chronic fatigue, weight loss since 6 months. O/E pallor, marked splenomegaly+, laboratory report shows Hb 10 gm%, Total leukocyte count 215000/cu.mm Platelets 4 lakhs/cu.mm.",n=PA-rbpbdsa&ed=10&vol=1#622,
E_PA_18.2,Leukemia,"- Classify leukemias
- Describe peripheral blood picture and bone marrow findings in CML;- Classify leukemias
- Describe peripheral blood picture and bone marrow findings in ALL;- Classify leukemias
- Describe blood and bone marrow findings in AML",True,7,2019-08;2010-02;2005-02;1995-11;1993-11;1993-01;1990-12,,n=PA-rbpbdsa&ed=10&vol=1#590;n=PA-rbpbdsa&ed=10&vol=1#594;n=PA-rbpbdsa&ed=10&vol=1#597;n=PA-rbpbdsa&ed=10&vol=1#617;n=PA-rbpbdsa&ed=10&vol=1#622,
S_PA_19.4.1.1,Reed Sternberg Cell,- Variants;- Types,True,5,2023-02;2022-08;2016-08;2013-02;2010-08,,n=PA-rbpbdsa&ed=10&vol=1#612,
S_PA_13.1,Leucocytes,- Morphological disorder;- Defects in leucocyte function,True,2,2012-02;1994-11,,n=PA-rbpbdsa&ed=10&vol=1#241,
S_PA_18.2.1.1,Acute Myeloid Leukemia (AML),- Classification;- WHO Classification;- Morphological classification,True,3,2022-08;2013-08;1996-04,,n=PA-rbpbdsa&ed=10&vol=1#617,
S_PA_18.2.1,Acute Leukemia,- Classification;- Cytochemistry;- FAB classification,True,4,2020-02;2011-02;2000-10;1997-04,,n=PA-rbpbdsa&ed=10&vol=1#594;n=PA-rbpbdsa&ed=10&vol=1#617,
S_PA_18.2.2.1,Chronic Myeloid Leukemia (CML),"- Blood picture of CML;- Mutations in CML;- Diagnosis
- Diagram of peripheral smear
- Common genetic abnormality",True,5,2022-03;2020-11;2020-02;2016-08;1998-04,"A 30 year old male presented with massive splenomegaly, His total leukocyte count was 235,000 cells/cu.mm with more neutrophil precursors. Platelet count was 1,80,000 cells/cu.mm.",n=PA-rbpbdsa&ed=10&vol=1#622,
S_PA_19.4.1.2,Nodular Sclerosis,,True,1,2006-02,,n=PA-rbpbdsa&ed=10&vol=1#612,
S_PA_18.1.1,Agranulocytosis,"- Diagnosis
- Pathogenesis;- Definition",True,4,2022-08;2016-02;2013-02;1998-04,A 20 year old male following antibiotic intake had total leukocyte count of 1200 cells/cu.mm and absolute neutrophil count of 120 cells.,n=PA-rbpbdsa&ed=10&vol=1#586,
