Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_PA_32.3.1,Diabetes Mellitus,"- Etiopathogenesis/- Complications;- Definition/- Types/- Pathophysiology/- Morphology/- Complications ",True,2,2008-08;2015-02,n=PA-rbpbdsa&ed=10&vol=2#1097,,
S_PA_32.1.1,Cretinism,,True,1,2008-08,n=PA-rbpbdsa&ed=10&vol=2#1078,,
S_PA_32.4.3,Pheochromocytoma,,True,7,2009-02;2010-02;2011-08;2013-08;2018-08;2005-02;2009-08,n=PA-rbpbdsa&ed=10&vol=2#1127,,
S_PA_32.1.6.1,Papillary Carcinoma Thyroid,,True,6,2010-02;2020-02;2005-08;2010-08;2011-02;2012-02,n=PA-rbpbdsa&ed=10&vol=2#1086,,
S_PA_32.3.1.1.1;32.3.1.2;32.3.1.3,Diabetes Mellitus,- Pathogenesis/- Complications ;Lab Diagnosis,True,3,2010-08;2017-02;1996-04,n=PA-rbpbdsa&ed=10&vol=2#1101,,
S_PA_32.1.2.1;32.1.2.2;32.1.2.3,"Thyroiditis ","- Hashimoto's Thyroiditis/- Subacute Lymphocytic(painless) Thyroiditis/- Granulomatous Thyroiditis ",True,1,2011-02,n=PA-rbpbdsa&ed=10&vol=2#1078,,
S_PA_32.3.1.2.3,Diabetic Nephropathy,,True,6,2011-08;2014-02;2023-07;2000-04;2001-11;2007-08,n=PA-rbpbdsa&ed=10&vol=2#1110,,
S_PA_32.1.2.1,"Hashimoto's Thyroiditis ",-Pathogenesis/-Morphology/-Clinical Features,True,10,2012-08;2014-02;1991-01;1993-11;1994-11;1997-04;1999-04;2000-10;2001-04;2003-10;2008-02;2009-08;2017-08,n=PA-rbpbdsa&ed=10&vol=2#1078,,
S_PA_32.3.2.2,Diabetic Microangiopathy,,True,1,2015-08,n=PA-rbpbdsa&ed=10&vol=2#1109,,
S_PA_32.1.3,"Graves Disease ",,True,3,2016-02;2018-02;2006-02,n=PA-rbpbdsa&ed=10&vol=2#1081,"30 years Female presented with Diarrhea, Weight loss, Protruding eye balls and
Thyromegaly",
E_PA_32.4.1,Cushing Syndrome,,True,1,2019-02,n=PA-rbpbdsa&ed=10&vol=2#1115,,
E_PA_32.1.6.1,Papillary Carcinome Thyroid,"- Classify Thyroid Neoplasms/- Pathogenesis of Malignant Thyroid Neoplasm/- Morphology of Papillary Carcinoma of Thyroid ",True,3,2021-09;2022-08;2011-08,n=PA-rbpbdsa&ed=10&vol=2#1086,,
S_PA_32.1.7,FNAC in Thyroid Lesions,- FNAC Importance/- FNAC Applications,True,1,2023-07,n=PA-rbpbdsa&ed=10&vol=2#0,,
S_PA_32.5,"MEN Syndrome ",,True,2,2023-07;1995-04,n=PA-rbpbdsa&ed=10&vol=2#1129,,
S_PA_32.1.6.2,Medullary Carcinoma Thyroid,,True,2,1992-04;2001-11,n=PA-rbpbdsa&ed=10&vol=2#1091,,
S_PA_32.2.1,Hyperparathyroidism,,True,2,1999-10;2017-02,n=PA-rbpbdsa&ed=10&vol=2#1093,,
S_PA_32.1.5,Multinodular Goiter,,True,2,2004-08;2006-08,n=PA-rbpbdsa&ed=10&vol=2#1083,,
S_PA_32.3.1.1.2,Pancreatic Changes in Diabetes Mellitus,,True,1,2003-10,n=PA-rbpbdsa&ed=10&vol=2#1108,,
S_PA_32.1.2.1;32.1.3,Immune Thyroiditis,,True,1,2004-08,n=PA-rbpbdsa&ed=10&vol=2#1078,,
S_PA_32.3.1.1,Insulin Dependent Diabetes Mellitus,,True,1,2004-08,n=PA-rbpbdsa&ed=10&vol=2#1101,,
S_PA_32.1.4,Colloid Goiter,,True,1,2009-08,n=PA-rbpbdsa&ed=10&vol=2#1083,,
S_PA_32.4.2,"Addison's Disease ",,True,1,2011-02,n=PA-rbpbdsa&ed=10&vol=2#1123,,
S_PA_32.3.1.2.1,Diabetic Macrovascular Disease,,True,1,2011-08,n=PA-rbpbdsa&ed=10&vol=2#1109,,
S_PA_32.1.6,"Neoplasms of Thyroid ",,True,1,2013-08,n=PA-rbpbdsa&ed=10&vol=2#1084,,
S_PA_32.3.2,"Zollinger Ellison Syndrome ",,True,2,2015-08;2018-02,n=PA-rbpbdsa&ed=10&vol=2#1114,,
S_PA_32.3.1.2.4,"Diabetic Retinopathy ",,True,1,2008-08,n=PA-rbpbdsa&ed=10&vol=2#1111,,
