Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_PH_1.19.4,Anti-epileptic drugs,"- Classify Anticonvulsant drugs;- Mechanism of action/- pharmacological action/- uses/- adverse effects of  benzodiazepine ;- Treatment of febrile seizures ;- Pharmacology of Topiramate ;- How will you manage a known epileptic patient with three months of amenorrhea ;- Pharmacology of drugs acting on GABA recetors;- Mechanism of action/- uses/- adverse effects/- therapeutic indications/- interactions of diphenyl hydantoin/Phenytoin ;- Mechanism of action/- uses/-adverse effects of drugs used in absence seizures;- Mechanism of action/- Pharmacological action/- uses/- adverse effects of  valproate ;- Management of Status epilepticus ",True,10,2010-02;2010-08;2012-02;2014-08;2018-02;2020-11;2022-08;1996-04;2001-04;2002-03;2004-08;2008-02;2000-10;1998-04,n=PH-kdtemp&ed=8&vol=1#438,"A 25 year old lady is brought with complaints of recurrent episodes of fits lasting for 2-3 minutes .She experience aura before each episode .Description of fit by husband corresponds to generalized tonic clonic seizure;A 8 year old boy was sent for neurological evaluation because of episodes of  apparent inattention.His mother gives history of episodes of starring look which lasts for few seconds and he immediately resumes his previous activity. Diagnosed with absence seizures ;A 45 year old male patient is brought to EM with c/o seizure episode associated with loss of consciousness. He is known epileptic for past 2 years with h/o recurrent tonic clonic seizures ",
E_PH_1.19.5,"Anti-parkinsonism ",- Classify anti-parkinsonism drugs ;- Write about Dopaminergic agonists;- Mechanism of action/- Pharmacological action/-  adverse effects/- interactions of Levadopa ;- What is the rationale for use of carbipoda with levadopa ;- Write about Selegeline,True,5,2022-03;2017-08;2013-08;2013-02;1992-04,n=PH-kdtemp&ed=8&vol=1#452,"A 65 year old male on antipsychotics medication came with c/o difficulty in walking ,resting tremors and difficulty in swallowing ",
E_PH_1.19.3,Sedatives and Hypnotics,- Enumerate various sedative and hypnotic drugs;- Mechanism of action/- uses/- adverse effects of benzodiazepine ;- Management of acute barbiturate poisoning ;- Write briefly about Flumazenil;- Write about Benzodiazepine overdose,True,3,2016-02;2011-08;2005-02,n=PH-kdtemp&ed=8&vol=1#424,,
E_PH_1.19.7,"Anti-depressants ","- Classify anti-depressants ;- Mechanism of action/- uses/- adverse effects of Selective serotonin reuptake inhibitors;- Difference between Fluoxetine and Imipramine ",True,2,2019-02;2001-08,n=PH-kdtemp&ed=8&vol=1#481,,
E_PH_1.19.8,Opioids,"- Enumerate drugs acting on opioid receptors;- Mechanism of action/- Pharmacologicalaction/- uses/- adverse effects/-  contraindications of Morphine ;- Clinical features of Acute Morphine Poisoning and Treatment ;- Classify opioid analgesics ;- Write briefly about Opioid antagonist ",True,4,2023-07;2000-04;2007-02;2000-04,n=PH-kdtemp&ed=8&vol=1#497,,
E_PH_1.19.1,General anasthetics,- Classify general anasthetics ;- Stages of general anasthesia ;- Enumerate merits and demerits of Halothane and Ether as an anasthetic,True,1,2003-10,n=PH-kdtemp&ed=8&vol=1#400,,
S_PH_1.19.7.3,"Selective serotonin re-uptake inhibitor ",,True,6,2008-08;2010-02;2013-02;2014-08;2005-08;2008-02,n=PH-kdtemp&ed=8&vol=1#487,,
S_PH_1.19.1.9,"Preanasthetic medication ",,True,10,2009-08;2010-02;2010-08;2012-02;2014-02;2018-02;2022-08;2023-02;2005-08;2008-02,n=PH-kdtemp&ed=8&vol=1#413,,
S_PH_1.19.1.6,"Dissociative anasthesia ",- Ketamine,True,6,1990-12;2018-02;2019-02;2022-02;2004-08;2000-04,n=PH-kdtemp&ed=8&vol=1#411,,
S_PH_1.19.2.3,"Treatment of methanol poisoning ",- Rationale of using ethanol;- Rationale of using Fomepizole (ADH inhibitor),True,8,2009-02;2009-08;2012-08;2013-08;2010-08;2011-08;2016-08;2003-10,n=PH-kdtemp&ed=8&vol=1#421,,
