Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_PH_1.27.1,Anti-hypertensive drugs,"- Mechanism of Action of Captopril
- Pharmacological Action of Captopril
- Therapeutic Uses of Captopril
- Adverse Effects of Captopril;- Mechanism of Action of Angiotensin Receptor Blockers
- Therapeutic Uses of Angiotensin Receptor Blockers
- Hypertensive Emergencies
- Hypertensive Urgencies;- Classification of Anti-hypertensive Drugs
- Therapeutic Uses of Beta Blockers
- Adverse Effects of Beta Blockers
- Anti-hypertensive Avoided in Pregnancy;- Classification of Anti-hypertensive Drugs
- Management of Hypertensive Emergency
- Management of Hypertensive Urgency
- Anti-hypertensive Avoided in Pregnancy",True,10,2020-02;2019-08;2011-02;2008-08;2007-08;2005-08;1997-10;1996-04;1993-11;1990-12,n=PH-kdtemp&ed=8&vol=0#605,,
E_PH_1.24.1,Diuretics,"- Classification of Diuretics
- Mechanism of Action of Furosemide
- Pharmacological Action of Furosemide
- Therapeutic Uses of Furosemide
- Adverse Effects of Furosemide;- Classification of Diuretics
- Mechanism of Action of Furosemide
- Therapeutic Uses of Furosemide
- Complications of Furosemide;- Classification of Diuretics
- Mechanism of Action of High Ceiling Diuretics
- Uses of High Ceiling Diuretics
- Adverse Effects of High Ceiling Diuretics
- Rationality in Combining High Ceiling Diuretics with ACE Inhibitors",True,4,2022-03;2014-02;2009-02;2006-08,n=PH-kdtemp&ed=8&vol=0#625,,
E_PH_1.28.1;1.28.3,Anti-anginal Drugs,"- Classification of Anti-anginal Drugs
- Mechanism of Action of Nitrates
- Uses of Nitrates
- Adverse Effects of Nitrates;- Classification of Anti-anginal Drugs
- Mechanism of Vascular Smooth Muscle Relaxant Effect of Nitrates
- Therapeutic Uses of Nitrates
- About Nicorandil;- Classification of Anti-anginal Drugs
- Mechanism of Action of Glyceryl Trinitrate
- Adverse Effects of Glyceryl Trinitrate
- Drug Therapy in Myocardial Infarction;- Classification of Antianginal Drugs
- Mechanism of Action of Glyceryl Trinitrate
- Therapeutic Uses of Glyceryl Trinitrate;- Classification of Anti-anginal Drugs
- Mechanism of Action of Nitrates
- Uses of Nitrates
- Adverse Effects of Nitrates",True,5,2023-02;2022-08;2022-02;2017-02;2014-02,n=PH-kdtemp&ed=8&vol=0#584,,
E_PH_1.30,Anti-arrhythmic Drugs,"- Classification of Anti-arrhythmic Drugs
- Mechanism of Action of Amiodarone
- Pharmacokinetics of Amiodarone
- Clinical Uses of Amiodarone
- Adverse Effects of Amiodarone",True,2,2018-08;2001-11,n=PH-kdtemp&ed=8&vol=0#573,,
S_PH_1.24.1.1,High Ceiling Diuretics,,True,7,2023-02;2018-08;2013-02;2011-08;2009-08;2008-08;1996-04,n=PH-kdtemp&ed=8&vol=0#625,,
S_PH_1.30.3.1,Amiodarone,,True,3,2023-07;2011-02;2008-08,n=PH-kdtemp&ed=8&vol=0#577,,
S_PH_1.28.1.1,Nitrates,,True,2,2008-08;2005-08,n=PH-kdtemp&ed=8&vol=0#585,,
S_PH_1.24.1.5.1,Spironolactone,,True,7,2023-07;2020-02;2018-08;2018-02;2015-08;2012-08;2008-08,n=PH-kdtemp&ed=8&vol=0#634,,
S_PH_1.28.1.2,Calcium Channel Blockers,,True,4,2009-08;2009-02;2005-02;1994-11,n=PH-kdtemp&ed=8&vol=0#591,,
S_PH_1.29.1.1,Digoxin,,True,5,2020-11;2016-08;2012-08;2012-02;2009-02,n=PH-kdtemp&ed=8&vol=0#556,,
