Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_PH_1.19.4,Anti-Epileptic Drugs,"- Classify Anticonvulsant drugs;- Mechanism of Action
- Pharmacological Action
- Uses
- Adverse effects of Benzodiazepines;- Treatment of Febrile Seizures;- Pharmacology of Topiramate;- How will you manage a known epileptic patient with three months of amenorrhea;- Pharmacology of drugs acting on GABA receptors;- Mechanism of Action
- Uses
- Adverse Effects
- Therapeutic Indications
- Interactions of Diphenyl Hydantoin/Phenytoin;- Mechanism of Action
- Uses
- Adverse Effects of Drugs Used in Absence Seizures;- Mechanism of Action
- Pharmacological Action
- Uses
- Adverse Effects of Valproate;- Management of Status Epilepticus",True,10,2022-08;2020-11;2018-02;2014-08;2012-02;2010-08;2010-02;2008-02;2004-08;2002-03;2001-04;2000-10;1998-04;1996-04,n=PH-kdtemp&ed=8&vol=0#438,A 25 year old lady is brought with complaints of recurrent episodes of fits lasting for 2-3 minutes .She experience aura before each episode. Description of fit by husband corresponds to generalized tonic clonic seizure.;A 8 year old boy was sent for neurological evaluation because of episodes of apparent inattention. His mother gives history of episodes of starring look which lasts for few seconds and he immediately resumes his previous activity. Diagnosed with absence seizures.;A 45 year old male patient is brought to EM with c/o seizure episode associated with loss of consciousness. He is known epileptic for past 2 years with h/o recurrent tonic clonic seizures.,
E_PH_1.19.5,Anti-Parkinsonism,"- Classify Anti-Parkinsonism drugs;- Write about Dopaminergic Agonists;- Mechanism of Action
- Pharmacological Action
- Adverse Effects
- Interactions of Levodopa;- What is the Rationale for use of Carbidopa with Levodopa;- Write about Selegeline",True,5,2022-03;2017-08;2013-08;2013-02;1992-04,n=PH-kdtemp&ed=8&vol=0#452,"A 65 year old male on antipsychotics medication came with c/o difficulty in walking, resting tremors and difficulty in swallowing.",
E_PH_1.19.3,Sedatives and Hypnotics,"- Enumerate Various Sedative and Hypnotic Drugs;- Mechanism of Action
- Uses
- Adverse Effects of Benzodiazepines;- Management of Acute Barbiturate Poisoning;- Write briefly about Flumazenil;- Write about Benzodiazepine overdose",True,3,2016-02;2011-08;2005-02,n=PH-kdtemp&ed=8&vol=0#424,,
E_PH_1.19.7,Anti-Depressants,"- Classification of Anti-Depressants;- Mechanism of Action
- Uses
- Adverse effects of Selective Serotonin Reuptake Inhibitors (SSRIs);- Difference between Fluoxetine and Imipramine",True,2,2019-02;2001-08,n=PH-kdtemp&ed=8&vol=0#481,,
E_PH_1.19.8,Opioids,"- Enumerate drugs acting on opioid receptors;- Mechanism of Action
- Pharmacological Action
- Uses
- Adverse Effects
- Contraindications of Morphine;- Clinical Features of Acute Morphine Poisoning and Treatment;- Classification of Opioid analgesics;- Opioid Antagonists",True,4,2023-07;2007-02;2000-04;2000-04,n=PH-kdtemp&ed=8&vol=0#497,,
E_PH_1.19.1,General Anasthetics,"- Classification
- Stages
- Merits and demerits of Halothane and Ether as an anaesthetic",True,1,2003-10,n=PH-kdtemp&ed=8&vol=0#400,,
S_PH_1.19.7.3,Selective Serotonin Re-uptake Inhibitors (SSRIs),,True,6,2014-08;2013-02;2010-02;2008-08;2008-02;2005-08,n=PH-kdtemp&ed=8&vol=0#487,,
S_PH_1.19.1.9,Pre-Anaesthetic Medications,,True,10,2023-02;2022-08;2018-02;2014-02;2012-02;2010-08;2010-02;2009-08;2008-02;2005-08,n=PH-kdtemp&ed=8&vol=0#413,,
S_PH_1.19.1.6,Dissociative Anaesthesia,- Ketamine,True,6,2022-02;2019-02;2018-02;2004-08;2000-04;1990-12,n=PH-kdtemp&ed=8&vol=0#411,,
S_PH_1.19.2.3,Treatment of Methanol Poisoning,- Rationale of using Ethanol;- Rationale of using Fomepizole (ADH inhibitor),True,8,2016-08;2013-08;2012-08;2011-08;2010-08;2009-08;2009-02;2003-10,n=PH-kdtemp&ed=8&vol=0#421,,
S_PH_1.19.2.1,Drug Interactions in Alcoholic,,True,1,2020-02,n=PH-kdtemp&ed=8&vol=0#419,,
S_PH_1.19.2.2,Treatment of Alcohol Dependence,- Rationale of using Disulfiram,True,1,2023-07,n=PH-kdtemp&ed=8&vol=0#421,,
S_PH_1.19.8.6,Neurolept Analgesia,,True,3,2023-02;2009-08;2001-11,,,
S_PH_1.19.3.3,Non-Benzodiazepine Hypnotic,,True,1,2010-08,n=PH-kdtemp&ed=8&vol=0#432,,
S_PH_1.19.4.2,Carbamazepine,"- Mechanism of Action
- Uses
- Adverse Effects
- Interactions;- Drugs used in Trigeminal Neuralgia",True,1,2009-02,n=PH-kdtemp&ed=8&vol=0#442,,
S_PH_1.19.4.7,Status Epilepticus,,True,5,2012-08;2009-02;2007-02;2000-10;2000-04,n=PH-kdtemp&ed=8&vol=0#450,,
S_PH_1.19.4.1,Phenytoin Sodium,"- Mechanism of Action
- Pharmacokinetics
- Uses
- Adverse Effects
- Interactions",True,4,2015-02;2013-02;2011-02;1997-04,n=PH-kdtemp&ed=8&vol=0#439,,
S_PH_1.19.4.3,Sodium Valproate,,True,3,2017-02;2014-02;2001-11,n=PH-kdtemp&ed=8&vol=0#444,,
S_PH_1.19.4.6,Topiramate,,True,1,2013-08,n=PH-kdtemp&ed=8&vol=0#447,,
S_PH_1.19.4.5,Newer Anti-Epileptic Drugs,,True,2,2023-02;2021-09,n=PH-kdtemp&ed=8&vol=0#446,,
S_PH_1.19.5,Drug Therapy of Parkinsonism,,True,3,2015-02;2009-08;2008-08,,,
S_PH_1.19.5.2,Selective Dopamine Agonist in Parkinsonism,,True,4,2022-08;2019-02;2012-08;2010-08,n=PH-kdtemp&ed=8&vol=0#457,,
S_PH_1.19.5.1,Levodopa,- Rationale of using Carbidopa with Levodopa,True,3,2021-09;2019-08;1997-10,n=PH-kdtemp&ed=8&vol=0#457,,
S_PH_1.19.6.2,Atypical Anti-Psychotics Drugs,- Difference between typical and atypical Anti-Psychotics,True,6,2022-03;2020-02;2015-08;2012-02;2009-02;2000-04,n=PH-kdtemp&ed=8&vol=0#468,,
S_PH_1.19.7.2,Tricyclic Anti-Depressants (TCA),,True,1,2009-02,n=PH-kdtemp&ed=8&vol=0#482,,
