Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_PH_1.4.1,Biotransformation,"- Biotransformation Reactions
- Phase I and Phase II reaction with suitable examples
- Importance of Enzyme Induction and Enzyme Inhibition;- Microsomal Enzyme Induction and Inhibition with examples",True,2,2014-08;2010-02,n=PH-kdtemp&ed=8&vol=0#28,"A 35 year old woman taking combined oral contraceptive pills. She was a diagnosed as a case of tuberculosis and put on isoniazid, rifampicin, pyrazinamide, and ethambutol combination therapy for 2 months followed by isoniazid and rifampicin thrice weekly for 4 months. In the 3rd month of treatement, she failed to have withdrawal bleeding during the gap period of contraceptive cycle. One week later her urinary pregnancy test was found to be positive.",
S_PH_1.1.1,Pharmacogentics,- Two Examples,True,6,2023-02;2021-09;2017-08;2009-02;2008-02;2001-04,n=PH-kdtemp&ed=8&vol=0#75,,
S_PH_1.11.2.1,Sublingual Route of Drug Administration,,True,3,2011-08;2008-08;1997-10,n=PH-kdtemp&ed=8&vol=0#12,,
E_PH_1.11,Routes of Drug Administration,"- Explanation of Each Route
- Examples
- Advantages
- Disadvantages",True,1,2001-04,n=PH-kdtemp&ed=8&vol=0#9,,
S_PH_1.4.2,Bioavailability,,True,4,2020-02;2009-08;2004-08;2001-04,n=PH-kdtemp&ed=8&vol=0#22,,
S_PH_1.11.1,Local Routes Of Drug Administration,,True,1,2010-02,n=PH-kdtemp&ed=8&vol=0#10,,
S_PH_1.3.1,Newer Drug Delivery System,,True,5,2023-02;2013-02;2011-02;2008-02;1994-11,n=PH-tarav&ed=4&vol=0#8,,
S_PH_1.4.3,First Pass Metabolism[Presystemic Elimination],,True,4,2016-08;2007-02;1998-10;1993-01,n=PH-kdtemp&ed=8&vol=0#34,,
S_PH_1.4.4,Biological Half-life[Plasma Half Life],"- Drugs with short half life
- Drugs with long and very short half life",True,6,2023-07;2018-08;2017-02;2005-08;2002-03;1995-11,n=PH-kdtemp&ed=8&vol=0#39,,
S_PH_1.5.2.1,Intracellular Receptors,,True,1,2020-11,n=PH-kdtemp&ed=8&vol=0#60,,
S_PH_1.4.5,Prolongation Of Drug Action,,True,2,2023-07;1996-04,n=PH-kdtemp&ed=8&vol=0#42,,
S_PH_1.5.3,Therapeutic Index,,True,2,2007-08;1996-10,n=PH-kdtemp&ed=8&vol=0#65,,
S_PH_1.5.1.1,Drug Tolerance (Tachyphylaxis),,True,6,2023-02;2022-02;2017-08;2009-02;2002-03;1997-04,n=PH-kdtemp&ed=8&vol=0#80,,
S_PH_1.5.2,Drug Receptor,,True,1,2000-10,n=PH-kdtemp&ed=8&vol=0#48,,
S_PH_1.11.2.2,Transdermal Application Of Drugs,,True,2,2022-02;2000-10,n=PH-kdtemp&ed=8&vol=0#12,,
S_PH_1.4,Pharmacokinetics,,True,1,,n=PH-kdtemp&ed=8&vol=0#15,,
S_PH_1.7.1,Teratogenicity,,True,3,2022-08;2019-02;2001-11,n=PH-kdtemp&ed=8&vol=0#99,,
S_PH_1.4.1.1,Prodrug,,True,1,2004-08,n=PH-kdtemp&ed=8&vol=0#28,,
S_PH_1.5.4,Drug Antagonism,,True,3,2012-02;2005-02;2001-11,n=PH-kdtemp&ed=8&vol=0#67,,
S_PH_1.4.6,Blood Brain Barrier,,True,1,2011-08,n=PH-kdtemp&ed=8&vol=0#24,,
S_PH_1.1.2,Essential Drugs,,True,1,2012-02,n=PH-kdtemp&ed=8&vol=0#6,,
S_PH_1.4.1.2,Microsomal Enzyme Inducers,,True,2,2023-02;2012-02,n=PH-kdtemp&ed=8&vol=0#33,,
S_PH_1.59.1,Fixed Dose Ratio Combination,,True,1,2013-02,n=PH-kdtemp&ed=8&vol=0#72,,
