Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_PH_1.47.3.1,"Metronidazole ",,True,9,2021-09;2011-02;2022-08;2000-04;2003-10;2010-08;1994-11;1996-10;1998-04,n=PH-kdtemp&ed=8&vol=1#894,,
S_PH_1.42.9.2,Clarithromycin,,True,2,2009-02;2011-02,n=PH-kdtemp&ed=8&vol=1#803,,
S_PH_1.48.4,Anti Retroviral Drugs,,True,4,2008-08;2000-10;2002-03;2006-02,n=PH-kdtemp&ed=8&vol=1#860,,
S_PH_1.42.3,Flouroquinolones,,True,2,2008-08;1994-11,n=PH-kdtemp&ed=8&vol=2#760,,
S_PH_1.47.1.6,Primaquine,,True,2,2010-08;2009-02,n=PH-kdtemp&ed=8&vol=1#885,,
S_PH_1.44.2,Rifampicin,,True,4,2009-02;2023-12;1998-10;1991-12,n=PH-kdtemp&ed=8&vol=1#818,,
S_PH_1.42.2.4.3,3rd Generation Cephalosporins,,True,7,2020-11;2009-08;2005-08;2008-02;2023-12;1999-04;2000-10,n=PH-kdtemp&ed=8&vol=1#777,,
S_PH_1.47.1.2.1,"Extramalarial uses of Chloroqine ",,True,2,2011-02;2009-08,n=PH-kdtemp&ed=8&vol=1#879,,
S_PH_1.44.10,Chemoprophylaxis,"- Definition/- example with rationale ",True,2,2009-08;2000-04,n=PH-kdtemp&ed=8&vol=1#828,,
S_PH_1.42.2.1,Repository Preparations of Penicillin,,True,1,2009-08,n=PH-kdtemp&ed=8&vol=1#766,,
S_PH_1.42.8.2,Amikacin,,True,1,2010-02,n=PH-kdtemp&ed=8&vol=1#799,,
S_PH_1.42.7,Doxycycline,,True,1,2010-02,n=PH-kdtemp&ed=8&vol=1#787,,
S_PH_1.47.1.2,Chloroquine,,True,4,2023-02;2010-02;2004-08;2008-02,n=PH-kdtemp&ed=8&vol=1#879,,
S_PH_1.42.14.2,Fluconazole,- Uses;- Advantage over ketaconazole,True,1,2010-02,n=PH-kdtemp&ed=8&vol=1#844,,
S_PH_1.47.1.12,"Management of Cerebral Malaria ",,True,1,2010-08,n=PH-kdtemp&ed=8&vol=1#843,,
S_PH_1.47.9,Ivermectin,,True,2,2011-02;2023-07,n=PH-kdtemp&ed=8&vol=1#911,,
S_PH_1.43.1,"Bacterial Drug Resistance ",,True,4,2010-02;2011-02;2003-10;2006-02,n=PH-kdtemp&ed=8&vol=1#742,,
S_PH_1.44.3,Pyrazinamide,,True,1,2011-08,n=PH-kdtemp&ed=8&vol=1#819,,
S_PH_1.43.4,Drugs in Typhoid fever,,True,1,2011-08,n=PH-kdtemp&ed=8&vol=1#762,,
S_PH_1.47.8,Diethylcarbamazine citrate,,True,1,2011-08,n=PH-kdtemp&ed=8&vol=1#910,,
S_PH_1.42.9.2,Newer macrolides,,True,1,2013-02,n=PH-kdtemp&ed=8&vol=1#806,,
S_PH_1.47.1.2,Artemisinin combination therapy,- advantages;- pharmacological basis of artemesinin derivatives in malaria,True,3,2014-02;2005-08;2015-08,n=PH-kdtemp&ed=8&vol=1#889,,
S_PH_1.44.9,"Role of corticosteroids in TB management ",,True,1,2013-08,n=PH-kdtemp&ed=8&vol=1#828,,
S_PH_1.47.6,Albendazole,,True,6,2014-02;2003-10;2005-02;2005-08;2013-08;2000-10,n=PH-kdtemp&ed=8&vol=1#908,,
S_PH_1.42.2.4.4,4th generation Cephalosporins,,True,1,2014-02,n=PH-kdtemp&ed=8&vol=1#779,,
S_PH_1.46.5,"Lepra reaction ","- Management ",True,5,2015-02;2023-02;2003-10;2013-02;2022-08,n=PH-kdtemp&ed=8&vol=1#837,,
S_PH_1.42.4,Cotrimoxazole,- Rationale in use;- Mechanism of action/- Adverse drug reactions/- Uses,True,4,2015-08;2005-08;2021-09;1993-11,n=PH-kdtemp&ed=8&vol=1#757,,
S_PH_1.42.17,Terbinafine,,True,1,2018-02,n=PH-kdtemp&ed=8&vol=1#847,,
S_PH_1.46.1,Dapsone,"- Sulfone syndrome ",True,3,2018-08;2008-02;2014-08,n=PH-kdtemp&ed=8&vol=1#831,,
S_PH_1.48.5,"Principles and guidelines in HIV treatment ",,True,1,2018-08,n=PH-kdtemp&ed=8&vol=1#867,,
S_PH_1.48.4.1,"Nucleoside revere transcriptase inhibitors ",,True,3,2019-02;2007-02;1997-04,n=PH-kdtemp&ed=8&vol=1#861,,
S_PH_1.48.5.3,Highly active anti retroviral therapy (HAART),,True,2,2019-08;2022-08,n=PH-kdtemp&ed=8&vol=1#868,,
S_PH_1.48.1.1,Acyclovir,,True,2,2019-08;2023-02,n=PH-kdtemp&ed=8&vol=1#850,,
S_PH_1.46.2,Clofazamine,"- rationale in lepra reaction ",True,2,2012-08;2010-08,n=PH-kdtemp&ed=8&vol=1#832,,
S_PH_1.42.15,Anti pseudomonal penicillins,,True,1,2014-08,n=PH-kdtemp&ed=8&vol=1#774,,
S_PH_1.44.10,Chemoprophylaxis of TB,,True,1,2020-11,n=PH-kdtemp&ed=8&vol=1#828,,
S_PH_1.48.4.3,Retroviral protease inhibitors and combination therapy,,True,1,2021-09,n=PH-kdtemp&ed=8&vol=1#864,,
S_PH_1.42.13.1,Amphotericin B,- therapeutic uses;- New formulations,True,5,2022-02;2023-07;2022-03;2014-08;1993-11,n=PH-kdtemp&ed=8&vol=1#839,,
S_PH_1.42.2.7,"Beta lactamase inhibitions ",,True,2,2022-02;2022-03,n=PH-kdtemp&ed=8&vol=1#774,,
S_PH_1.48.6,"UTI treatment ",,True,2,2023-02;2008-02,n=PH-kdtemp&ed=8&vol=1#814,,
S_PH_1.45.1,MDR TB,,True,1,2022-03,n=PH-kdtemp&ed=8&vol=1#825,,
S_PH_1.42.3.1,Ciprofloxacin,- Mechanism of action/- Uses;- Why ciprofloxacin is contraindicated in children les than 8 yrs,True,2,2022-03;2004-08,n=PH-kdtemp&ed=8&vol=1#760,,
S_PH_1.42.11,Vancomycin,,True,3,2022-08;2023-07;2013-08,n=PH-kdtemp&ed=8&vol=1#806,,
S_PH_1.48.5.2,"PEP of HIV infection ",,True,2,2023-07;2014-08,n=PH-kdtemp&ed=8&vol=1#871,,
S_PH_1.42.14.1,"Ketaconazole ",,True,1,2010-08,n=PH-kdtemp&ed=8&vol=1#844,,
S_PH_1.42.8,Aminoglycosides,"- Mechanism of action/- Adverse drug reactions ",True,5,2018-02;2022-03;2006-08;2008-08;2015-08,n=PH-kdtemp&ed=8&vol=1#793,,
S_PH_1.44.6,Short course chemotherapy in treatment of TB,,True,5,2019-02;2020-02;2014-08;1996-04;1996-10,n=PH-kdtemp&ed=8&vol=1#824,,
S_PH_1.42.9.1,"Erythromycin ",,True,2,2020-02;2003-10,n=PH-kdtemp&ed=8&vol=1#801,,
S_PH_1.44.1,"Isoniazid ",,True,2,2010-08;2005-08,n=PH-kdtemp&ed=8&vol=1#816,,
S_PH_1.42.2.5.1,Meropenem,,True,1,2012-08,n=PH-kdtemp&ed=8&vol=1#782,,
