Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_PH_1.34.1,Drugs used in Acid Peptic Disease,"- Classification
- Mechanism of Action
- Uses
- Adverse Effects;- Classification
- Anti H. pylori Drugs and Various Regimens
- Prostaglandin Analogues
- Proton Pump Inhibitors",True,4,2023-12;2017-02;2005-08;1990-12,n=PH-kdtemp&ed=8&vol=0#695,,
S_PH_1.34.1.1,Proton Pump Inhibitors,- Uses,True,5,2023-07;2023-02;2010-02;2005-02;1997-10,n=PH-kdtemp&ed=8&vol=0#699,,
S_PH_1.34.2,Drugs used in Gastro-esophageal Reflux Disease (GERD),,True,3,2018-08;2014-02;2013-08,n=PH-kdtemp&ed=8&vol=0#707,,
S_PH_1.34.3.5,Prokinetic Drugs,,True,6,2016-08;2009-08;2007-08;2004-08;2001-04;1996-04,n=PH-kdtemp&ed=8&vol=0#713,,
S_PH_1.34.3.6,Domperidone,,True,1,2016-02,n=PH-kdtemp&ed=8&vol=0#715,,
S_PH_1.34.4,Bulk Forming Agents,,True,1,2016-08,n=PH-kdtemp&ed=8&vol=0#722,,
S_PH_1.34.3.3,5-HT3 (Serotonin) Antagonists,,True,1,2014-08,n=PH-kdtemp&ed=8&vol=0#716,,
S_PH_1.34.3.2,Ondansetron,- Mechanism of Action,True,3,2019-08;2014-08;2008-08,n=PH-kdtemp&ed=8&vol=0#716,,
S_PH_1.34.3.4,Classification of Anti-Emetic Agents,,True,1,2015-08,n=PH-kdtemp&ed=8&vol=0#711,,
S_PH_1.34.5,Anti-Diarrhoeals,,True,1,2022-08,n=PH-kdtemp&ed=8&vol=0#727,,
S_PH_1.34.5.1,Anti-Motility Drugs,,True,2,2018-02;2009-02,n=PH-kdtemp&ed=8&vol=0#733,,
S_PH_1.34.3,Drugs for H. pylori Infection,- Triple Regimen,True,5,2023-07;2017-08;2015-02;2009-08;2006-02,n=PH-kdtemp&ed=8&vol=0#705,,
S_PH_1.34.3,Anti-Emetic Drugs,- Morning Sickness,True,2,2018-08;2008-02,n=PH-kdtemp&ed=8&vol=0#710,,
S_PH_1.34.1.2,H2 Receptor Antagonists,,True,5,2023-02;2002-03;2000-10;1996-10;1993-01,n=PH-kdtemp&ed=8&vol=0#696,,
S_PH_1.34.1.2,Ranitidine,,True,3,2018-02;2011-08;1996-10,n=PH-kdtemp&ed=8&vol=0#698,,
S_PH_1.34.3.1,Metoclopramide,,True,3,2023-07;2019-02;1997-04,n=PH-kdtemp&ed=8&vol=0#713,,
S_PH_1.34.1.2,Prostaglandin Analogues in Peptic Ulcer Disease,,True,1,2020-02,n=PH-kdtemp&ed=8&vol=0#702,,
S_PH_1.34.1.3,Sucralfate,,True,2,2009-08;1999-04,n=PH-kdtemp&ed=8&vol=0#704,,
S_PH_1.34.5.2,Sulfasalazine,,True,2,2014-08;2013-08,n=PH-kdtemp&ed=8&vol=0#734,,
S_PH_1.34.4.1,Purgatives (or) Management of Functional Constipation,,True,2,2012-08;2006-02,n=PH-kdtemp&ed=8&vol=0#721,,
E_PH_,Purgatives (or) Management of Functional Constipation,"- Classification
- Mechanism of Action
- Therapeutic Uses",True,1,1991-12,n=PH-kdtemp&ed=8&vol=0#721,,
