Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_PH_1.57.1,Psoriasis,,True,6,2022-03;2011-02;2013-02;2018-08;2020-02;2022-08,n=PH-kdtemp&ed=8&vol=1#950,,
S_PH_1.50.1.1,Cyclosporine,,True,6,2022-03;2010-02;2001-11;2001-04;2019-08;2020-02,n=PH-kdtemp&ed=8&vol=1#937,,
S_PH_1.57.2,Acne Vulgaris,,True,4,2022-08;2014-08;2017-02;2023-07,n=PH-kdtemp&ed=8&vol=1#952,,
S_PH_1.53.1,Chelating Agents,,True,3,2022-08;2007-02;2023-02,n=PH-kdtemp&ed=8&vol=1#964,,
S_PH_1.57.4,Keratolytic Agents,,True,1,2023-02,n=PH-kdtemp&ed=8&vol=1#949,,
S_PH_1.50.2.1,Mycophenolate Mofetil,,True,4,2023-07;2012-08;2007-08;2020-11,n=PH-kdtemp&ed=8&vol=1#942,,
S_PH_1.61.1,Vitamin A,,True,2,2002-03;2013-02,n=PH-kdtemp&ed=8&vol=1#968,,
S_PH_1.53.1.2,d-Pencillamine,,True,3,2004-08;2000-04;2009-08,n=PH-kdtemp&ed=8&vol=1#966,,
S_PH_1.50,Immunosuppressants,,True,4,2000-04;2000-10;2002-03;2008-08,n=PH-kdtemp&ed=8&vol=1#937,,
S_PH_1.53.1.1,Dimercaprol (or) Brithish Anti Lewisite (or) BAL,,True,8,2001-04;2004-08;2005-02;2008-08;2010-08;2013-02;2011-02;2015-02,n=PH-kdtemp&ed=8&vol=1#964,,
S_PH_1.57.3,Scabies,,True,6,2001-11;2004-08;2009-02;2010-08;2016-02;2017-08,n=PH-kdtemp&ed=8&vol=1#961,,
S_PH_1.61.2,Vitamin D,,True,5,2003-10;2010-08;2014-02;2009-08;2017-08,n=PH-kdtemp&ed=8&vol=1#366,,
S_PH_1.61.4,Ascorbic Acid,,True,1,2005-02,n=PH-kdtemp&ed=8&vol=1#975,,
S_PH_1.57.6,Sun Screens,,True,1,2005-08,n=PH-kdtemp&ed=8&vol=1#952,,
S_PH_1.50.1.2,Tacrolimus,,True,1,2006-08,n=PH-kdtemp&ed=8&vol=1#940,,
S_PH_1.53.1.3,Desferrioxamine,,True,2,2009-02;2020-02,n=PH-kdtemp&ed=8&vol=1#966,,
S_PH_1.53.2,Therapeutic Uses of Oxygen,,True,1,2011-02,n=PH-ggpbint&ed=13&vol=1#399,,
S_PH_1.50.1,Calcineurin Inhibitior,,True,3,2011-08;2019-02;2013-08,n=PH-kdtemp&ed=8&vol=1#937,,
S_PH_1.57.5,Anti Seborrheics agents,,False,1,,n=PH-kdtemp&ed=8&vol=1#949,,
S_PH_1.54.2,"Rabies Prophylaxis ",,True,1,2003-02,n=PH-kdtemp&ed=8&vol=1#981,,
S_PH_1.57.1.1,Psoralen Ultraviolet A (PUVA),,True,1,2013-08,n=PH-kdtemp&ed=8&vol=1#951,,
S_PH_1.61.3,Vitamin K,,True,1,2016-08,n=PH-kdtemp&ed=8&vol=1#660,,
S_PH_1.54.1,Hepatitis B Vaccine,,True,1,2019-08,n=PH-kdtemp&ed=8&vol=1#982,,
S_PH_1.61.5,Antioxidant Vitamin,,True,1,2022-02,n=PH-kdtemp&ed=8&vol=1#971,,
S_PH_1.50.3,Pharmacological basis of Immunosuppressant in organ transplant,,True,1,2023-02,n=PH-kdtemp&ed=8&vol=1#944,,
S_PH_1.58,Drug for Ocular Disease,,True,1,2021-09,n=PH-srivat&ed=2&vol=1#935,,
E_PH_1.50;1.50.1,Immunosuppressants,"- classify immunosuppressants/- MOA,ADR,Therapeutic uses of Calcineurin Inhibitors",True,1,2014-08,n=PH-kdtemp&ed=8&vol=1#937,,
S_PH_1.53.3,Treatment for Iron Toxicity or Poisoning,,False,1,,n=PH-kdtemp&ed=8&vol=1#652,,
S_PH_1.50.4,Monoclonal Antibody,,False,3,,n=PH-kdtemp&ed=8&vol=1#943,,
